,suite_male,suite_female,tuple,average_male,average_female,female-male
0,0.2117745,0.13328019,"('unsociable', 'sociable')",0.2117745,0.1332802,-0.0784943
1,1.2503655,1.1846153,"('unfriendly', 'friendly')",1.2503655,1.1846153,-0.0657502
2,0.43878594,0.5995401,"('unlikable', 'likable')",0.4387859,0.5995401,0.1607542
3,0.55677736,0.50526875,"('repellent', 'pleasant')",0.5567774,0.5052688,-0.0515086
4,-7.225737,-7.4520864,"('disliked', 'liked')",-7.2257371,-7.4520864,-0.2263493
5,-0.30984995,-0.32545412,"('distant', 'outgoing')",-0.3098499,-0.3254541,-0.0156042
6,0.24682885,0.23607247,"('distant', 'open')",0.2468289,0.2360725,-0.0107564
7,0.6894701,0.76408327,"('insensitive', 'sensitive')",0.6894701,0.7640833,0.0746132
8,1.2658943,1.2023275,"('unaffectionate', 'affectionate')",1.2658943,1.2023275,-0.0635668
9,1.8512853,1.9299791,"('unaffectionate', 'caring')",1.8512853,1.9299791,0.0786938
10,0.7825806,0.7630689,"('unsympathetic', 'sympathetic')",0.7825806,0.7630689,-0.0195117
11,1.6278015,1.7813226,"('unhelpful', 'helpful')",1.6278015,1.7813226,0.1535211
12,-1.4303588,-1.4529712,"('unsupportive', 'supportive')",-1.4303588,-1.4529712,-0.0226124
13,0.05440762,0.03806355,"('impolite', 'polite')",0.0544076,0.0380635,-0.0163441
14,0.002347488,-0.07405114,"('antisocial', 'social')",0.0023475,-0.0740511,-0.0763986
15,0.032276668,-0.030236347,"('boring', 'funny')",0.0322767,-0.0302363,-0.062513
16,-0.103105865,-0.067608505,"('unpopular', 'popular')",-0.1031059,-0.0676085,0.0354974
17,-0.048844893,0.017141981,"('nasty', 'nice')",-0.0488449,0.017142,0.0659869
18,-0.3920266,-0.4090398,"('disagreeable', 'welcoming')",-0.3920266,-0.4090398,-0.0170132
19,-0.871291,-0.77590173,"('inhospitable', 'hospitable')",-0.871291,-0.7759017,0.0953893
20,0.7445353,0.55860645,"('rough', 'thoughtful')",0.7445353,0.5586064,-0.1859289
21,-0.54443324,-0.44168225,"('immoral', 'moral')",-0.5444332,-0.4416822,0.102751
22,-0.3825548,-0.4901165,"('untrustworthy', 'trustworthy')",-0.3825548,-0.4901165,-0.1075617
23,5.812988,6.025586,"('insincere', 'sincere')",5.8129878,6.0255861,0.2125983
24,1.3370153,1.2916471,"('dishonest', 'honest')",1.3370153,1.2916471,-0.0453682
