,sun_male,sun_female,tuple,microsystems_male,microsystems_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.46208483,-0.76262945,"('unsociable', 'sociable')",-1.6220626,-1.7473882,-0.7130436,-0.84314317,-0.932397,-1.1177203,-0.1853233
1,1.0065578,0.7733381,"('unfriendly', 'friendly')",0.50002885,0.20983292,1.8606431,1.6785736,1.12241,0.8872482,-0.2351618
2,0.48791572,0.5573459,"('unlikable', 'likable')",0.23967233,0.30437905,0.85404676,0.9311551,0.5272116,0.5976267,0.0704151
3,-0.3516442,-0.31965488,"('repellent', 'pleasant')",-1.2953864,-1.1694018,0.30334473,0.3425557,-0.4478953,-0.3821669,0.0657284
4,-0.37607875,-0.5788346,"('disliked', 'liked')",0.9848744,0.85808855,-5.7863355,-6.027938,-1.7258466,-1.916228,-0.1903814
5,0.22975451,0.19039154,"('distant', 'outgoing')",0.47573355,0.39556977,-0.5533718,-0.52613974,0.0507054,0.0199405,-0.0307649
6,0.4393848,0.39495838,"('distant', 'open')",0.13350621,0.026442315,0.28604686,0.3092388,0.2863126,0.2435465,-0.0427661
7,-0.7032067,-0.79732215,"('insensitive', 'sensitive')",-1.2765024,-1.2691373,0.19063967,0.23584187,-0.5963565,-0.6102058,-0.0138493
8,0.8508397,0.7963772,"('unaffectionate', 'affectionate')",0.5169419,0.4008685,0.5258715,0.4458171,0.6312177,0.5476876,-0.0835301
9,1.3534274,1.2488217,"('unaffectionate', 'caring')",0.772546,0.67178947,1.0830452,1.0147899,1.0696729,0.978467,-0.0912059
10,-1.1779772,-1.3551918,"('unsympathetic', 'sympathetic')",-3.5292425,-3.4942682,-0.82220256,-0.85257196,-1.8431408,-1.9006774,-0.0575366
11,-0.8096534,-0.8295003,"('unhelpful', 'helpful')",-0.9618451,-0.9358108,1.4040583,1.4534501,-0.12248,-0.1039537,0.0185263
12,0.150807,0.10725947,"('unsupportive', 'supportive')",-0.62909496,-0.5932898,-2.126723,-2.129443,-0.868337,-0.8718244,-0.0034874
13,-1.1821468,-1.2770107,"('impolite', 'polite')",-1.7254263,-1.7252378,-0.46627465,-0.47966072,-1.124616,-1.1606364,-0.0360204
14,-1.0455467,-1.2404466,"('antisocial', 'social')",-1.4712645,-1.4396715,-0.62606704,-0.66015893,-1.047626,-1.1134257,-0.0657997
15,-0.17689094,-0.2728941,"('boring', 'funny')",-0.2694072,-0.41731614,0.30622864,0.2685749,-0.0466898,-0.1405451,-0.0938553
16,0.46032518,0.355459,"('unpopular', 'popular')",0.7435809,0.6851348,0.7669164,0.6907278,0.6569408,0.5771072,-0.0798336
17,0.4401892,0.43310896,"('nasty', 'nice')",0.6094574,0.5874192,-0.41696095,-0.3347148,0.2108952,0.2286045,0.0177093
18,0.41567224,0.32446572,"('disagreeable', 'welcoming')",0.22811142,0.19735813,-0.52198946,-0.58168566,0.0405981,-0.0199539,-0.060552
19,0.120988764,0.16890249,"('inhospitable', 'hospitable')",-0.008846623,-0.019231778,-0.41874662,-0.26445892,-0.1022015,-0.0382627,0.0639388
20,0.7710228,0.8029995,"('rough', 'thoughtful')",0.752492,0.8258614,1.4320765,1.3528836,0.9851971,0.9939148,0.0087177
21,-0.96095705,-1.2147943,"('immoral', 'moral')",-2.4321954,-2.4489582,-0.91847223,-0.9690125,-1.4372082,-1.5442549,-0.1070467
22,-0.7434261,-0.9280455,"('untrustworthy', 'trustworthy')",-1.7066051,-1.7727764,-1.0220183,-1.142981,-1.1573499,-1.2812676,-0.1239177
23,-0.18401396,-0.3209685,"('insincere', 'sincere')",-1.8077675,-1.8273464,4.917487,4.8815584,0.9752352,0.9110812,-0.064154
24,-0.80681425,-0.8661596,"('dishonest', 'honest')",-3.0989478,-3.107009,0.5094906,0.44088736,-1.1320904,-1.1774271,-0.0453367
25,1.063283,0.9771492,"('egoistic', 'altruistic')",1.8912203,1.7789211,1.883746,1.8275634,1.6127497,1.527878,-0.0848717
26,1.1430988,0.99640054,"('hardhearted', 'benevolent')",1.5880055,1.470393,1.9109435,1.7186891,1.5473493,1.3951608,-0.1521885
27,0.08157445,0.20643982,"('hardhearted', 'softhearted')",-0.22824866,-0.20340192,1.3552322,1.3046496,0.4028527,0.4358958,0.0330431
28,-0.43275383,-0.7374141,"('disloyal', 'loyal')",-1.156178,-1.3942679,0.77360296,0.60211104,-0.2717763,-0.5098569,-0.2380806
29,0.5240501,0.37821472,"('unfair', 'fair')",-0.04313163,-0.08657647,-0.66515386,-0.7496793,-0.0614118,-0.1526804,-0.0912686
30,0.09036945,-0.08530717,"('intolerant', 'tolerant')",-1.383053,-1.463413,0.51546735,0.5025215,-0.259072,-0.3487329,-0.0896609
31,0.63237983,0.7052523,"('evil', 'good')",1.8199818,1.7369752,-0.6373124,-0.71370137,0.6050164,0.5761753,-0.0288411
32,-0.45997497,-0.49979714,"('unkind', 'kind')",-1.1534171,-1.1396956,0.91813684,0.75496083,-0.2317518,-0.294844,-0.0630922
33,1.193683,1.0686274,"('wrong', 'right')",1.3185557,1.2100815,-0.23360243,-0.32447016,0.7595454,0.6514129,-0.1081325
34,-0.15352297,-0.07456679,"('mean', 'honorable')",-0.62056196,-0.5041102,5.716427,5.9765215,1.6474473,1.7992814,0.1518341
35,0.6317156,0.61744773,"('corrupt', 'incorrupt')",2.253566,2.1145275,0.29251254,0.17418917,1.0592647,0.9687214,-0.0905433
36,0.72777444,0.5812745,"('hostile', 'amicable')",2.0006654,1.7573167,0.9481214,0.72283727,1.2255205,1.0204761,-0.2050444
