,tesla_male,tesla_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.033526465,-0.0700196,"('unsociable', 'sociable')",-0.2681033,-0.45836112,-0.1508149,-0.2641904,-0.1133755
1,0.8544981,0.5026685,"('unfriendly', 'friendly')",1.264882,1.1568818,1.05969,0.8297752,-0.2299148
2,0.18909678,0.11264933,"('unlikable', 'likable')",0.72145516,0.7322291,0.455276,0.4224392,-0.0328368
3,-1.2357031,-1.0296168,"('repellent', 'pleasant')",0.46716836,0.40535438,-0.3842674,-0.3121312,0.0721362
4,-0.21821386,-0.4420574,"('disliked', 'liked')",-5.9983144,-6.2634,-3.1082642,-3.3527288,-0.2444646
5,-0.038688697,-0.31103992,"('distant', 'outgoing')",-0.6266941,-0.53971666,-0.3326914,-0.4253783,-0.0926869
6,-0.19071543,-0.4448433,"('distant', 'open')",-0.40615448,-0.32478908,-0.298435,-0.3848162,-0.0863812
7,0.6171411,0.7758695,"('insensitive', 'sensitive')",0.22367907,0.2590887,0.4204101,0.5174791,0.097069
8,1.4139073,1.1023582,"('unaffectionate', 'affectionate')",0.30371776,0.31767428,0.8588125,0.7100163,-0.1487962
9,1.519765,1.3019055,"('unaffectionate', 'caring')",0.44986477,0.500939,0.9848149,0.9014223,-0.0833926
10,0.61493754,0.76141304,"('unsympathetic', 'sympathetic')",-0.22575274,-0.35355347,0.1945924,0.2039298,0.0093374
11,0.58958006,0.72434336,"('unhelpful', 'helpful')",2.134591,2.1964176,1.3620856,1.4603804,0.0982948
12,0.66179776,0.76195645,"('unsupportive', 'supportive')",-1.8840945,-1.831151,-0.6111484,-0.5345973,0.0765511
13,0.3592816,0.4237232,"('impolite', 'polite')",-0.4025269,-0.34326333,-0.0216226,0.0402299,0.0618525
14,0.42401826,0.51568234,"('antisocial', 'social')",-0.20389012,-0.2866984,0.1100641,0.114492,0.0044279
15,1.0092331,0.79115796,"('boring', 'funny')",0.49287724,0.4277447,0.7510552,0.6094513,-0.1416039
16,-1.0846524,-1.1930035,"('unpopular', 'popular')",0.61137044,0.566241,-0.236641,-0.3133813,-0.0767403
17,-0.055724837,-0.074466236,"('nasty', 'nice')",-0.37020576,-0.23897786,-0.2129653,-0.1567221,0.0562432
18,-0.057638787,-0.13397494,"('disagreeable', 'welcoming')",-0.4414939,-0.43023658,-0.2495663,-0.2821057,-0.0325394
19,0.15680146,0.01412699,"('inhospitable', 'hospitable')",0.0496922,0.057221137,0.1032468,0.0356741,-0.0675727
20,1.3187417,1.3555835,"('rough', 'thoughtful')",1.4495785,1.3518972,1.38416,1.3537405,-0.0304195
21,0.7929765,0.8883707,"('immoral', 'moral')",-0.20598337,-0.2931556,0.2934965,0.2976075,0.004111
22,0.055932056,0.05066304,"('untrustworthy', 'trustworthy')",-0.907876,-1.0004506,-0.425972,-0.4748938,-0.0489218
23,0.71936613,0.7690477,"('insincere', 'sincere')",5.6550865,5.735528,3.1872263,3.2522879,0.0650616
24,1.2351089,1.2498822,"('dishonest', 'honest')",0.5486843,0.56746435,0.8918966,0.9086733,0.0167767
25,0.27716696,0.103482515,"('egoistic', 'altruistic')",0.82612604,0.7728975,0.5516465,0.43819,-0.1134565
26,1.7931496,1.4617987,"('hardhearted', 'benevolent')",1.4330642,1.3167897,1.613107,1.3892941,-0.2238129
27,0.60560155,0.5352069,"('hardhearted', 'softhearted')",0.668014,0.7008462,0.6368078,0.6180266,-0.0187812
28,1.4898046,1.3977975,"('disloyal', 'loyal')",1.1567794,1.0327513,1.323292,1.2152743,-0.1080177
29,-0.66689855,-0.6951374,"('unfair', 'fair')",-0.6558405,-0.7641723,-0.6613696,-0.7296548,-0.0682852
30,1.3493216,1.5140915,"('intolerant', 'tolerant')",1.4276848,1.4465635,1.3885032,1.4803275,0.0918243
31,-1.4826654,-1.6701283,"('evil', 'good')",-1.7006172,-1.6577259,-1.5916413,-1.6639271,-0.0722858
32,1.3973618,1.3096473,"('unkind', 'kind')",0.85866785,0.67126346,1.1280148,0.9904554,-0.1375594
