,tractor_male,tractor_female,tuple,supply_male,supply_female,co_male,co_female,average_male,average_female,female-male
0,1.1770769,1.0545002,"('unsociable', 'sociable')",1.1088083,1.1752433,0.5688048,0.36188135,0.9515634,0.8638749,-0.0876885
1,0.22042343,0.21034364,"('unfriendly', 'friendly')",0.5567851,0.49899328,1.8286202,1.727013,0.8686096,0.8121166,-0.056493
2,-0.55947,-0.49727866,"('unlikable', 'likable')",0.5713987,0.5939541,0.5765648,0.7267953,0.1961645,0.2744902,0.0783257
3,0.21644136,0.32491153,"('repellent', 'pleasant')",-0.013412064,0.19884123,0.5388501,0.5461073,0.2472932,0.35662,0.1093268
4,-0.19246247,-0.17071761,"('disliked', 'liked')",0.4733236,0.45070916,-6.6889772,-6.789267,-2.1360388,-2.1697585,-0.0337197
5,-0.9648659,-0.9353899,"('distant', 'outgoing')",-0.7671585,-0.75301015,-0.78950053,-0.6407403,-0.8405083,-0.7763801,0.0641282
6,-1.7397362,-1.67849,"('distant', 'open')",-1.0445013,-1.0202272,-0.73239213,-0.62701565,-1.1722098,-1.1085776,0.0636322
7,0.39856943,0.40682614,"('insensitive', 'sensitive')",-0.16132969,0.0013189577,0.1516583,0.16310287,0.1296327,0.190416,0.0607833
8,-0.5507789,-0.53733224,"('unaffectionate', 'affectionate')",-0.71228945,-0.77028716,0.75588334,0.74197906,-0.1690617,-0.1885468,-0.0194851
9,0.21090005,0.21094236,"('unaffectionate', 'caring')",-0.119792335,-0.063941255,1.189282,1.2155161,0.4267966,0.4541724,0.0273758
10,0.51163554,0.48934796,"('unsympathetic', 'sympathetic')",-0.4036774,-0.14796504,0.22138253,0.20965672,0.1097802,0.1836799,0.0738997
11,0.39633447,0.38142192,"('unhelpful', 'helpful')",1.6346583,1.7312784,2.620827,2.6940646,1.5506066,1.602255,0.0516484
12,0.6682946,0.8083088,"('unsupportive', 'supportive')",0.19967157,0.51495713,-2.0258262,-1.9566768,-0.3859533,-0.211137,0.1748163
13,0.80652606,0.7806256,"('impolite', 'polite')",0.725101,0.9412974,0.0492671,0.07594747,0.5269647,0.5992902,0.0723255
14,0.87361085,0.7651849,"('antisocial', 'social')",1.3965931,1.4633306,0.14989015,0.07747376,0.8066981,0.7686631,-0.038035
15,0.916865,0.8222913,"('boring', 'funny')",0.087432966,-0.12789333,0.50900936,0.44856536,0.5044358,0.3809878,-0.123448
16,-0.73853576,-0.71726537,"('unpopular', 'popular')",-0.6080506,-0.6562571,0.59769356,0.5157932,-0.2496309,-0.2859098,-0.0362789
17,-0.4275031,-0.29375315,"('nasty', 'nice')",0.50762373,0.56794494,-0.31748727,-0.30778834,-0.0791222,-0.0111988,0.0679234
18,-1.892901,-1.7813349,"('disagreeable', 'welcoming')",-1.8579996,-1.694353,-1.2391256,-1.1906892,-1.663342,-1.555459,0.107883
19,-0.5535094,-0.5047781,"('inhospitable', 'hospitable')",-1.055038,-1.0276462,-0.4646857,-0.39698857,-0.6910777,-0.6431376,0.0479401
20,-0.4299701,-0.39978126,"('rough', 'thoughtful')",-0.14271046,-0.13067973,0.39038354,0.3502676,-0.0607657,-0.0600645,0.0007012
21,0.50742984,0.49474734,"('immoral', 'moral')",0.29324052,0.5245447,-0.45466506,-0.39984408,0.1153351,0.2064827,0.0911476
22,-0.47535974,-0.4951546,"('untrustworthy', 'trustworthy')",0.045125376,0.211317,-0.31815827,-0.2993857,-0.2494642,-0.1944078,0.0550564
23,0.96143496,0.95777684,"('insincere', 'sincere')",1.0186934,1.1331019,6.469386,6.430401,2.8165048,2.8404264,0.0239216
