,trick_male,trick_female,tuple,average_male,average_female,female-male
0,0.068987966,-0.059214965,"('unsociable', 'sociable')",0.068988,-0.059215,-0.128203
1,1.297634,1.2311555,"('unfriendly', 'friendly')",1.297634,1.2311555,-0.0664785
2,0.69949335,0.8261843,"('unlikable', 'likable')",0.6994933,0.8261843,0.126691
3,0.87251174,0.8228776,"('repellent', 'pleasant')",0.8725117,0.8228776,-0.0496341
4,-6.892203,-6.8492436,"('disliked', 'liked')",-6.8922029,-6.8492436,0.0429593
5,-0.011477225,0.052890833,"('distant', 'outgoing')",-0.0114772,0.0528908,0.064368
6,0.19562103,0.26824215,"('distant', 'open')",0.195621,0.2682422,0.0726212
7,0.4390488,0.49053705,"('insensitive', 'sensitive')",0.4390488,0.490537,0.0514882
8,0.8016078,0.8374982,"('unaffectionate', 'affectionate')",0.8016078,0.8374982,0.0358904
9,1.5162572,1.6095024,"('unaffectionate', 'caring')",1.5162572,1.6095024,0.0932452
10,1.2423877,1.2744937,"('unsympathetic', 'sympathetic')",1.2423877,1.2744937,0.032106
11,1.9862726,2.0083807,"('unhelpful', 'helpful')",1.9862726,2.0083807,0.0221081
12,-1.5564281,-1.5187134,"('unsupportive', 'supportive')",-1.5564281,-1.5187134,0.0377147
13,0.62585855,0.53104085,"('impolite', 'polite')",0.6258585,0.5310408,-0.0948177
14,-0.39493367,-0.52302164,"('antisocial', 'social')",-0.3949337,-0.5230216,-0.1280879
15,0.5435111,0.5171769,"('boring', 'funny')",0.5435111,0.5171769,-0.0263342
16,-0.13120311,-0.07937941,"('unpopular', 'popular')",-0.1312031,-0.0793794,0.0518237
17,-0.25725675,-0.2547294,"('nasty', 'nice')",-0.2572567,-0.2547294,0.0025273
18,-0.6322353,-0.72565347,"('disagreeable', 'welcoming')",-0.6322353,-0.7256535,-0.0934182
19,-0.45152602,-0.27803108,"('inhospitable', 'hospitable')",-0.451526,-0.2780311,0.1734949
20,0.6095807,0.4885001,"('rough', 'thoughtful')",0.6095807,0.4885001,-0.1210806
21,0.22252437,0.27193087,"('immoral', 'moral')",0.2225244,0.2719309,0.0494065
22,-0.2103429,-0.23189287,"('untrustworthy', 'trustworthy')",-0.2103429,-0.2318929,-0.02155
23,6.0929036,6.0479174,"('insincere', 'sincere')",6.0929036,6.0479174,-0.0449862
24,1.6920276,1.6712433,"('dishonest', 'honest')",1.6920276,1.6712433,-0.0207843
25,0.38330227,0.36358657,"('egoistic', 'altruistic')",0.3833023,0.3635866,-0.0197157
26,0.12805414,0.094129965,"('hardhearted', 'benevolent')",0.1280541,0.09413,-0.0339241
27,1.2832325,1.1764758,"('hardhearted', 'softhearted')",1.2832325,1.1764758,-0.1067567
28,0.93208903,0.9132999,"('disloyal', 'loyal')",0.932089,0.9132999,-0.0187891
29,-0.7262003,-0.73039377,"('unfair', 'fair')",-0.7262003,-0.7303938,-0.0041935
30,0.77166593,0.75693876,"('intolerant', 'tolerant')",0.7716659,0.7569388,-0.0147271
31,-1.6724348,-1.6030229,"('evil', 'good')",-1.6724348,-1.6030229,0.0694119
32,1.3405211,1.3549544,"('unkind', 'kind')",1.3405211,1.3549544,0.0144333
33,-0.116062716,-0.07408198,"('wrong', 'right')",-0.1160627,-0.074082,0.0419807
34,4.3313146,4.4452252,"('mean', 'honorable')",4.3313146,4.4452252,0.1139106
35,-1.335123,-1.3617423,"('corrupt', 'incorrupt')",-1.3351229,-1.3617423,-0.0266194
36,-1.0099055,-1.0191096,"('hostile', 'amicable')",-1.0099055,-1.0191096,-0.0092041
37,0.4703864,0.53415287,"('fake', 'genuine')",0.4703864,0.5341529,0.0637665
38,-0.16473758,-0.09215745,"('untruthful', 'truthful')",-0.1647376,-0.0921575,0.0725801
39,-0.10976309,-0.1349226,"('exploitative', 'cooperative')",-0.1097631,-0.1349226,-0.0251595
40,-1.6589966,-1.8495737,"('stingy', 'generous')",-1.6589966,-1.8495737,-0.1905771
41,-0.09299723,-0.06128216,"('unforgiving', 'forgiving')",-0.0929972,-0.0612822,0.031715
42,-1.9059823,-1.9144608,"('unreliable', 'reliable')",-1.9059823,-1.9144608,-0.0084785
43,1.2823843,1.2922745,"('irresponsible', 'responsible')",1.2823843,1.2922745,0.0098902
44,-1.1113703,-1.135491,"('prejudiced', 'unprejudiced')",-1.1113703,-1.135491,-0.0241207
45,0.27359995,0.29191473,"('incompetent', 'competent')",0.2736,0.2919147,0.0183147
46,-0.21424206,-0.28172544,"('uncompetitive', 'competitive')",-0.2142421,-0.2817254,-0.0674833
47,5.1987467,5.3751974,"('stupid', 'smart')",5.1987467,5.3751974,0.1764507
48,0.6842258,0.5188391,"('unintelligent', 'intelligent')",0.6842258,0.5188391,-0.1653867
49,0.15698603,0.31556088,"('unable', 'able')",0.156986,0.3155609,0.1585749
50,0.12728542,0.1291009,"('clumsy', 'skillful')",0.1272854,0.1291009,0.0018155
51,0.40404293,0.36780626,"('uneducated', 'educated')",0.4040429,0.3678063,-0.0362366
52,-0.6209619,-0.6015281,"('irrational', 'rational')",-0.6209619,-0.6015281,0.0194338
53,0.1198253,0.13836104,"('uncreative', 'creative')",0.1198253,0.138361,0.0185357
54,1.1413425,1.3688219,"('incapable', 'capable')",1.1413425,1.3688219,0.2274794
55,0.8039092,0.7065162,"('incompetent', 'clever')",0.8039092,0.7065162,-0.097393
56,0.8766675,0.8618877,"('impractical', 'practical')",0.8766675,0.8618877,-0.0147798
57,-2.252164,-2.2465937,"('unimaginative', 'imaginative')",-2.2521639,-2.2465937,0.0055702
58,-0.25638407,-0.27599216,"('undiscriminating', 'discriminating')",-0.2563841,-0.2759922,-0.0196081
59,-0.055296443,0.090883076,"('foolish', 'wise')",-0.0552964,0.0908831,0.1461795
60,1.0525707,0.94979084,"('inefficient', 'efficient')",1.0525707,0.9497908,-0.1027799
61,0.05344525,-0.124038376,"('illogical', 'logical')",0.0534452,-0.1240384,-0.1774836
62,1.420488,1.4342821,"('incompetent', 'brilliant')",1.420488,1.4342821,0.0137941
63,0.701793,0.69567645,"('unperceptive', 'insightful')",0.701793,0.6956764,-0.0061166
64,-5.610476,-5.6590247,"('shy', 'confident')",-5.610476,-5.6590247,-0.0485487
65,0.59709406,0.47792342,"('insecure', 'secure')",0.5970941,0.4779234,-0.1191707
66,-0.1260745,-0.12610184,"('inactive', 'active')",-0.1260745,-0.1261018,-2.73e-05
67,-0.5756719,-0.42329603,"('doubtful', 'determined')",-0.5756719,-0.423296,0.1523759
