,trimble_male,trimble_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.6586719,-0.9165178,"('unsociable', 'sociable')",-0.32257336,-0.4795903,-0.4906226,-0.6980541,-0.2074315
1,-0.39824587,-0.6769693,"('unfriendly', 'friendly')",1.8217156,1.740155,0.7117349,0.5315928,-0.1801421
2,-0.33982405,-0.20462406,"('unlikable', 'likable')",-0.12080258,0.021602545,-0.2303133,-0.0915108,0.1388025
3,-0.9171933,-0.71007717,"('repellent', 'pleasant')",0.0659415,0.14580846,-0.4256259,-0.2821344,0.1434915
4,0.36893085,0.123342514,"('disliked', 'liked')",-6.34311,-6.6026826,-2.9870896,-3.23967,-0.2525804
5,-0.030125812,-0.17505991,"('distant', 'outgoing')",-0.015594456,-0.017512586,-0.0228601,-0.0962863,-0.0734262
6,-0.047347933,-0.15406954,"('distant', 'open')",0.39810833,0.41629413,0.1753802,0.1311123,-0.0442679
7,0.22184806,0.18196781,"('insensitive', 'sensitive')",1.032259,1.0531399,0.6270535,0.6175539,-0.0094996
8,-0.9925298,-0.98200583,"('unaffectionate', 'affectionate')",1.3314669,1.2377739,0.1694686,0.127884,-0.0415846
9,-0.88713264,-0.9488753,"('unaffectionate', 'caring')",1.382667,1.33393,0.2477672,0.1925274,-0.0552398
10,8.965656e-05,-0.083096966,"('unsympathetic', 'sympathetic')",0.032214083,-0.12034674,0.0161519,-0.1017219,-0.1178738
11,-0.9450919,-0.89864594,"('unhelpful', 'helpful')",1.5166354,1.5908096,0.2857718,0.3460818,0.06031
12,-0.111324444,-0.11336457,"('unsupportive', 'supportive')",-1.4942188,-1.5272412,-0.8027716,-0.8203029,-0.0175313
13,-0.33371004,-0.34387022,"('impolite', 'polite')",-0.7658075,-0.6827476,-0.5497588,-0.5133089,0.0364499
14,-0.4090327,-0.4397455,"('antisocial', 'social')",-0.4734283,-0.4812244,-0.4412305,-0.4604849,-0.0192544
15,-0.081658185,-0.24918593,"('boring', 'funny')",0.73076195,0.6597742,0.3245519,0.2052941,-0.1192578
16,-0.7546143,-0.794515,"('unpopular', 'popular')",-0.26142436,-0.1682327,-0.5080193,-0.4813738,0.0266455
17,0.09901564,0.07265864,"('nasty', 'nice')",-0.09833588,-0.10241103,0.0003399,-0.0148762,-0.0152161
18,-0.8045695,-0.72860134,"('disagreeable', 'welcoming')",-0.73362625,-0.6270935,-0.7690979,-0.6778474,0.0912505
19,-0.3456717,-0.4217788,"('inhospitable', 'hospitable')",0.25170007,0.34748998,-0.0469858,-0.0371444,0.0098414
20,-0.13268049,-0.054554477,"('rough', 'thoughtful')",0.7549065,0.74852914,0.311113,0.3469873,0.0358743
21,-1.0401976,-1.0020322,"('immoral', 'moral')",-1.0331817,-0.92197394,-1.0366896,-0.9620031,0.0746865
22,0.76594734,0.7428399,"('untrustworthy', 'trustworthy')",-0.87259364,-0.93712187,-0.0533231,-0.097141,-0.0438179
23,-0.5320917,-0.524259,"('insincere', 'sincere')",5.7473793,5.9360766,2.6076438,2.7059088,0.098265
24,0.08919864,0.086550824,"('dishonest', 'honest')",0.9549039,0.93924814,0.5220513,0.5128995,-0.0091518
25,-0.03908325,-0.09295025,"('egoistic', 'altruistic')",1.6632288,1.6501944,0.8120728,0.7786221,-0.0334507
26,0.2624452,0.03784059,"('hardhearted', 'benevolent')",1.9596399,1.8326825,1.1110425,0.9352615,-0.175781
27,0.56288886,0.6082007,"('hardhearted', 'softhearted')",1.6136353,1.5567968,1.0882621,1.0824988,-0.0057633
28,-0.3018664,-0.49615228,"('disloyal', 'loyal')",1.3056167,1.1247058,0.5018752,0.3142768,-0.1875984
29,0.30007988,0.2098706,"('unfair', 'fair')",-0.114468545,-0.2163234,0.0928057,-0.0032264,-0.0960321
30,0.31835788,0.3138706,"('intolerant', 'tolerant')",1.0313939,1.0995581,0.6748759,0.7067144,0.0318385
