,tripadvisor_male,tripadvisor_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.7158291,-0.78059596,"('unsociable', 'sociable')",-0.15610844,-0.32151315,-0.4359688,-0.5510545,-0.1150857
1,-1.5300617,-1.5261767,"('unfriendly', 'friendly')",2.0310686,1.94748,0.2505034,0.2106516,-0.0398518
2,0.14921454,0.23055641,"('unlikable', 'likable')",0.7677066,0.8785227,0.4584606,0.5545396,0.096079
3,-0.45182398,-0.23910838,"('repellent', 'pleasant')",0.17069288,0.2484858,-0.1405655,0.0046887,0.1452542
4,0.9076872,0.871664,"('disliked', 'liked')",-5.680371,-5.7553167,-2.3863418,-2.4418263,-0.0554845
5,-0.64701974,-0.58088535,"('distant', 'outgoing')",-0.006913066,-0.01574196,-0.3269664,-0.2983136,0.0286528
6,-1.2546748,-1.1721563,"('distant', 'open')",0.44861397,0.44167978,-0.4030304,-0.3652383,0.0377921
7,-0.26136655,-0.16327637,"('insensitive', 'sensitive')",0.53486896,0.6142481,0.1367512,0.2254859,0.0887347
8,-1.9289877,-1.8987516,"('unaffectionate', 'affectionate')",1.0234404,0.98858297,-0.4527737,-0.4550843,-0.0023106
9,-1.8124512,-1.7674646,"('unaffectionate', 'caring')",1.1863166,1.2003484,-0.3130673,-0.2835581,0.0295092
10,-1.3722628,-1.2856412,"('unsympathetic', 'sympathetic')",-0.41396898,-0.40268028,-0.8931159,-0.8441607,0.0489552
11,-0.5536189,-0.43271556,"('unhelpful', 'helpful')",1.5243843,1.6004686,0.4853827,0.5838766,0.0984939
12,-0.54901755,-0.3271896,"('unsupportive', 'supportive')",-1.7220564,-1.6427842,-1.1355369,-0.9849869,0.15055
13,0.17062382,0.18334283,"('impolite', 'polite')",-0.7531879,-0.72612154,-0.291282,-0.2713894,0.0198926
14,0.054453414,0.08696591,"('antisocial', 'social')",-0.30812413,-0.38832527,-0.1268354,-0.1506797,-0.0238443
15,0.39723068,0.23565534,"('boring', 'funny')",0.7809108,0.6888902,0.5890707,0.4622728,-0.1267979
16,-0.24387498,-0.21797676,"('unpopular', 'popular')",0.665374,0.6446526,0.2107495,0.2133379,0.0025884
17,0.33657768,0.3925108,"('nasty', 'nice')",-0.33766642,-0.30674133,-0.0005444,0.0428847,0.0434291
18,-0.71422434,-0.6212737,"('disagreeable', 'welcoming')",-0.26608026,-0.23744819,-0.4901523,-0.4293609,0.0607914
19,-0.93372536,-0.85886675,"('inhospitable', 'hospitable')",-0.10397615,0.030635372,-0.5188507,-0.4141157,0.104735
20,0.48465037,0.5043494,"('rough', 'thoughtful')",1.0993415,1.0707048,0.7919959,0.7875271,-0.0044688
21,0.53268695,0.5781773,"('immoral', 'moral')",-0.6710721,-0.60261226,-0.0691926,-0.0122175,0.0569751
22,0.046991285,0.09703021,"('untrustworthy', 'trustworthy')",-0.8082441,-0.8680244,-0.3806264,-0.3854971,-0.0048707
23,-1.0281713,-0.97270817,"('insincere', 'sincere')",5.2404957,5.183901,2.1061621,2.1055963,-0.0005658
24,-0.9867454,-1.0124364,"('dishonest', 'honest')",0.7705746,0.7760604,-0.1080854,-0.118188,-0.0101026
25,0.025530167,0.062014315,"('egoistic', 'altruistic')",1.8186077,1.7791148,0.922069,0.9205646,-0.0015044
26,0.2265227,0.1848241,"('hardhearted', 'benevolent')",2.172197,2.1215076,1.1993599,1.1531658,-0.0461941
27,0.19972849,0.23224564,"('hardhearted', 'softhearted')",1.362714,1.2854735,0.7812213,0.7588596,-0.0223617
28,-1.4326053,-1.487254,"('disloyal', 'loyal')",0.9599223,0.8499672,-0.2363415,-0.3186434,-0.0823019
29,-0.49985874,-0.5337565,"('unfair', 'fair')",-0.44747698,-0.6031173,-0.4736679,-0.5684369,-0.094769
30,0.1814891,0.1945607,"('intolerant', 'tolerant')",1.4294703,1.4156817,0.8054797,0.8051212,-0.0003585
31,-0.8065381,-0.7390435,"('evil', 'good')",-0.54716706,-0.6602143,-0.6768526,-0.6996289,-0.0227763
32,-0.008576168,-0.010384264,"('unkind', 'kind')",0.9931046,0.88857514,0.4922642,0.4390954,-0.0531688
33,-0.012648268,-0.013685837,"('wrong', 'right')",-0.42170593,-0.4857198,-0.2171771,-0.2497028,-0.0325257
34,-0.22594264,-0.06452553,"('mean', 'honorable')",5.613508,5.771074,2.6937828,2.8532741,0.1594913
35,0.53411996,0.41583467,"('corrupt', 'incorrupt')",0.1802606,-0.030896956,0.3571903,0.1924689,-0.1647214
36,-0.5944457,-0.64574337,"('hostile', 'amicable')",0.4601553,0.19883737,-0.0671452,-0.223453,-0.1563078
37,-0.38928792,-0.27956212,"('fake', 'genuine')",0.3330584,0.41804412,-0.0281148,0.069241,0.0973558
38,-0.97933877,-0.92808163,"('untruthful', 'truthful')",-0.054865696,0.014463579,-0.5171022,-0.456809,0.0602932
39,0.5961446,0.626199,"('exploitative', 'cooperative')",0.13071431,0.12476515,0.3634295,0.3754821,0.0120526
40,-0.07107379,-0.04181906,"('stingy', 'generous')",-1.3382325,-1.3967184,-0.7046531,-0.7192687,-0.0146156
41,-0.35694775,-0.29865342,"('unforgiving', 'forgiving')",0.24386358,0.1363897,-0.0565421,-0.0811319,-0.0245898
42,1.0116295,1.2219502,"('unreliable', 'reliable')",-2.7574303,-2.5851269,-0.8729004,-0.6815884,0.191312
43,-0.7503642,-0.59894574,"('irresponsible', 'responsible')",0.591674,0.6357977,-0.0793451,0.018426,0.0977711
44,1.1123368,1.1213459,"('prejudiced', 'unprejudiced')",-1.3694048,-1.3270863,-0.128534,-0.1028702,0.0256638
45,-0.53152215,-0.40004104,"('incompetent', 'competent')",0.16960405,0.14352831,-0.180959,-0.1282564,0.0527026
46,-0.80261433,-0.6420195,"('uncompetitive', 'competitive')",-0.6958682,-0.6942966,-0.7492412,-0.6681581,0.0810831
47,0.57158816,0.6266148,"('stupid', 'smart')",5.367973,5.4332395,2.9697804,3.0299273,0.0601469
48,-0.98255086,-0.9583225,"('unintelligent', 'intelligent')",0.74189216,0.7983443,-0.1203294,-0.0799891,0.0403403
49,-0.099707246,0.084116556,"('unable', 'able')",-0.1578644,-0.03708113,-0.1287858,0.0235177,0.1523035
50,0.36376235,0.47147354,"('clumsy', 'skillful')",-0.03075578,0.010985687,0.1665033,0.2412296,0.0747263
51,-0.2830405,-0.37002343,"('uneducated', 'educated')",0.28113934,0.25506088,-0.0009506,-0.0574813,-0.0565307
52,0.07725745,-0.11755053,"('irrational', 'rational')",0.4225742,0.2401368,0.2499158,0.0612931,-0.1886227
53,-0.6322398,-0.61852443,"('uncreative', 'creative')",1.2125052,1.1856688,0.2901327,0.2835722,-0.0065605
54,-0.9658544,-0.9727143,"('incapable', 'capable')",1.0298849,1.0473955,0.0320153,0.0373406,0.0053253
55,-1.2437192,-1.1327683,"('incompetent', 'clever')",0.109759904,0.15468335,-0.5669796,-0.4890425,0.0779371
56,0.794551,0.81099445,"('impractical', 'practical')",0.037320983,0.09682239,0.415936,0.4539084,0.0379724
57,0.1487628,0.1287426,"('unimaginative', 'imaginative')",-1.9732137,-1.9782846,-0.9122254,-0.924771,-0.0125456
58,-0.587054,-0.6188916,"('undiscriminating', 'discriminating')",0.32656288,0.2571886,-0.1302456,-0.1808515,-0.0506059
59,0.25657478,0.20489284,"('foolish', 'wise')",0.61033106,0.5681215,0.4334529,0.3865072,-0.0469457
60,0.027342627,0.1863899,"('inefficient', 'efficient')",-0.15979725,0.02370464,-0.0662273,0.1050473,0.1712746
61,-0.48381916,-0.56323934,"('illogical', 'logical')",0.22415015,0.03045923,-0.1298345,-0.2663901,-0.1365556
62,-0.19981298,-0.030672045,"('incompetent', 'brilliant')",0.12944995,0.30630964,-0.0351815,0.1378188,0.1730003
63,-0.58184123,-0.364026,"('unperceptive', 'insightful')",0.7657376,0.9084294,0.0919482,0.2722017,0.1802535
64,0.5312269,0.50187343,"('shy', 'confident')",-6.2852335,-6.30509,-2.8770032,-2.9016082,-0.024605
65,-0.271948,-0.37152687,"('insecure', 'secure')",-0.3784479,-0.4095789,-0.3251979,-0.3905529,-0.065355
66,-0.52901554,-0.55899024,"('inactive', 'active')",0.6767443,0.61769885,0.0738644,0.0293543,-0.0445101
67,0.79586107,0.80089074,"('doubtful', 'determined')",-0.57312727,-0.5088345,0.1113669,0.1460281,0.0346612
68,-0.47151324,-0.54856336,"('dependent', 'independent')",-0.79266244,-0.7941179,-0.6320878,-0.6713406,-0.0392528
69,0.91809905,0.94786525,"('lazy', 'industrious')",-0.33708027,-0.35336828,0.2905094,0.2972485,0.0067391
70,-0.042660013,0.121567585,"('lethargic', 'energetic')",0.54554284,0.63405555,0.2514414,0.3778116,0.1263702
71,0.40772113,0.4664594,"('diffident', 'self-confident')",0.574878,0.6160656,0.4912996,0.5412625,0.0499629
72,-0.2926519,-0.32682896,"('unambitious', 'ambitious')",-0.7878601,-0.7232253,-0.540256,-0.5250272,0.0152288
73,1.1869683,1.1644458,"('helpless', 'self-reliant')",-2.7946358,-2.7650895,-0.8038337,-0.8003219,0.0035118
74,-0.33267212,-0.19445226,"('undedicated', 'dedicated')",0.42988938,0.48273224,0.0486086,0.14414,0.0955314
75,0.06394617,0.027661035,"('meek', 'impulsive')",-0.44047946,-0.3989489,-0.1882666,-0.1856439,0.0026227
76,0.062413767,0.1858413,"('anxious', 'daring')",0.010948896,0.14971566,0.0366813,0.1677785,0.1310972
77,0.013725734,0.08657226,"('unmotivated', 'motivated')",-1.1429665,-1.0488411,-0.5646204,-0.4811344,0.083486
78,-0.5685195,-0.33379832,"('nonresilient', 'resilient')",0.11244477,0.21854042,-0.2280374,-0.057629,0.1704084
79,-0.62942487,-0.6216737,"('wavering', 'unwavering')",-0.0713153,-0.06221527,-0.3503701,-0.3419445,0.0084256
80,0.2870122,0.30021495,"('dominated', 'dominating')",-1.5254643,-1.4476073,-0.619226,-0.5736961,0.0455299
81,-0.16438097,-0.26536077,"('submissive', 'aggressive')",-0.80638945,-0.7116412,-0.4853852,-0.488501,-0.0031158
82,-0.8428252,-0.8079857,"('poor', 'rich')",6.008278,6.049784,2.5827265,2.6208992,0.0381727
83,-0.23525487,-0.18812492,"('powerless', 'powerful')",-1.0569915,-1.1070405,-0.6461232,-0.6475827,-0.0014595
84,0.16303611,0.047785696,"('inferior', 'superior')",0.8410003,0.7223766,0.5020182,0.3850811,-0.1169371
