,twenty_male,twenty_female,tuple,first_male,first_female,century_male,century_female,fox_male,fox_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.0217019,-1.0508579,"('unsociable', 'sociable')",-3.9140499,-3.8997724,-1.9874334,-2.0198286,0.21138136,0.14344148,-0.30363867,-0.3999664,-1.4030885,-1.4453967,-0.0423082
1,-0.5181442,-0.7529814,"('unfriendly', 'friendly')",-1.4107279,-1.5914645,0.069316015,-0.2520856,1.7925751,1.6344355,2.403795,2.160416,0.4673628,0.239664,-0.2276988
2,0.28708637,0.37175664,"('unlikable', 'likable')",0.9156527,0.9301121,0.33084574,0.37650737,0.6703274,0.7387162,0.51177156,0.5951715,0.5431368,0.6024528,0.059316
3,-0.02384857,0.10083084,"('repellent', 'pleasant')",-1.5306472,-1.3798118,-1.9566607,-1.7522926,-0.5591885,-0.41902626,-0.0139566,0.030368052,-0.8168603,-0.6839863,0.132874
4,-1.0654011,-1.0769752,"('disliked', 'liked')",1.2370863,1.244423,0.16121656,0.13141444,-1.1967471,-1.1837167,-6.578168,-6.750586,-1.4884027,-1.5270881,-0.0386854
5,-0.34749332,-0.47345364,"('distant', 'outgoing')",1.1119674,1.0498825,1.0135359,0.86997014,0.10606548,0.09132592,0.12108375,0.081477225,0.4010319,0.3238404,-0.0771915
6,-0.45302743,-0.56891817,"('distant', 'open')",2.4463925,2.3478239,1.1248158,1.0222365,0.15248701,0.1573633,0.759295,0.67422163,0.8059925,0.7265454,-0.0794471
7,-0.019871833,0.06070371,"('insensitive', 'sensitive')",-1.9308838,-1.8796152,-1.1863472,-1.0587031,-0.07197462,-0.012425415,0.5726898,0.59982353,-0.5272775,-0.4580433,0.0692342
8,-1.1321906,-1.3042979,"('unaffectionate', 'affectionate')",-0.44319457,-0.6142298,0.65272784,0.46400076,0.70029426,0.5799499,0.9220299,0.76832986,0.1399334,-0.0212494,-0.1611828
9,-0.4758226,-0.70137995,"('unaffectionate', 'caring')",-1.1580441,-1.3262327,0.4566908,0.29386255,1.2272153,1.1405222,1.2862291,1.1989253,0.2672537,0.1211395,-0.1461142
10,-1.7658429,-1.6549113,"('unsympathetic', 'sympathetic')",-4.0227118,-3.9335496,-3.1267722,-2.9613154,-0.83247244,-0.7967413,-0.6058266,-0.64166826,-2.0707253,-1.9976372,0.0730881
11,-0.48525062,-0.40234348,"('unhelpful', 'helpful')",-2.5805235,-2.605534,-1.3871492,-1.2170023,-0.1062705,-0.027025722,1.3271002,1.4025974,-0.6464187,-0.5698616,0.0765571
12,-0.9736323,-0.8759642,"('unsupportive', 'supportive')",-1.7558051,-1.7821957,-0.94297093,-0.7659597,-0.021214776,0.12428127,-1.7950655,-1.7681965,-1.0977377,-1.013607,0.0841307
13,0.054531455,0.15874326,"('impolite', 'polite')",-2.703737,-2.5901256,-2.3480775,-2.1724522,-0.7581866,-0.7693711,-0.65042603,-0.57100827,-1.281179,-1.1888427,0.0923363
14,-0.6176999,-0.48054743,"('antisocial', 'social')",-3.3486285,-3.2282012,-1.810535,-1.6418722,0.4300389,0.3878737,-0.8902275,-0.7797183,-1.2474103,-1.1484931,0.0989172
15,0.84521085,0.7566465,"('boring', 'funny')",1.7643982,1.6988189,2.538898,2.3774192,2.031494,1.9646326,0.89604163,0.8923673,1.6152086,1.5379769,-0.0772317
16,-1.3026799,-1.3609942,"('unpopular', 'popular')",0.37560868,0.33836943,-0.13545464,-0.3603493,-0.5501389,-0.5562816,0.39960676,0.3524243,-0.2426116,-0.3173663,-0.0747547
17,-0.39455208,-0.31298745,"('nasty', 'nice')",-1.7841804,-1.7373308,-0.30927077,-0.18219137,-0.71184725,-0.60127187,-0.47346437,-0.3964257,-0.734663,-0.6460414,0.0886216
18,-1.0772586,-1.1020875,"('disagreeable', 'welcoming')",0.851886,0.8121051,-0.5310294,-0.5704149,-0.3212994,-0.40823448,-0.3141346,-0.41441512,-0.2783672,-0.3366094,-0.0582422
19,-0.6049507,-0.62505275,"('inhospitable', 'hospitable')",1.1370785,1.0749259,1.5335712,1.5218668,-0.50360554,-0.44259784,0.08651714,0.09650892,0.3297221,0.3251302,-0.0045919
20,0.56105477,0.6111187,"('rough', 'thoughtful')",-0.26178458,-0.27701086,-0.04722263,0.045000024,0.11343426,0.14586748,1.59381,1.5698807,0.3918583,0.4189712,0.0271129
21,-0.077576995,0.10419746,"('immoral', 'moral')",-0.72899485,-0.6092608,-1.5102106,-1.406862,0.4111549,0.5160029,-0.9341413,-0.85328406,-0.5679538,-0.4498413,0.1181125
22,-0.13358842,-0.008733928,"('untrustworthy', 'trustworthy')",-0.70781565,-0.6195834,-1.6363765,-1.4540128,0.10175135,0.24362387,-0.9952248,-1.0497042,-0.6742508,-0.5776821,0.0965687
23,0.019788483,0.042954978,"('insincere', 'sincere')",-2.6890223,-2.69896,-1.3374252,-1.3114752,0.5139357,0.5131693,5.5762563,5.5673923,0.4167066,0.4226163,0.0059097
24,-0.514917,-0.50754815,"('dishonest', 'honest')",-3.0962746,-3.112667,-1.2473869,-1.2046881,-0.13264208,-0.07634693,0.55581176,0.4882958,-0.8870818,-0.8825909,0.0044909
