,usher_male,usher_female,tuple,average_male,average_female,female-male
0,0.3593333,0.31711474,"('unsociable', 'sociable')",0.3593333,0.3171147,-0.0422186
1,1.8885095,1.9595472,"('unfriendly', 'friendly')",1.8885095,1.9595472,0.0710377
2,0.44439778,0.6225297,"('unlikable', 'likable')",0.4443978,0.6225297,0.1781319
3,1.2369592,1.3232359,"('repellent', 'pleasant')",1.2369592,1.3232359,0.0862767
4,-6.8920026,-6.8802776,"('disliked', 'liked')",-6.8920026,-6.8802776,0.011725
5,-0.11136082,0.09343965,"('distant', 'outgoing')",-0.1113608,0.0934397,0.2048005
6,0.29775104,0.4429006,"('distant', 'open')",0.297751,0.4429006,0.1451496
7,1.6580607,1.7258767,"('insensitive', 'sensitive')",1.6580607,1.7258767,0.067816
8,1.5386834,1.5948868,"('unaffectionate', 'affectionate')",1.5386834,1.5948868,0.0562034
9,2.0422168,2.233891,"('unaffectionate', 'caring')",2.0422168,2.233891,0.1916742
10,1.2069006,1.2457473,"('unsympathetic', 'sympathetic')",1.2069006,1.2457473,0.0388467
11,1.8831357,1.9993231,"('unhelpful', 'helpful')",1.8831357,1.9993231,0.1161874
12,-1.0024467,-0.75884867,"('unsupportive', 'supportive')",-1.0024467,-0.7588487,0.243598
13,0.25662702,0.16758941,"('impolite', 'polite')",0.256627,0.1675894,-0.0890376
14,-0.020475486,-0.12007453,"('antisocial', 'social')",-0.0204755,-0.1200745,-0.099599
15,0.60690844,0.5996344,"('boring', 'funny')",0.6069084,0.5996344,-0.007274
16,-0.42436582,-0.24617267,"('unpopular', 'popular')",-0.4243658,-0.2461727,0.1781931
17,-0.27016604,-0.18610801,"('nasty', 'nice')",-0.270166,-0.186108,0.084058
18,0.06025047,0.123695426,"('disagreeable', 'welcoming')",0.0602505,0.1236954,0.0634449
19,-0.4385093,-0.16734198,"('inhospitable', 'hospitable')",-0.4385093,-0.167342,0.2711673
20,0.58395475,0.4694954,"('rough', 'thoughtful')",0.5839548,0.4694954,-0.1144594
21,0.12745038,0.3379416,"('immoral', 'moral')",0.1274504,0.3379416,0.2104912
22,-0.32030734,-0.2607998,"('untrustworthy', 'trustworthy')",-0.3203073,-0.2607998,0.0595075
23,6.6426897,6.712622,"('insincere', 'sincere')",6.6426897,6.7126222,0.0699325
24,2.019768,2.1645079,"('dishonest', 'honest')",2.019768,2.1645079,0.1447399
25,1.3908712,1.3148427,"('egoistic', 'altruistic')",1.3908712,1.3148427,-0.0760285
26,0.67098504,0.4602999,"('hardhearted', 'benevolent')",0.670985,0.4602999,-0.2106851
27,2.1583045,1.9536693,"('hardhearted', 'softhearted')",2.1583045,1.9536693,-0.2046352
28,1.2120829,1.1396673,"('disloyal', 'loyal')",1.2120829,1.1396673,-0.0724156
29,-0.9494596,-0.9713722,"('unfair', 'fair')",-0.9494596,-0.9713722,-0.0219126
30,1.1665404,1.1689773,"('intolerant', 'tolerant')",1.1665404,1.1689773,0.0024369
31,-1.0640532,-1.0263473,"('evil', 'good')",-1.0640532,-1.0263473,0.0377059
32,1.4451717,1.3104484,"('unkind', 'kind')",1.4451717,1.3104484,-0.1347233
33,-0.030133693,0.11971498,"('wrong', 'right')",-0.0301337,0.119715,0.1498487
34,4.6700735,4.9696546,"('mean', 'honorable')",4.6700735,4.9696546,0.2995811
35,-0.82040805,-0.87016296,"('corrupt', 'incorrupt')",-0.820408,-0.870163,-0.049755
36,-0.7703862,-0.7806901,"('hostile', 'amicable')",-0.7703862,-0.7806901,-0.0103039
37,1.4782397,1.4110934,"('fake', 'genuine')",1.4782397,1.4110934,-0.0671463
38,0.021925256,0.16601048,"('untruthful', 'truthful')",0.0219253,0.1660105,0.1440852
39,0.15859815,0.14757971,"('exploitative', 'cooperative')",0.1585982,0.1475797,-0.0110185
