,western_male,western_female,tuple,digital_male,digital_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.79128593,-0.7667382,"('unsociable', 'sociable')",-0.6888183,-0.6251164,-0.52719504,-0.5647673,-0.6690997,-0.6522073,0.0168924
1,-0.21325204,-0.35472953,"('unfriendly', 'friendly')",0.36546957,0.18186934,1.0228152,0.6652589,0.3916776,0.1641329,-0.2275447
2,1.4580841,1.4782459,"('unlikable', 'likable')",0.9987289,1.0392783,1.120994,1.0991846,1.1926023,1.2055696,0.0129673
3,-0.17121935,-0.09007916,"('repellent', 'pleasant')",-0.6618844,-0.39461046,0.5052964,0.7189808,-0.1092691,0.0780971,0.1873662
4,-0.7687821,-0.82590705,"('disliked', 'liked')",-0.87790936,-1.0145025,-5.5628786,-5.859129,-2.40319,-2.5665127,-0.1633227
5,-0.59950596,-0.6753558,"('distant', 'outgoing')",-0.20835997,-0.34482822,-0.608919,-0.7599391,-0.4722617,-0.5933744,-0.1211127
6,-0.62557346,-0.7019056,"('distant', 'open')",-0.5018594,-0.65641814,-0.54469997,-0.755341,-0.5573776,-0.704555,-0.1471774
7,0.49118924,0.52001643,"('insensitive', 'sensitive')",0.21531965,0.5052645,0.20653304,0.22927059,0.3043473,0.4181838,0.1138365
8,-0.17766681,-0.29271844,"('unaffectionate', 'affectionate')",-0.024062341,-0.29575837,0.202883,-0.06623688,0.0003846,-0.2182379,-0.2186225
9,0.3795729,0.29325515,"('unaffectionate', 'caring')",-0.06619652,-0.22630763,0.79306096,0.5844682,0.3688124,0.2171386,-0.1516738
10,-0.14837623,-0.06677857,"('unsympathetic', 'sympathetic')",-1.6071725,-1.3530322,-0.79580307,-0.74306065,-0.8504506,-0.7209571,0.1294935
11,-0.17051093,-0.12454626,"('unhelpful', 'helpful')",-0.009159447,0.1761077,1.6434442,1.6519042,0.4879246,0.5678219,0.0798973
12,0.8033863,0.83590484,"('unsupportive', 'supportive')",-0.39343688,-0.2602105,-1.7471759,-1.8211675,-0.4457422,-0.4151577,0.0305845
13,0.004734166,0.036135294,"('impolite', 'polite')",-0.3808196,-0.17382926,-0.75046206,-0.6748737,-0.3755158,-0.2708559,0.1046599
14,0.023840087,0.12981868,"('antisocial', 'social')",0.5117028,0.7143907,-0.011047176,0.06131069,0.1748319,0.30184,0.1270081
15,0.5214548,0.49695125,"('boring', 'funny')",0.90356266,0.751797,-0.22692344,-0.30570197,0.3993647,0.3143488,-0.0850159
16,-0.8486279,-0.9289839,"('unpopular', 'popular')",-0.5518201,-0.6778449,0.16123931,0.11482788,-0.4130696,-0.4973336,-0.084264
17,-0.3873802,-0.28024554,"('nasty', 'nice')",-1.1538846,-1.1354773,-0.86636406,-0.7691824,-0.802543,-0.7283018,0.0742412
18,0.33890194,0.35213053,"('disagreeable', 'welcoming')",0.29330873,0.26352873,-0.3332757,-0.48526067,0.099645,0.0434662,-0.0561788
19,0.07863749,0.052980863,"('inhospitable', 'hospitable')",-0.40510336,-0.48432595,-0.6664885,-0.68588185,-0.3309848,-0.372409,-0.0414242
20,-0.31283402,-0.21138868,"('rough', 'thoughtful')",0.14007834,0.34305277,0.6452834,0.7115734,0.1575092,0.2810792,0.12357
21,0.42604262,0.47538698,"('immoral', 'moral')",-0.30557328,-0.051309787,-0.5965527,-0.42495355,-0.1586945,-0.0002921,0.1584024
22,0.08781544,0.1573981,"('untrustworthy', 'trustworthy')",0.3308687,0.51193154,-0.8609429,-0.8156537,-0.1474196,-0.0487747,0.0986449
23,0.78564465,0.78401303,"('insincere', 'sincere')",-0.019202586,0.14214434,4.5444756,4.5681634,1.770306,1.8314403,0.0611343
24,0.64621603,0.61021763,"('dishonest', 'honest')",-0.29169625,-0.19482853,0.5709734,0.48192003,0.3084977,0.2991031,-0.0093946
25,0.6746137,0.60540766,"('egoistic', 'altruistic')",0.27482954,0.13533601,1.272078,1.1780473,0.7405071,0.639597,-0.1009101
26,0.15050387,0.10415147,"('hardhearted', 'benevolent')",0.10972722,0.018759664,1.8095027,1.5634378,0.6899113,0.5621163,-0.127795
27,-0.36548448,-0.30223444,"('hardhearted', 'softhearted')",-0.64053273,-0.59930325,0.42968896,0.40720183,-0.1921094,-0.1647786,0.0273308
28,0.5879793,0.47043055,"('disloyal', 'loyal')",0.096949756,0.081825025,0.8980555,0.72489923,0.5276615,0.4257183,-0.1019432
29,0.068476826,0.09482543,"('unfair', 'fair')",-0.22245412,-0.24735503,-0.5019815,-0.610629,-0.2186529,-0.2543862,-0.0357333
