,affiliated_male,affiliated_female,tuple,computer_male,computer_female,services_male,services_female,inc_male,inc_female,average_male,average_female,male-female
51,3.7834153,3.6076539,"('uneducated', 'educated')",-0.8799449,-0.9897059,0.2705689,0.5681139,0.49561572,0.37563074,0.9174138,0.8904232,0.0269906
31,-3.674301,-3.0987375,"('evil', 'good')",0.32195446,0.19174968,-1.1123297,-1.6432368,-1.6004529,-1.8325227,-1.5162822,-1.5956869,0.0794047
70,3.647538,3.367027,"('lethargic', 'energetic')",-1.48946,-1.4842055,0.07334039,0.5177185,1.0372444,1.1474191,0.8171657,0.8869898,-0.0698241
7,3.1611915,2.587219,"('insensitive', 'sensitive')",-0.2936321,-0.42567915,-0.04040687,0.12395727,0.6988152,0.59221333,0.8814919,0.7194276,0.1620643
60,2.9235387,1.689031,"('inefficient', 'efficient')",0.16482195,-0.021100929,1.2464906,1.4764951,0.24954553,0.1560856,1.1460992,0.8251277,0.3209715
43,2.9051714,2.051121,"('irresponsible', 'responsible')",-0.74204695,-0.92803085,-0.79094005,-0.66159856,0.64741075,0.5136622,0.5048988,0.2437885,0.2611103
74,2.8514152,2.8229594,"('undedicated', 'dedicated')",0.27908856,0.40640676,-0.028904393,0.15124363,0.6612889,0.53528345,0.940722,0.9789734,-0.0382514
39,2.6023164,2.3352149,"('exploitative', 'cooperative')",1.2386472,1.0195276,1.0230576,0.9359658,0.17306864,0.10139106,1.2592725,1.0980248,0.1612477
24,2.5873382,1.8755184,"('dishonest', 'honest')",-0.307418,-0.4530435,-0.16432919,-0.32750046,1.2045307,1.1322005,0.8300304,0.5567937,0.2732367
81,2.5787888,2.2198317,"('submissive', 'aggressive')",-0.11651023,-0.06618371,0.43272063,1.1100321,-0.15998745,-0.047244377,0.683753,0.8041089,-0.1203559
10,2.5544794,1.5052676,"('unsympathetic', 'sympathetic')",-1.2581991,-1.5970623,-0.5573232,-0.38030168,0.49656945,0.44117734,0.3088816,-0.0077298,0.3166114
80,2.4604113,2.0082514,"('dominated', 'dominating')",-1.3029938,-1.442983,0.7508988,1.3290781,-0.8414387,-0.75907594,0.2667194,0.2838176,-0.0170982
46,2.4444134,1.9045544,"('uncompetitive', 'competitive')",-1.0591735,-1.3077207,0.46681488,1.0923548,0.16314788,0.018531788,0.5038007,0.4269301,0.0768706
11,2.3904684,2.3938732,"('unhelpful', 'helpful')",0.64322543,0.7195604,1.5266423,1.9591577,2.5595229,2.697563,1.7799647,1.9425385,-0.1625738
35,-2.280215,-1.5448614,"('corrupt', 'incorrupt')",0.5430702,0.668469,-0.32690126,-0.70024496,-0.51375455,-0.5981125,-0.6444502,-0.5436875,-0.1007627
55,2.2373376,1.3078408,"('incompetent', 'clever')",-1.0144453,-1.0583761,-0.11640704,0.33086303,0.2372181,0.13943036,0.3359258,0.1799395,0.1559863
12,2.1815305,2.1742244,"('unsupportive', 'supportive')",0.05100164,0.08993996,0.4245221,0.54109937,-1.4096383,-1.764627,0.311854,0.2601592,0.0516948
14,2.1313906,1.8841861,"('antisocial', 'social')",0.04484129,0.111746766,0.8369684,1.2790834,-0.49365774,-0.39568308,0.6298856,0.7198333,-0.0899477
23,2.1059968,1.5458764,"('insincere', 'sincere')",-0.29484814,-0.33332926,0.4768323,0.6092846,5.352865,5.542475,1.9102116,1.8410767,0.0691349
86,2.0999691,1.1661961,"('uninfluential', 'influential')",0.38620389,0.16590185,-0.4096545,-0.3080749,0.48744392,0.20241927,0.6409906,0.3066106,0.33438
56,2.0945623,1.8777996,"('impractical', 'practical')",0.5842798,0.71678966,0.40390968,0.9320507,0.3341027,0.3770932,0.8542136,0.9759333,-0.1217197
36,-2.093572,-1.4606497,"('hostile', 'amicable')",0.11950344,0.18997292,-0.721323,-1.3629137,-0.16639102,-0.32658356,-0.7154456,-0.7400436,0.024598
65,2.0424309,1.2627683,"('insecure', 'secure')",-0.4245809,-0.56576663,-0.059209824,-0.015199047,0.12131718,0.002838049,0.4199893,0.1711602,0.2488291
25,-1.9942684,-1.8024576,"('egoistic', 'altruistic')",0.62285936,0.51252806,1.124285,0.9401834,1.2261329,1.0890691,0.2447522,0.1848308,0.0599214
32,1.9612781,1.5876831,"('unkind', 'kind')",-0.09179241,-0.16109872,0.31427038,0.526741,1.6728889,1.6100391,0.9641612,0.8908411,0.0733201
45,1.9383906,1.6489159,"('incompetent', 'competent')",-0.55380553,-0.7400349,1.0420951,1.34908,-0.20948268,-0.2687288,0.5542994,0.4973081,0.0569913
5,-1.8265468,-1.3956608,"('distant', 'outgoing')",1.19318,1.273372,-0.4697969,-0.8833505,-0.4969098,-0.7404517,-0.4000184,-0.4365227,0.0365043
42,1.8192048,1.8244708,"('unreliable', 'reliable')",-0.7982719,-0.75610995,0.4192416,0.75845253,-2.09923,-2.2633333,-0.1647639,-0.10913,-0.0556339
76,1.7857442,1.1925431,"('anxious', 'daring')",-1.9231814,-2.0099163,0.360152,0.80025584,0.5082015,0.6446023,0.1827291,0.1568712,0.0258579
77,1.7856953,1.2114358,"('unmotivated', 'motivated')",-0.27375108,-0.4654229,-0.22729725,-0.110653765,-0.93049324,-0.90188664,0.0885384,-0.0666319,0.1551703
48,1.732465,0.9440701,"('unintelligent', 'intelligent')",0.20999433,0.13648276,-0.8635336,-0.8562678,0.42663616,0.19332108,0.3763905,0.1044015,0.271989
87,1.7288756,1.7061698,"('unsuccessful', 'successful')",0.19377035,0.12677842,1.4401071,1.6540852,0.7834244,0.66367185,1.0365443,1.0376763,-0.001132
8,-1.6931844,-1.4891322,"('unaffectionate', 'affectionate')",0.01623281,0.023478746,-0.63764447,-1.0372472,0.21498816,0.057812177,-0.5249019,-0.6112721,0.0863702
21,1.6247402,0.9615671,"('immoral', 'moral')",0.016098969,0.0037018247,0.5401322,0.82815677,-0.26217985,-0.30292436,0.4796979,0.3726253,0.1070726
0,1.6180928,1.0361356,"('unsociable', 'sociable')",-0.24866022,-0.29626775,0.41418868,0.838536,0.14763492,0.03153882,0.4828141,0.4024857,0.0803284
4,-1.6134467,-0.49706072,"('disliked', 'liked')",-0.25921983,-0.18052828,0.12287741,0.27454162,-5.5933137,-5.752108,-1.8357757,-1.5387889,-0.2969868
63,1.5978723,1.3111025,"('unperceptive', 'insightful')",-0.004310865,-0.16533537,1.1123943,1.2724075,1.2194984,0.97279304,0.9813635,0.847742,0.1336215
