,assurant_male,assurant_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-1.9623754,-2.3117545,"('unfriendly', 'friendly')",2.1612473,1.9026724,0.0994359,-0.204541,0.3039769
86,-1.8689476,-2.052554,"('uninfluential', 'influential')",0.08412741,-0.15589103,-0.8924101,-1.1042224,0.2118123
53,-1.7856843,-1.7907252,"('uncreative', 'creative')",0.80073047,0.77422845,-0.4924769,-0.5082484,0.0157715
9,-1.6405864,-1.8678896,"('unaffectionate', 'caring')",1.3930186,1.3279866,-0.1237839,-0.2699515,0.1461676
0,-1.6217034,-1.6738905,"('unsociable', 'sociable')",-0.6526651,-0.61778647,-1.1371843,-1.1458385,0.0086542
69,1.5614147,1.402816,"('lazy', 'industrious')",-0.33701074,-0.4261544,0.612202,0.4883308,0.1238712
46,-1.4508493,-1.1043526,"('uncompetitive', 'competitive')",-1.1435169,-1.1002901,-1.297183,-1.1023214,-0.1948616
77,-1.3793983,-1.0984116,"('unmotivated', 'motivated')",-1.4950128,-1.2800667,-1.4372056,-1.1892391,-0.2479665
11,-1.3667862,-1.0973122,"('unhelpful', 'helpful')",1.4234954,1.651599,0.0283546,0.2771434,-0.2487888
57,-1.2867304,-1.361547,"('unimaginative', 'imaginative')",-2.2493804,-2.425545,-1.7680554,-1.893546,0.1254906
43,-1.2767661,-1.056409,"('irresponsible', 'responsible')",0.33562326,0.5484658,-0.4705714,-0.2539716,-0.2165998
19,-1.252977,-1.3115759,"('inhospitable', 'hospitable')",0.49288,0.26162627,-0.3800485,-0.5249748,0.1449263
12,-1.2377367,-1.2013984,"('unsupportive', 'supportive')",-1.7539996,-1.7371323,-1.4958682,-1.4692653,-0.0266029
8,-1.1797527,-1.5376499,"('unaffectionate', 'affectionate')",1.4544324,1.2095963,0.1373398,-0.1640268,0.3013666
35,1.1706187,0.8400356,"('corrupt', 'incorrupt')",0.30394602,-0.057738416,0.7372823,0.3911486,0.3461337
5,-1.115871,-1.2390876,"('distant', 'outgoing')",0.11645804,0.08774984,-0.4997064,-0.5756689,0.0759625
23,-1.105757,-0.95935506,"('insincere', 'sincere')",5.5545278,6.01637,2.2243853,2.5285075,-0.3041222
28,-1.0854077,-1.1131974,"('disloyal', 'loyal')",0.89463705,0.81832373,-0.0953853,-0.1474369,0.0520516
71,-1.0845474,-1.1932181,"('diffident', 'self-confident')",0.4230625,0.32099622,-0.3307424,-0.4361109,0.1053685
38,-1.0444282,-1.0326585,"('untruthful', 'truthful')",-0.4323905,-0.17897835,-0.7384094,-0.6058184,-0.132591
73,1.0184375,1.058319,"('helpless', 'self-reliant')",-2.6627758,-2.7330782,-0.8221691,-0.8373796,0.0152105
3,-1.0131809,-0.8574171,"('repellent', 'pleasant')",0.058388837,0.2331725,-0.477396,-0.3121223,-0.1652737
13,-0.9973079,-0.68703794,"('impolite', 'polite')",-0.9679607,-0.5789753,-0.9826343,-0.6330066,-0.3496277
55,-0.99158084,-0.815826,"('incompetent', 'clever')",-0.2402603,-0.032575235,-0.6159205,-0.4242006,-0.1917199
26,0.9767397,0.41909584,"('hardhearted', 'benevolent')",2.0743,1.7441441,1.5255198,1.08162,0.4438998
61,-0.9369242,-0.72723126,"('illogical', 'logical')",0.033694245,0.11523886,-0.451615,-0.3059962,-0.1456188
