,chubb_male,chubb_female,tuple,corp_male,corp_female,average_male,average_female,male-female
8,-2.4984448,-2.4737046,"('unaffectionate', 'affectionate')",0.7727103,0.53881884,-0.8628672,-0.9674429,0.1045757
9,-2.0659044,-2.0645938,"('unaffectionate', 'caring')",1.2026501,0.9676103,-0.4316272,-0.5484917,0.1168645
31,-1.489565,-1.5779324,"('evil', 'good')",-0.802489,-0.90608513,-1.146027,-1.2420087,0.0959817
87,1.3730266,1.3293926,"('unsuccessful', 'successful')",1.1876948,1.1058807,1.2803607,1.2176366,0.0627241
53,-1.3622539,-1.2891775,"('uncreative', 'creative')",0.37218657,0.24978748,-0.4950337,-0.519695,0.0246613
72,-1.3398647,-1.2118118,"('unambitious', 'ambitious')",-0.4700512,-0.66533625,-0.904958,-0.938574,0.033616
36,-1.3029381,-1.4216079,"('hostile', 'amicable')",-0.23114254,-0.23711318,-0.7670403,-0.8293605,0.0623202
79,-1.2874019,-1.3465925,"('wavering', 'unwavering')",-0.56109726,-0.6763319,-0.9242496,-1.0114622,0.0872126
44,1.2503084,1.1262833,"('prejudiced', 'unprejudiced')",-1.2337817,-1.3287032,0.0082633,-0.1012099,0.1094732
60,1.1611524,1.5918263,"('inefficient', 'efficient')",0.1072044,0.24113987,0.6341784,0.9164831,-0.2823047
52,-1.1542665,-1.1054385,"('irrational', 'rational')",-0.16899374,-0.18065652,-0.6616301,-0.6430475,-0.0185826
28,-1.1471862,-1.023569,"('disloyal', 'loyal')",1.0233377,1.1026868,-0.0619242,0.0395589,-0.1014831
76,1.1200294,1.2832702,"('anxious', 'daring')",-0.09449215,-0.09169016,0.5127686,0.59579,-0.0830214
38,-1.1132542,-1.1063071,"('untruthful', 'truthful')",-0.62271786,-0.5296185,-0.867986,-0.8179628,-0.0500232
1,-1.1116875,-1.2694006,"('unfriendly', 'friendly')",1.2871696,1.183155,0.087741,-0.0431228,0.1308638
39,1.0719392,1.2196889,"('exploitative', 'cooperative')",0.02096359,0.22544867,0.5464514,0.7225688,-0.1761174
19,-1.0516075,-1.0463094,"('inhospitable', 'hospitable')",-0.61450475,-0.66736156,-0.8330561,-0.8568355,0.0237794
80,1.0443342,0.8434313,"('dominated', 'dominating')",-0.8258664,-0.90253335,0.1092339,-0.029551,0.1387849
