,discover_male,discover_female,tuple,financial_male,financial_female,services_male,services_female,average_male,average_female,male-female
55,6.1819296,5.322396,"('incompetent', 'clever')",-1.0223868,-1.0553137,0.4116528,0.92579985,1.8570652,1.7309607,0.1261045
31,-5.718632,-4.9575033,"('evil', 'good')",-0.7198492,-0.6230126,-2.6262872,-2.9286675,-3.0215896,-2.8363946,-0.185195
85,-5.604305,-5.0871305,"('insignificant', 'prestigious')",2.0364935,1.9823828,-0.14646079,-0.43874395,-1.2380907,-1.1811639,-0.0569268
60,5.0446467,4.23099,"('inefficient', 'efficient')",-0.3928754,-0.46980596,1.8299667,2.2321756,2.1605794,1.9977865,0.1627929
35,-4.920943,-4.2751937,"('corrupt', 'incorrupt')",-0.34032032,-0.096520245,-1.340717,-1.3801497,-2.2006599,-1.917288,-0.2833719
46,4.7686644,4.1368284,"('uncompetitive', 'competitive')",-0.025534883,0.005813934,1.3809211,2.1300616,2.04135,2.0909014,-0.0495514
81,4.665329,3.8255174,"('submissive', 'aggressive')",1.0052598,0.84999657,1.3911428,1.5962816,2.3539104,2.0905986,0.2633118
62,4.640086,3.913187,"('incompetent', 'brilliant')",0.063631564,0.21807382,1.0881528,1.3154194,1.9306235,1.81556,0.1150635
36,-4.218587,-3.4018474,"('hostile', 'amicable')",0.38146442,0.33536106,-1.1667273,-1.6716983,-1.66795,-1.579395,-0.088555
10,4.2169037,3.2043636,"('unsympathetic', 'sympathetic')",-1.2098141,-1.5632828,0.26877445,0.4420668,1.0919547,0.6943825,0.3975722
70,4.009318,3.1836221,"('lethargic', 'energetic')",-0.54924095,-0.7980955,1.2233757,1.7027503,1.5611509,1.362759,0.1983919
52,-3.8998046,-3.7604556,"('irrational', 'rational')",0.6095654,0.37489963,-0.52012306,-0.7792924,-1.2701208,-1.3882828,0.118162
76,3.8137152,2.9921696,"('anxious', 'daring')",0.032314003,-0.14399895,1.3825984,1.7365775,1.7428759,1.5282494,0.2146265
59,-3.813486,-3.389919,"('foolish', 'wise')",0.86265194,0.80152076,-0.71100795,-1.0210603,-1.2206141,-1.2031528,-0.0174613
56,3.7161415,3.2388382,"('impractical', 'practical')",0.4423958,0.6369687,0.33514875,0.6488053,1.4978954,1.508204,-0.0103086
80,3.6274695,3.1651218,"('dominated', 'dominating')",-0.0006314106,-0.08090232,1.5386364,1.8391505,1.721825,1.6411233,0.0807017
43,3.5143814,2.7012687,"('irresponsible', 'responsible')",0.20692252,0.11045031,0.47272766,0.40203854,1.3980106,1.0712525,0.3267581
7,3.4147615,2.797575,"('insensitive', 'sensitive')",0.4317609,0.18219711,0.39082295,0.35815275,1.4124484,1.1126417,0.2998067
4,-3.2434452,-2.9007459,"('disliked', 'liked')",0.32554913,0.39414304,-2.895658,-2.8098981,-1.9378513,-1.7721669,-0.1656844
69,-3.1340446,-2.6272242,"('lazy', 'industrious')",1.5538343,1.7273185,0.39697266,0.20906126,-0.3944126,-0.2302815,-0.1641311
21,3.1315844,2.9506993,"('immoral', 'moral')",0.6954969,0.5657698,0.6297988,0.88305426,1.4856267,1.4665078,0.0191189
14,3.098497,2.7645292,"('antisocial', 'social')",1.3389968,1.415548,0.4631811,0.758318,1.6335583,1.6461317,-0.0125734
48,2.9321704,2.2967093,"('unintelligent', 'intelligent')",-1.0158263,-1.1692314,-0.5592989,-0.64424133,0.4523484,0.1610789,0.2912695
5,-2.9104779,-2.598326,"('distant', 'outgoing')",0.91049343,0.97950006,-0.4836769,-0.85875505,-0.8278871,-0.8258603,-0.0020268
86,2.870756,2.2808528,"('uninfluential', 'influential')",-0.9895741,-1.0299509,-0.33597887,0.16059303,0.5150677,0.4704983,0.0445694
13,2.8678129,2.3098161,"('impolite', 'polite')",0.0604726,-0.052642807,0.72283435,0.79583824,1.2170399,1.0176705,0.1993694
11,2.8526297,2.4651434,"('unhelpful', 'helpful')",-0.3070114,-0.38428417,2.6062427,2.6919115,1.7172871,1.5909236,0.1263635
65,2.8322845,2.5109413,"('insecure', 'secure')",-0.3143177,-0.5275902,0.026390538,0.13444297,0.8481191,0.7059313,0.1421878
79,-2.7234895,-2.45681,"('wavering', 'unwavering')",0.021057274,0.1376931,0.09114597,0.017155549,-0.8704287,-0.7673204,-0.1031083
23,2.6997163,2.0968263,"('insincere', 'sincere')",0.35318598,0.16731071,3.9217868,3.5547237,2.3248963,1.9396203,0.385276
16,-2.6663294,-2.3772452,"('unpopular', 'popular')",-0.5311057,-0.39518362,0.43711674,0.43450522,-0.9201061,-0.7793078,-0.1407983
0,2.6011665,1.9133837,"('unsociable', 'sociable')",-0.231046,-0.45001817,0.4300586,0.49636722,0.933393,0.6532443,0.2801487
63,2.5975652,2.0709517,"('unperceptive', 'insightful')",0.86330587,0.7664918,2.0616672,2.059722,1.8408461,1.6323884,0.2084577
6,-2.589108,-2.2546194,"('distant', 'open')",0.2797733,0.27340248,-0.87121785,-1.2420702,-1.0601842,-1.074429,0.0142448
51,2.5435712,2.047122,"('uneducated', 'educated')",-0.3395753,-0.3910013,0.723951,0.9125129,0.9759823,0.8562112,0.1197711
45,2.3775716,1.6902359,"('incompetent', 'competent')",-0.9987998,-0.98231345,0.89489037,1.1298542,0.7578874,0.6125922,0.1452952
19,-2.370593,-2.258857,"('inhospitable', 'hospitable')",-0.19719192,-0.19161963,-0.08225359,-0.25292835,-0.8833462,-0.901135,0.0177888
17,-2.3535442,-2.3373015,"('nasty', 'nice')",-0.12247046,-0.09718004,-0.2696142,-0.24578129,-0.9152096,-0.8934209,-0.0217887
57,2.2401621,1.4864655,"('unimaginative', 'imaginative')",-0.274533,-0.4436464,-2.0664082,-1.6333926,-0.033593,-0.1968578,0.1632648
75,-2.2246075,-1.7579776,"('meek', 'impulsive')",-0.28034714,-0.13148452,-0.5053927,-0.72095186,-1.0034491,-0.870138,-0.1333111
12,2.164619,1.7122004,"('unsupportive', 'supportive')",0.96844965,0.93418264,0.0960273,0.0907584,1.0763653,0.9123805,0.1639848
24,2.1050174,1.6819389,"('dishonest', 'honest')",-0.008823141,-0.28128326,-0.06026628,-0.73758405,0.6786427,0.2210239,0.4576188
30,2.0902872,1.7518079,"('intolerant', 'tolerant')",0.14107233,-0.008162603,0.5642398,0.49995866,0.9318664,0.747868,0.1839984
82,1.9990553,2.0170329,"('poor', 'rich')",-0.73755974,-0.64862734,2.9728403,3.106314,1.4114453,1.4915732,-0.0801279
32,1.9929757,1.5899876,"('unkind', 'kind')",0.3239309,-0.031332895,1.0348928,0.8329564,1.1172665,0.7972037,0.3200628
25,-1.9149683,-1.5264497,"('egoistic', 'altruistic')",0.5149937,0.43412656,1.1563277,1.2327206,-0.0812156,0.0467992,-0.1280148
29,-1.6800507,-1.741074,"('unfair', 'fair')",-0.13897495,-0.18879458,-1.1373522,-1.2494637,-0.9854593,-1.0597774,0.0743181
1,-1.6779503,-1.5966514,"('unfriendly', 'friendly')",1.0085325,0.7298767,-0.62058246,-0.89087534,-0.4300001,-0.5858834,0.1558833
22,1.6613852,1.447489,"('untrustworthy', 'trustworthy')",-0.6396035,-0.704025,-0.4168181,-0.26830396,0.2016545,0.1583867,0.0432678
77,1.6505016,1.3250039,"('unmotivated', 'motivated')",0.729481,0.72886956,0.5625633,0.8106662,0.9808486,0.9548465,0.0260021
74,1.5171533,1.1135505,"('undedicated', 'dedicated')",0.21230721,0.22894506,-0.14709482,0.26549464,0.5274552,0.5359968,-0.0085416
8,-1.493385,-1.3589447,"('unaffectionate', 'affectionate')",0.046849284,-0.07157025,-0.64935005,-1.0157382,-0.6986286,-0.8154178,0.1167892
50,-1.4514996,-1.2834002,"('clumsy', 'skillful')",0.86216927,0.73898125,1.3660783,1.5414276,0.258916,0.3323362,-0.0734202
42,1.4511106,0.994189,"('unreliable', 'reliable')",1.3315957,1.2689492,-0.11471247,-0.016681138,0.8893313,0.748819,0.1405123
37,1.4167598,1.1300625,"('fake', 'genuine')",-0.7091726,-0.90848684,0.38889596,0.31180575,0.3654944,0.1777938,0.1877006
72,1.4099302,1.3088679,"('unambitious', 'ambitious')",0.20973885,0.11647836,-1.2705481,-1.5456625,0.1163737,-0.0401054,0.1564791
3,1.3702307,1.2817484,"('repellent', 'pleasant')",-0.7918875,-0.7416401,0.6183527,0.7719383,0.3988986,0.4373489,-0.0384503
73,-1.2970184,-0.9390667,"('helpless', 'self-reliant')",1.0295713,0.9734889,-2.1179895,-2.292917,-0.7951455,-0.7528316,-0.0423139
44,-1.2866834,-1.0212041,"('prejudiced', 'unprejudiced')",-0.18879919,-0.05336862,-0.12735364,-0.04689481,-0.5342788,-0.3738225,-0.1604563
68,1.2839681,0.85993487,"('dependent', 'independent')",-1.9061517,-1.8033868,-0.3967616,-0.32738903,-0.3396484,-0.4236137,0.0839653
33,-1.1651272,-0.95669895,"('wrong', 'right')",2.1586068,2.2054634,-0.1038124,-0.39088225,0.2965557,0.2859608,0.0105949
87,1.1583061,0.98853356,"('unsuccessful', 'successful')",1.3017895,1.3183573,1.1882404,1.390938,1.216112,1.2326097,-0.0164977
39,1.0489273,1.0572047,"('exploitative', 'cooperative')",1.249509,1.1212509,0.2287158,0.14915211,0.842384,0.7758692,0.0665148
34,1.0323473,1.0681598,"('mean', 'honorable')",0.60218424,0.6091329,2.9499793,2.5415866,1.5281703,1.4062931,0.1218772
78,0.90192753,0.6351358,"('nonresilient', 'resilient')",0.97909147,0.9247312,1.4524633,2.018121,1.1111608,1.1926627,-0.0815019
88,0.8773117,0.5217133,"('low', 'eminent')",-0.87225264,-0.92645097,-0.12556224,-0.13495377,-0.0401677,-0.1798971,0.1397294
41,0.81273717,0.7154676,"('unforgiving', 'forgiving')",1.1186229,0.98583096,0.57800895,0.20682964,0.8364563,0.6360427,0.2004136
28,0.7821604,0.33828527,"('disloyal', 'loyal')",0.18050471,-0.016032271,0.49970323,0.4670354,0.4874561,0.2630961,0.22436
83,0.7231003,0.6922457,"('powerless', 'powerful')",1.1144829,1.1133898,0.5745441,0.32026142,0.8040424,0.7086323,0.0954101
20,0.6183888,0.23352852,"('rough', 'thoughtful')",0.33605197,0.21109492,-0.036861774,-0.22601691,0.3058596,0.0728688,0.2329908
38,0.550764,0.68013823,"('untruthful', 'truthful')",0.7306129,0.68532914,0.74924195,0.20273226,0.6768729,0.5227332,0.1541397
54,-0.50816447,-0.7055329,"('incapable', 'capable')",0.9952688,1.0406189,1.0640775,0.8624844,0.5170606,0.3991901,0.1178705
27,0.4985277,0.14367218,"('hardhearted', 'softhearted')",-0.8077954,-1.112551,0.26758224,-0.04174251,-0.0138952,-0.3368738,0.3229786
47,0.43719116,0.6334849,"('stupid', 'smart')",0.66165745,0.70018053,3.0144,2.944522,1.3710829,1.4260624,-0.0549795
26,-0.42782176,-0.67085904,"('hardhearted', 'benevolent')",1.755472,1.3085734,0.7997356,0.46741158,0.7091286,0.3683753,0.3407533
67,-0.40150297,-0.40291005,"('doubtful', 'determined')",0.5039804,0.59816706,0.5270652,0.2942339,0.2098475,0.1631636,0.0466839
2,0.3798317,0.6906396,"('unlikable', 'likable')",1.9184289,2.1658998,1.1999857,1.3896039,1.1660821,1.4153811,-0.249299
84,-0.37278485,-0.33128542,"('inferior', 'superior')",0.54960334,0.44565076,0.34956545,0.26810068,0.1754613,0.1274887,0.0479726
61,0.35464448,0.30118462,"('illogical', 'logical')",1.5978707,1.4943104,0.58205736,0.64001316,0.8448575,0.8118361,0.0330214
49,0.29302114,-0.118187755,"('unable', 'able')",-0.887202,-0.6919569,0.7280386,1.0369784,0.0446192,0.0756112,-0.030992
15,-0.21388933,-0.25583616,"('boring', 'funny')",0.49282113,0.5645811,-0.57963246,-0.84627384,-0.1002336,-0.1791763,0.0789427
58,0.21168423,0.016896486,"('undiscriminating', 'discriminating')",1.2266223,1.0751758,0.22257721,-0.057026044,0.5536279,0.3450154,0.2086125
53,0.19361995,-0.085336715,"('uncreative', 'creative')",1.3089721,1.1276155,-0.17741142,0.23002954,0.4417269,0.4241028,0.0176241
40,-0.090163864,-0.59331346,"('stingy', 'generous')",1.6243336,1.256509,-0.44580606,-0.7397251,0.3627879,-0.0255099,0.3882978
