,dominion_male,dominion_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
16,-1.9296589,-2.0824947,"('unpopular', 'popular')",-0.4899662,-0.66400194,0.18645184,0.11960977,-0.744391,-0.8756289,0.1312379
39,1.6400983,1.6974622,"('exploitative', 'cooperative')",-0.3464309,-0.23879834,-0.051647197,0.047719147,0.4140067,0.5021276,-0.0881209
84,1.4943571,1.5864283,"('inferior', 'superior')",-0.020564677,0.110349774,0.7761409,0.81995964,0.7499777,0.8389126,-0.0889349
26,1.404726,0.9952731,"('hardhearted', 'benevolent')",0.565695,0.40321213,1.2787037,0.9086949,1.0830416,0.7690601,0.3139815
31,-1.3374857,-1.6246765,"('evil', 'good')",-1.4281374,-1.5125154,-1.2295811,-1.0036612,-1.3317347,-1.3802843,0.0485496
44,-1.3247836,-1.338169,"('prejudiced', 'unprejudiced')",-0.41619325,-0.46533975,-1.4389516,-1.6166661,-1.0599761,-1.1400583,0.0800822
60,-1.0845611,-0.6286278,"('inefficient', 'efficient')",1.9989066,2.3757899,-0.15488389,0.052644424,0.2531539,0.5999355,-0.3467816
75,-1.0775441,-1.4436936,"('meek', 'impulsive')",-0.24021405,-0.37057492,-0.16989401,-0.27409303,-0.495884,-0.6961206,0.2002366
81,-1.0675654,-0.95440006,"('submissive', 'aggressive')",1.8164818,1.7598481,-0.5095113,-0.52716696,0.0798017,0.0927604,-0.0129587
68,-1.0583506,-0.73774177,"('dependent', 'independent')",-0.1617726,0.044165604,-0.29924402,-0.14453211,-0.5064557,-0.2793694,-0.2270863
74,0.98613656,0.8452539,"('undedicated', 'dedicated')",-0.20589274,-0.16392775,-0.049265195,-0.09710491,0.2436595,0.1947404,0.0489191
0,-0.98228616,-0.9326404,"('unsociable', 'sociable')",0.003547337,-0.029067613,-0.70552045,-0.7317888,-0.5614198,-0.5644989,0.0030791
6,-0.93118083,-1.194773,"('distant', 'open')",-1.1404668,-1.205373,-0.1138314,-0.03058779,-0.7284931,-0.8102446,0.0817515
55,-0.9170416,-0.6974059,"('incompetent', 'clever')",0.28118894,0.42505997,-0.010741726,0.033992693,-0.2155315,-0.0794511,-0.1360804
17,-0.91090846,-1.0045012,"('nasty', 'nice')",-0.9135121,-0.99922824,-0.52550036,-0.5398265,-0.783307,-0.8478519,0.0645449
33,0.903871,0.4382056,"('wrong', 'right')",0.9076364,0.67821133,-0.55851614,-0.5657814,0.4176638,0.1835452,0.2341186
72,0.88605994,0.73209375,"('unambitious', 'ambitious')",0.64790916,0.7040085,-0.80229473,-0.6556245,0.2438915,0.2601593,-0.0162678
80,0.8721019,1.0885462,"('dominated', 'dominating')",0.74164754,0.7716813,-0.5155496,-0.61850244,0.3660666,0.4139083,-0.0478417
73,0.8695314,0.94437987,"('helpless', 'self-reliant')",1.1390134,1.1828468,-2.8781943,-2.6090512,-0.2898831,-0.1606082,-0.1292749
36,-0.839623,-1.1142486,"('hostile', 'amicable')",-1.0874522,-1.3189732,-0.35430527,-0.40283343,-0.7604601,-0.9453518,0.1848917
53,-0.82411313,-1.2091908,"('uncreative', 'creative')",0.5409404,0.4702815,0.78782356,0.63286924,0.1682169,-0.0353467,0.2035636
59,0.78356814,0.7059994,"('foolish', 'wise')",0.4115575,0.37312526,0.5500009,0.60913163,0.5817088,0.5627521,0.0189567
40,0.7789416,0.43847242,"('stingy', 'generous')",0.6101261,0.5153729,-1.2135257,-1.2016227,0.058514,-0.0825925,0.1411065
7,0.7500268,0.66189957,"('insensitive', 'sensitive')",1.2862288,1.3162038,1.3409964,1.245078,1.1257507,1.0743937,0.051357
28,0.74701947,0.92910856,"('disloyal', 'loyal')",0.03859254,0.12866019,0.83016944,1.0285586,0.5385938,0.6954424,-0.1568486
77,-0.72728723,-0.6476694,"('unmotivated', 'motivated')",0.5453539,0.52175814,-1.2988107,-1.2684244,-0.4935814,-0.4647785,-0.0288029
9,0.71558917,0.5085225,"('unaffectionate', 'caring')",0.1948115,0.2372263,1.1013775,1.1803513,0.6705927,0.6420333,0.0285594
30,0.6863774,0.82167757,"('intolerant', 'tolerant')",1.1375197,1.1913482,1.0218784,1.0899681,0.9485919,1.0343313,-0.0857394
19,-0.68156743,-0.95559514,"('inhospitable', 'hospitable')",-1.2930431,-1.3019649,-0.09204618,-0.15583947,-0.6888856,-0.8044665,0.1155809
12,0.6595968,0.51004636,"('unsupportive', 'supportive')",0.7687908,0.7224578,-1.4558938,-1.4531028,-0.0091687,-0.0735329,0.0643642
24,0.64223105,0.75417525,"('dishonest', 'honest')",0.64076626,0.78545076,0.781066,0.97654647,0.6880211,0.8387241,-0.150703
29,-0.64201,-0.79809755,"('unfair', 'fair')",-0.47837123,-0.45196384,-0.28396508,-0.36882806,-0.4681154,-0.5396298,0.0715144
85,0.61361146,0.288818,"('insignificant', 'prestigious')",-0.27471375,-0.60158396,0.18092933,-0.07289854,0.1732757,-0.1285548,0.3018305
82,-0.6075189,-0.57563746,"('poor', 'rich')",-0.08273581,0.0024850452,6.1449943,6.2467446,1.8182465,1.8911974,-0.0729509
