,donnelley_male,donnelley_female,tuple,rr_male,rr_female,&_male,&_female,sons_male,sons_female,co_male,co_female,average_male,average_female,male-female
1,-2.6931078,-2.626349,"('unfriendly', 'friendly')",-1.4684314,-1.4237412,-0.09816509,-0.15156959,-1.3835871,-1.2947326,1.5718483,1.799156,-0.8142886,-0.7394473,-0.0748413
52,-1.8027555,-1.9722126,"('irrational', 'rational')",-1.2251878,-1.5165037,-0.14046496,-0.42619628,-1.0566347,-1.0093943,-0.15228161,-0.123990715,-0.8754649,-1.0096595,0.1341946
6,-1.7370297,-1.7304852,"('distant', 'open')",-0.25334537,-0.308311,0.6585338,0.52703905,-1.126721,-1.097693,0.015952416,0.14548597,-0.488522,-0.4927928,0.0042708
31,-1.6935086,-1.4252796,"('evil', 'good')",-0.66328835,-0.4972549,-0.033231907,0.078181386,-1.036371,-0.990058,-0.77889067,-0.6086604,-0.8410582,-0.6886143,-0.1524439
80,1.6464533,1.6289439,"('dominated', 'dominating')",0.51676834,0.6729045,-0.3528384,-0.020612702,-0.037440166,0.20966724,-1.191082,-1.077236,0.1163722,0.2827334,-0.1663612
87,1.5668583,1.4413097,"('unsuccessful', 'successful')",0.7436639,0.7475921,1.797659,1.7887295,1.5825206,1.5826124,0.5851766,0.6772128,1.2551756,1.2474914,0.0076842
36,-1.4194926,-1.223849,"('hostile', 'amicable')",-1.6549715,-1.6700233,0.32953703,0.15756565,-1.4495165,-1.4109087,0.31314355,0.3099233,-0.77626,-0.7674584,-0.0088016
81,1.3476459,1.0397847,"('submissive', 'aggressive')",0.33949164,0.36647773,0.11517382,-0.11985408,0.5166553,0.3426069,-0.72214305,-0.9965013,0.3193647,0.1265028,0.1928619
85,-1.3462495,-1.1861118,"('insignificant', 'prestigious')",-0.9466763,-0.978662,1.6325673,1.1959302,-0.6018637,-0.39905858,-0.13992259,0.06356898,-0.280429,-0.2608667,-0.0195623
18,-1.3076082,-1.5595508,"('disagreeable', 'welcoming')",-1.7165796,-1.8993064,-0.10556211,-0.31859696,-0.4467424,-0.6592262,-1.127392,-1.1499301,-0.9407768,-1.117322,0.1765452
28,-1.2560966,-1.2366314,"('disloyal', 'loyal')",-0.5219656,-0.36326277,-0.71234435,-0.6566224,-0.37776324,-0.31068835,0.84581935,0.887147,-0.4044701,-0.3360116,-0.0684585
53,-1.2274472,-1.2302197,"('uncreative', 'creative')",-0.6515616,-0.5135725,0.52726364,0.52969205,-1.2636484,-1.2890059,0.8488838,0.784971,-0.353302,-0.343627,-0.009675
75,1.1463435,1.3047485,"('meek', 'impulsive')",-0.62473655,-0.53287727,1.0125264,0.80970883,-0.2859474,-0.33874467,-0.14501797,-0.17672847,0.2206336,0.2132214,0.0074122
27,-1.141108,-1.0269798,"('hardhearted', 'softhearted')",-0.09584641,0.01065461,-1.4909211,-1.0435896,-0.6911151,-0.5701742,0.6783381,0.98870873,-0.5481306,-0.3282761,-0.2198545
25,-1.124852,-1.2951294,"('egoistic', 'altruistic')",-1.0453172,-1.3252528,0.40763465,0.055996526,-0.26859546,-0.25418252,1.3856192,1.298739,-0.1291021,-0.3039659,0.1748638
76,1.0794276,0.6782681,"('anxious', 'daring')",0.16659418,0.040461045,1.3704485,1.0733773,0.71886426,0.35788,0.15743023,-0.1471131,0.6985529,0.4005746,0.2979783
24,-1.0673188,-1.2554073,"('dishonest', 'honest')",-0.2309705,-0.23957978,-0.89006865,-1.0084927,-0.3643341,-0.4203258,0.4699486,0.54446834,-0.4165487,-0.4758675,0.0593188
5,-0.96810436,-0.9063718,"('distant', 'outgoing')",0.2364363,0.2260536,0.61478215,0.69866097,-0.73396,-0.678485,-0.32767528,-0.17677754,-0.2357042,-0.1673839,-0.0683203
40,-0.9548482,-0.6893481,"('stingy', 'generous')",-0.944688,-0.71096915,-1.1538475,-0.9092674,-0.44844753,-0.20441662,-2.5632138,-2.1815643,-1.213009,-0.939113,-0.273896
9,-0.94443214,-1.004357,"('unaffectionate', 'caring')",0.19675046,0.15719618,-0.26387966,-0.17002541,-0.35641906,-0.3331613,1.202486,1.3852036,-0.0330989,0.0069712,-0.0400701
86,-0.9314996,-0.8072523,"('uninfluential', 'influential')",-0.22753017,-0.07679808,-0.86335844,-0.43684965,-0.51410824,-0.32428783,-0.73909605,-0.4616041,-0.6551185,-0.4213584,-0.2337601
26,-0.8769673,-0.70060647,"('hardhearted', 'benevolent')",0.80218166,0.97388273,1.61169,1.9470496,0.21273641,0.39822304,1.4784534,1.7986033,0.6456188,0.8834305,-0.2378117
68,-0.87551916,-0.65629303,"('dependent', 'independent')",-2.0743437,-2.1257672,-1.6931608,-1.5716076,-1.2690164,-1.228339,-1.8308325,-1.9162306,-1.5485744,-1.4996474,-0.048927
56,0.84405017,0.6651163,"('impractical', 'practical')",1.3261695,1.1868237,-0.16411799,-0.3978568,1.3747356,1.079118,-0.03530903,-0.4124285,0.6691056,0.4241546,0.244951
34,-0.8238385,-0.8754058,"('mean', 'honorable')",-0.72966945,-0.7061414,-0.17421117,-0.30178759,0.26554555,0.24646467,5.695024,5.6477976,0.8465701,0.8021854,0.0443847
46,0.8069429,0.7076258,"('uncompetitive', 'competitive')",0.29800376,0.3959047,-0.06893223,-0.08831448,0.4218391,0.28372225,-0.6691704,-0.7879246,0.1577366,0.1022027,0.0555339
48,-0.79723006,-0.8361733,"('unintelligent', 'intelligent')",-1.1701897,-1.089297,-1.3783951,-1.2503445,-1.515698,-1.4897414,-0.5513438,-0.54534954,-1.0825714,-1.0421812,-0.0403902
41,-0.79312754,-0.8086264,"('unforgiving', 'forgiving')",-1.3695103,-1.3080379,-0.29021192,-0.313413,-0.3959771,-0.39572185,0.40574884,0.3669278,-0.4886156,-0.4917743,0.0031587
50,0.7733276,0.69790196,"('clumsy', 'skillful')",-0.3523826,-0.4425341,1.3232516,1.3179157,0.03386545,-0.12818676,-0.13404252,-0.18739304,0.3288039,0.2515407,0.0772632
88,-0.74690497,-1.2575914,"('low', 'eminent')",-1.0845104,-1.3546873,0.76675254,-0.25602123,-0.3568118,-0.86850417,-0.058954734,-0.5485301,-0.2960859,-0.8570668,0.5609809
73,0.74281967,0.8425966,"('helpless', 'self-reliant')",0.6417252,0.49921003,0.15262678,0.045481965,0.10754092,0.084792316,-3.6648405,-3.524721,-0.4040256,-0.410528,0.0065024
57,-0.7307168,-0.46168372,"('unimaginative', 'imaginative')",-0.31074047,-0.010149941,-0.41343266,-0.128136,-0.72880954,-0.66772383,-3.1885018,-2.9943597,-1.0744403,-0.8524107,-0.2220296
42,0.7025983,0.5492154,"('unreliable', 'reliable')",0.5800763,0.49587828,0.9372345,0.76338106,0.2563751,0.19966869,-2.9686291,-3.0890977,-0.098469,-0.2161909,0.1177219
4,-0.69485027,-0.29509324,"('disliked', 'liked')",-0.4099968,-0.27005154,0.8296563,0.9218074,0.17264272,0.26743373,-6.9100924,-6.8205447,-1.4025281,-1.2392897,-0.1632384
16,-0.69324374,-0.9268219,"('unpopular', 'popular')",0.13136213,-0.056328304,0.56990504,0.10527517,0.015074372,-0.18538444,0.32322052,0.10234424,0.0692637,-0.1921831,0.2614468
19,-0.6869003,-0.679211,"('inhospitable', 'hospitable')",0.30233184,0.1733418,-0.26594284,-0.4197722,-0.9256065,-1.0759164,-0.39720136,-0.45392007,-0.3946638,-0.4910956,0.0964318
65,0.6850929,0.43098882,"('insecure', 'secure')",-0.25180754,-0.17045979,-0.61085045,-0.4594037,0.22602628,0.14799592,-0.02929391,-0.19876829,0.0038335,-0.0499294,0.0537629
64,0.67138565,0.59695286,"('shy', 'confident')",0.76445836,0.74759793,0.4257703,0.47625503,1.0079812,0.9097073,-6.3310595,-6.32668,-0.6922928,-0.7192334,0.0269406
14,0.6665902,0.7201271,"('antisocial', 'social')",1.1101992,1.2121996,0.6667492,0.8685224,1.1782976,1.1459447,0.021042716,0.020718057,0.7285758,0.7935023,-0.0649265
79,-0.6466899,-0.6057787,"('wavering', 'unwavering')",-1.00175,-1.0026842,0.9723022,0.5742798,-0.49164784,-0.61042124,-0.38395905,-0.3299468,-0.3103489,-0.3949102,0.0845613
32,-0.6279837,-1.0178969,"('unkind', 'kind')",0.1481635,0.041969292,-0.06766951,-0.37182063,0.15989327,-0.18712789,0.99623287,0.7752615,0.1217273,-0.1519229,0.2736502
23,-0.6275344,-1.248681,"('insincere', 'sincere')",0.25661343,0.073787674,-0.80255073,-1.2919073,0.2888513,-0.12706606,6.039136,5.603087,1.0309031,0.601844,0.4290591
62,0.6144835,0.2391724,"('incompetent', 'brilliant')",0.7668917,0.7447539,-0.9569476,-1.2227936,0.7921057,0.50685716,-0.05593722,-0.25178275,0.2321192,0.0032414,0.2288778
67,0.6070734,0.3515902,"('doubtful', 'determined')",1.0751617,0.8022933,0.8405798,0.719672,0.89978635,0.6772698,-0.05735891,-0.31076103,0.6730484,0.4480128,0.2250356
3,-0.6008515,-0.7304162,"('repellent', 'pleasant')",-0.45572102,-0.4754572,-0.7253652,-0.7174406,0.30923873,0.12327781,0.44547462,0.23851195,-0.2054449,-0.3123049,0.10686
60,0.5864437,0.33377403,"('inefficient', 'efficient')",1.0285946,1.0948775,-1.0516354,-0.95871586,1.0987384,0.8800611,0.051569015,-0.13678451,0.3427421,0.2426425,0.1000996
49,-0.5770759,-0.5379811,"('unable', 'able')",-0.5624775,-0.4058358,-0.5606273,-0.60371226,-1.152985,-1.3956201,-0.57271564,-0.7263097,-0.6851763,-0.7338918,0.0487155
55,0.5662615,0.43537742,"('incompetent', 'clever')",0.4669833,0.4681788,-0.9638188,-0.8213256,-0.05111479,-0.19432575,0.061632127,-0.019193918,0.0159887,-0.0262578,0.0422465
59,-0.547069,-0.6997187,"('foolish', 'wise')",0.07308175,-0.04696524,1.5575235,1.2780344,-0.09525822,-0.21239862,-0.015763693,0.044212878,0.1945028,0.072633,0.1218698
29,-0.544825,-0.66984653,"('unfair', 'fair')",0.29953143,0.29572493,0.35262308,0.24202244,-1.6337833,-1.5909939,-0.7974897,-0.78605336,-0.4647887,-0.5018293,0.0370406
8,-0.5375389,-0.5762496,"('unaffectionate', 'affectionate')",-0.1991218,-0.39592358,0.030696366,0.045379657,-0.3166706,-0.35618088,0.7744496,1.0139903,-0.0496371,-0.0537968,0.0041597
13,0.5287151,0.32765108,"('impolite', 'polite')",0.35489377,0.3231552,-0.531409,-0.43929282,1.310554,1.314549,0.09797929,-0.064641796,0.3521466,0.2922841,0.0598625
61,-0.49021122,-0.5425044,"('illogical', 'logical')",-0.5531473,-0.444894,-0.07778691,0.039828815,-0.11759986,0.029183026,0.0542008,0.14705913,-0.2369089,-0.1542655,-0.0826434
39,-0.47396466,-0.5010103,"('exploitative', 'cooperative')",-0.55190074,-0.48781008,-0.39717007,-0.26750815,0.110197514,0.2519891,0.15568706,0.18361221,-0.2314302,-0.1641454,-0.0672848
84,0.45981285,0.22707625,"('inferior', 'superior')",0.6250666,0.538667,0.7862196,0.49756908,0.39314812,0.32471287,0.5201044,0.38229746,0.5568703,0.3940645,0.1628058
2,0.44888675,0.078579806,"('unlikable', 'likable')",0.56584287,0.29783672,1.5807123,1.1737208,1.0884748,0.8386375,0.9352914,0.7817397,0.9238416,0.6341029,0.2897387
47,-0.44044867,-0.54391634,"('stupid', 'smart')",-0.04883463,-0.1564131,0.43154135,0.43578005,0.9430547,0.73343945,5.610363,5.514459,1.2991351,1.1966699,0.1024652
82,0.43574122,-0.04861764,"('poor', 'rich')",-0.67864656,-0.9692254,0.3116545,-0.27951083,-0.28475112,-0.87486535,6.4979706,5.9586763,1.2563937,0.7572914,0.4991023
51,0.43391687,-0.033285305,"('uneducated', 'educated')",-0.19207218,-0.45888823,0.81668735,0.4830605,0.6688565,0.382116,0.17958172,-0.1273053,0.3813941,0.0491395,0.3322546
44,0.41836637,0.28265014,"('prejudiced', 'unprejudiced')",-0.8290598,-0.8226899,-0.11283122,-0.32300368,-0.20616955,-0.34876415,-1.0182666,-1.2022663,-0.3495922,-0.4828148,0.1332226
70,0.40170205,0.40385398,"('lethargic', 'energetic')",0.58819866,0.7042902,0.59321994,0.5254015,0.6466483,0.52920854,0.49736983,0.50318444,0.5454277,0.5331877,0.01224
69,0.40121928,0.79171175,"('lazy', 'industrious')",0.29649258,0.48220155,0.7424251,0.95894396,0.03328316,0.4025051,-1.0747956,-0.74229085,0.0797249,0.3786143,-0.2988894
21,0.34766245,-0.037645362,"('immoral', 'moral')",0.4970624,0.40851668,0.29173917,-0.019618198,0.026396904,-0.3589311,-0.7174546,-1.0364709,0.0890813,-0.2088298,0.2979111
63,0.3151829,0.2563816,"('unperceptive', 'insightful')",-0.12363985,-0.17200103,0.80725807,0.88985705,0.35644427,0.30377287,0.24760985,0.25251186,0.320571,0.3061045,0.0144665
58,-0.30076903,0.19242497,"('undiscriminating', 'discriminating')",-0.52023876,-0.14352028,-0.6125137,-0.11482528,-0.7611875,-0.4013809,0.27035978,0.61217844,-0.3848699,0.0289754,-0.4138453
20,-0.28863344,-0.28490448,"('rough', 'thoughtful')",-0.93700016,-0.89443135,-0.021640232,0.19666512,-0.3854293,-0.5117585,0.60650694,0.54024595,-0.2052392,-0.1908367,-0.0144025
22,0.28828073,0.3125541,"('untrustworthy', 'trustworthy')",0.017806895,-0.020360034,-0.057379104,-0.0636826,-0.17682958,-0.2986389,-0.7930061,-0.8099769,-0.1442254,-0.1760209,0.0317955
66,0.25599238,0.36213237,"('inactive', 'active')",0.16686851,0.19414614,1.4486457,1.3999972,0.78193814,0.82684684,0.719468,0.97651225,0.6745826,0.7519269,-0.0773443
15,-0.22223781,-0.35428554,"('boring', 'funny')",0.90311605,0.77029586,0.73060036,0.66185194,-0.28754285,-0.16765182,0.5061937,0.42292354,0.3260259,0.2666268,0.0593991
83,-0.21946996,-0.1660904,"('powerless', 'powerful')",0.10869777,-0.046017326,-0.6377783,-0.6584963,-0.050234146,-0.07179066,-1.3453506,-1.3532996,-0.428827,-0.4591389,0.0303119
54,-0.21260822,-0.63854086,"('incapable', 'capable')",0.23400086,-0.011684574,0.35260332,-0.1314729,-0.29092118,-0.70110863,0.6946382,0.5602643,0.1555426,-0.1845085,0.3400511
