,equity_male,equity_female,tuple,residential_male,residential_female,average_male,average_female,male-female
85,2.0549116,2.1354222,"('insignificant', 'prestigious')",-0.64175063,-0.66951454,0.7065805,0.7329538,-0.0263733
26,1.9821177,2.266749,"('hardhearted', 'benevolent')",1.0430647,1.3537892,1.5125911,1.8102691,-0.297678
71,1.8028898,1.8396393,"('diffident', 'self-confident')",1.1435426,1.3371522,1.4732163,1.5883958,-0.1151795
2,1.7538528,1.7451288,"('unlikable', 'likable')",0.5031775,0.5695028,1.1285152,1.1573157,-0.0288005
12,1.6042559,1.7246552,"('unsupportive', 'supportive')",-0.6278742,-0.44488046,0.4881909,0.6398873,-0.1516964
30,1.527975,1.3474296,"('intolerant', 'tolerant')",1.7024912,1.6504701,1.6152331,1.4989499,0.1162832
9,1.5238653,1.6579461,"('unaffectionate', 'caring')",1.9224409,2.0062203,1.7231531,1.8320832,-0.1089301
73,1.4041148,1.4240376,"('helpless', 'self-reliant')",-3.7300088,-3.5380828,-1.1629469,-1.0570226,-0.1059243
34,1.3524916,1.381194,"('mean', 'honorable')",5.5123672,5.214893,3.4324293,3.2980435,0.1343858
33,1.2872887,1.4106588,"('wrong', 'right')",0.2730882,0.3098145,0.7801884,0.8602366,-0.0800482
15,1.2615128,1.5077689,"('boring', 'funny')",0.13639385,0.21011935,0.6989533,0.8589441,-0.1599908
37,-1.2218249,-0.9516471,"('fake', 'genuine')",0.59179157,0.6345306,-0.3150167,-0.1585582,-0.1564585
23,1.212962,1.0178492,"('insincere', 'sincere')",7.7431154,7.4648175,4.4780388,4.2413335,0.2367053
31,-1.1856315,-0.80613905,"('evil', 'good')",-2.0495381,-2.0476854,-1.6175848,-1.4269122,-0.1906726
39,1.1777155,1.1603154,"('exploitative', 'cooperative')",0.5535687,0.6637566,0.8656421,0.912036,-0.0463939
83,1.1459832,1.1225071,"('powerless', 'powerful')",-0.14064153,0.05745633,0.5026708,0.5899817,-0.0873109
44,-1.1411418,-1.0930481,"('prejudiced', 'unprejudiced')",-1.359091,-1.2974119,-1.2501163,-1.19523,-0.0548863
68,-1.1278633,-1.3015741,"('dependent', 'independent')",-1.1751026,-1.3993973,-1.1514829,-1.3504857,0.1990028
22,-1.1175838,-0.9121398,"('untrustworthy', 'trustworthy')",-0.69940704,-0.46842006,-0.9084954,-0.6902799,-0.2182155
86,-1.0670632,-1.0161718,"('uninfluential', 'influential')",0.24467528,0.35323745,-0.411194,-0.3314672,-0.0797268
43,1.0634652,1.1316649,"('irresponsible', 'responsible')",2.1195943,2.2692938,1.5915298,1.7004793,-0.1089495
59,1.0345119,1.0188146,"('foolish', 'wise')",0.24484517,0.039845444,0.6396785,0.52933,0.1103485
66,0.99483305,1.0603677,"('inactive', 'active')",0.43282473,0.5198209,0.7138289,0.7900943,-0.0762654
54,0.9486013,0.8908324,"('incapable', 'capable')",1.3675216,1.3549614,1.1580615,1.1228969,0.0351646
69,0.926629,0.9756934,"('lazy', 'industrious')",-1.1358665,-1.2415385,-0.1046188,-0.1329226,0.0283038
62,0.8723696,0.7559445,"('incompetent', 'brilliant')",1.3167721,1.4577544,1.0945709,1.1068494,-0.0122785
29,-0.81517303,-0.95128,"('unfair', 'fair')",-1.1487927,-1.1649978,-0.9819829,-1.0581388,0.0761559
80,-0.80772394,-1.0522289,"('dominated', 'dominating')",-0.2460222,-0.22015396,-0.5268731,-0.6361914,0.1093183
61,0.79218423,0.65282816,"('illogical', 'logical')",0.48966992,0.5313263,0.6409271,0.5920773,0.0488498
5,0.7847758,0.85031486,"('distant', 'outgoing')",-0.42605463,-0.57587636,0.1793606,0.1372193,0.0421413
82,-0.759083,-1.0807648,"('poor', 'rich')",7.0142255,6.6332955,3.1275713,2.7762654,0.3513059
14,0.74382114,0.510511,"('antisocial', 'social')",0.41377538,0.46323296,0.5787983,0.486872,0.0919263
56,0.72347695,0.5193695,"('impractical', 'practical')",1.171148,1.2265564,0.9473125,0.872963,0.0743495
87,0.71631175,0.5735695,"('unsuccessful', 'successful')",0.7337257,0.9080191,0.7250187,0.7407943,-0.0157756
45,-0.71197444,-0.5262075,"('incompetent', 'competent')",0.6228164,0.85462266,-0.044579,0.1642076,-0.2087866
