,harley_male,harley_female,tuple,davidson_male,davidson_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.8337609,-1.627592,"('unsympathetic', 'sympathetic')",-0.49342337,-0.3892285,0.3994916,0.49920756,-0.6425642,-0.505871,-0.1366932
27,-1.7327468,-1.6538968,"('hardhearted', 'softhearted')",-1.2016969,-1.2086892,0.92830294,0.84923494,-0.6687136,-0.671117,0.0024034
18,-1.5118332,-1.3706236,"('disagreeable', 'welcoming')",-1.8865306,-1.7707399,-0.7814191,-0.74156624,-1.393261,-1.2943099,-0.0989511
45,-1.2405815,-1.0510314,"('incompetent', 'competent')",-0.35362744,-0.110468715,0.20308404,0.36185142,-0.4637083,-0.2665495,-0.1971588
56,1.2401532,1.2655219,"('impractical', 'practical')",1.7504556,1.8645834,0.5396733,0.6875646,1.1767607,1.2725566,-0.0957959
57,-1.2227064,-1.0143162,"('unimaginative', 'imaginative')",-1.1800152,-0.96527255,-2.6937232,-2.5347815,-1.698815,-1.50479,-0.194025
22,-1.2071507,-0.97727567,"('untrustworthy', 'trustworthy')",-0.5335106,-0.31355512,-1.0567424,-0.9089225,-0.9324679,-0.7332511,-0.1992168
42,-1.1784338,-0.9833208,"('unreliable', 'reliable')",-0.8765753,-0.6994695,-3.2086399,-2.8214731,-1.7545497,-1.5014211,-0.2531286
73,1.1745749,1.1642367,"('helpless', 'self-reliant')",-0.13268645,-0.06512709,-3.5815947,-3.49547,-0.8465687,-0.7987868,-0.0477819
28,-1.16765,-1.0984383,"('disloyal', 'loyal')",-0.8331101,-0.5898876,1.0898393,1.173052,-0.3036402,-0.171758,-0.1318822
29,1.1606189,1.2436926,"('unfair', 'fair')",-0.18319024,-0.08138333,-0.5053559,-0.44535762,0.1573576,0.2389839,-0.0816263
67,1.131028,0.97817713,"('doubtful', 'determined')",0.7258688,0.6334771,-0.46383253,-0.51404184,0.4643548,0.3658708,0.098484
65,-1.1000543,-0.9666193,"('insecure', 'secure')",-0.26188958,-0.13066927,-0.08551969,0.063056454,-0.4824878,-0.344744,-0.1377438
8,-1.0500004,-0.8576864,"('unaffectionate', 'affectionate')",-1.64236,-1.4074177,-0.28325546,-0.32729438,-0.991872,-0.8641328,-0.1277392
41,-1.0397959,-1.0414263,"('unforgiving', 'forgiving')",-0.86465967,-0.76646197,-0.51440847,-0.5656104,-0.806288,-0.7911662,-0.0151218
17,-1.0299642,-1.1248637,"('nasty', 'nice')",-0.7356449,-0.7336246,-0.87922555,-0.7997361,-0.8816115,-0.8860748,0.0044633
75,1.0284448,0.9626093,"('meek', 'impulsive')",0.4114274,0.29821777,-0.19008219,-0.25987345,0.4165967,0.3336512,0.0829455
81,-1.0236063,-1.0085826,"('submissive', 'aggressive')",0.6829823,0.63619655,-0.11990774,-0.14758559,-0.1535106,-0.1733239,0.0198133
83,0.9845618,0.7068309,"('powerless', 'powerful')",0.60951227,0.47530448,-0.74736035,-0.8356918,0.2822379,0.1154812,0.1667567
71,0.983659,1.1053541,"('diffident', 'self-confident')",1.2783606,1.3692176,0.23891124,0.31239864,0.8336436,0.9289901,-0.0953465
85,0.96549267,0.90029347,"('insignificant', 'prestigious')",-0.308454,-0.23002662,-0.21741782,-0.22545515,0.1465403,0.1482706,-0.0017303
84,0.9345702,0.95480394,"('inferior', 'superior')",0.5344312,0.5255264,1.0846858,1.1329165,0.851229,0.8710823,-0.0198533
33,0.92193407,0.72396827,"('wrong', 'right')",0.22815311,0.12334408,-1.1232553,-1.1971021,0.008944,-0.1165966,0.1255406
62,-0.8879566,-0.72175384,"('incompetent', 'brilliant')",-0.36609405,-0.28122094,0.94434285,1.1027129,-0.103236,0.033246,-0.136482
55,-0.878329,-0.77884585,"('incompetent', 'clever')",-0.29124403,-0.22919637,0.4144063,0.48910058,-0.2517223,-0.1729805,-0.0787418
31,-0.8343165,-0.7976175,"('evil', 'good')",-1.8147101,-1.5672526,-1.8953407,-2.0558286,-1.5147891,-1.4735662,-0.0412229
88,-0.8082276,-0.7240124,"('low', 'eminent')",-0.8437948,-0.76353145,0.43111363,0.32780343,-0.4069696,-0.3865801,-0.0203895
34,0.77170753,0.7463919,"('mean', 'honorable')",0.58532333,0.6339798,6.6281576,6.64078,2.6617295,2.6737172,-0.0119877
13,-0.74306864,-0.90919703,"('impolite', 'polite')",-0.10695517,-0.18798625,0.38483697,0.43916708,-0.1550623,-0.2193387,0.0642764
70,-0.7278544,-0.4833169,"('lethargic', 'energetic')",0.36438686,0.5161258,0.93458587,1.2423279,0.1903728,0.4250456,-0.2346728
0,-0.71997005,-0.80327,"('unsociable', 'sociable')",0.4458788,0.39131546,0.027840333,0.006190285,-0.0820836,-0.1352547,0.0531711
39,-0.66176385,-0.62858,"('exploitative', 'cooperative')",-0.48602054,-0.41309676,-0.4072636,-0.30962697,-0.5183493,-0.4504346,-0.0679147
26,-0.6306236,-0.33145842,"('hardhearted', 'benevolent')",-0.901076,-0.52334684,0.62509614,0.636062,-0.3022012,-0.0729144,-0.2292868
48,-0.61513156,-0.5510173,"('unintelligent', 'intelligent')",0.37438723,0.36519217,0.9753559,0.9405808,0.2448705,0.2515852,-0.0067147
24,-0.6142306,-0.4215437,"('dishonest', 'honest')",-0.92127323,-0.66405904,1.0066668,0.8844437,-0.176279,-0.067053,-0.109226
44,-0.59515184,-0.68689764,"('prejudiced', 'unprejudiced')",-0.5792819,-0.65257394,-1.7524247,-1.7427422,-0.9756195,-1.0274046,0.0517851
77,0.55912626,0.34922194,"('unmotivated', 'motivated')",1.1760457,1.0836184,-0.4481974,-0.32039884,0.4289915,0.3708138,0.0581777
74,0.5419922,0.510416,"('undedicated', 'dedicated')",0.40618002,0.4893636,0.20636256,0.29080075,0.3848449,0.4301934,-0.0453485
66,-0.52438354,-0.7364049,"('inactive', 'active')",-0.19966815,-0.40715945,0.4115368,0.3263812,-0.1041716,-0.2723944,0.1682228
5,0.4928575,0.40918672,"('distant', 'outgoing')",-0.6235264,-0.6140784,-0.58052707,-0.5482758,-0.2370653,-0.2510558,0.0139905
54,-0.47416544,-0.55208033,"('incapable', 'capable')",-0.32553065,-0.2869726,1.0872382,1.1277165,0.0958474,0.0962212,-0.0003738
32,-0.4557394,-0.410229,"('unkind', 'kind')",0.16247754,0.23617788,1.1252236,1.1207321,0.2773206,0.3155603,-0.0382397
40,-0.45398685,-0.17493129,"('stingy', 'generous')",-0.74478215,-0.5580078,-2.0311337,-1.8540256,-1.0766342,-0.8623215,-0.2143127
50,-0.44177216,-0.38475588,"('clumsy', 'skillful')",0.09098357,0.15005001,0.44147807,0.6681592,0.0302298,0.1444844,-0.1142546
68,-0.4415419,-0.5061125,"('dependent', 'independent')",-0.8222742,-0.8737495,0.068874925,0.038861103,-0.3983137,-0.4470003,0.0486866
49,-0.44126433,-0.35937482,"('unable', 'able')",-0.5552077,-0.41204923,-0.034113195,0.19198595,-0.3435284,-0.193146,-0.1503824
7,-0.43631724,-0.20413417,"('insensitive', 'sensitive')",-0.4428904,-0.27302673,0.8851625,1.1442766,0.001985,0.2223719,-0.2203869
63,-0.4340311,-0.31211048,"('unperceptive', 'insightful')",0.91974306,0.99484277,1.628083,1.8166739,0.7045983,0.8331354,-0.1285371
30,-0.41143113,-0.3413667,"('intolerant', 'tolerant')",-0.73720986,-0.66171044,1.1396838,1.136279,-0.0029857,0.0444006,-0.0473863
37,-0.4074327,-0.27172464,"('fake', 'genuine')",-0.51093024,-0.31515366,0.41031563,0.49026015,-0.1693491,-0.032206,-0.1371431
14,-0.4034679,-0.2284377,"('antisocial', 'social')",0.48584276,0.7119958,-0.55950797,-0.39418292,-0.1590444,0.0297917,-0.1888361
78,-0.3860677,-0.5069624,"('nonresilient', 'resilient')",1.2537212,1.1969054,1.0831577,1.3420441,0.6502704,0.6773291,-0.0270587
16,0.36005223,0.17338657,"('unpopular', 'popular')",0.008046968,-0.15340248,0.69117266,0.6804301,0.3530906,0.2334714,0.1196192
87,0.3548406,0.24959436,"('unsuccessful', 'successful')",1.089042,0.9479891,0.85945463,1.0503986,0.767779,0.7493273,0.0184517
61,-0.33033133,-0.4282666,"('illogical', 'logical')",-0.031428616,-0.038546517,0.37808248,0.46717298,0.0054409,0.0001199,0.005321
59,0.31375203,0.26353154,"('foolish', 'wise')",-0.4264658,-0.43433928,-0.16082625,-0.19472793,-0.09118,-0.1218452,0.0306652
11,-0.30356348,-0.2665568,"('unhelpful', 'helpful')",0.5140462,0.55369717,2.7403572,2.8677402,0.9836133,1.0516268,-0.0680135
58,-0.28052598,-0.16661343,"('undiscriminating', 'discriminating')",-0.07064733,0.027132463,0.2195824,0.19190378,-0.0438636,0.0174743,-0.0613379
36,-0.2742573,-0.5474754,"('hostile', 'amicable')",-1.2102219,-1.229852,-0.7577956,-1.0077292,-0.7474249,-0.9283522,0.1809273
53,-0.26353693,0.002089885,"('uncreative', 'creative')",-0.61218065,-0.38807416,0.8878916,0.9311976,0.004058,0.1817378,-0.1776798
38,-0.26109046,-0.3036557,"('untruthful', 'truthful')",-0.15179157,-0.12932374,0.6461325,0.6121376,0.0777502,0.0597194,0.0180308
9,-0.25582567,-0.16816017,"('unaffectionate', 'caring')",-0.69641286,-0.551104,0.5577243,0.5761649,-0.1315048,-0.0476997,-0.0838051
64,-0.20288476,-0.15671182,"('shy', 'confident')",0.10557379,0.17955181,-6.4639907,-6.3546596,-2.1871006,-2.1106065,-0.0764941
35,0.19456783,0.071788706,"('corrupt', 'incorrupt')",-0.39797065,-0.39808336,-0.84823644,-0.9390089,-0.3505464,-0.4217679,0.0712215
20,-0.17848912,-0.08090358,"('rough', 'thoughtful')",0.21651377,0.33711493,1.077672,1.1753763,0.3718989,0.4771959,-0.105297
60,0.17456803,0.25480482,"('inefficient', 'efficient')",1.1011293,1.0954354,1.2364411,1.4010532,0.8373795,0.9170978,-0.0797183
2,0.1709104,0.1364505,"('unlikable', 'likable')",-0.03743483,0.00044046342,0.45933872,0.4069378,0.1976048,0.1812763,0.0163285
25,-0.15822431,-0.25231332,"('egoistic', 'altruistic')",-0.9501239,-0.91951114,0.7654902,0.6269037,-0.114286,-0.1816402,0.0673542
1,-0.15307464,0.056419224,"('unfriendly', 'friendly')",-0.63372236,-0.34822908,1.3981061,1.3512185,0.2037697,0.3531362,-0.1493665
4,0.15034014,0.22583564,"('disliked', 'liked')",0.18285255,0.34606686,-6.658457,-6.4910603,-2.1084213,-1.9730527,-0.1353686
15,0.13812634,0.082988694,"('boring', 'funny')",-0.2742514,-0.25154498,-0.13833277,-0.12754953,-0.0914859,-0.0987019,0.007216
43,-0.13402744,0.13393635,"('irresponsible', 'responsible')",0.057526287,0.33052504,0.9953066,1.1443995,0.3062685,0.536287,-0.2300185
72,0.123469636,0.14920017,"('unambitious', 'ambitious')",-0.83815753,-0.8968041,-0.65778637,-0.81902826,-0.4574914,-0.5222107,0.0647193
21,-0.11285782,-0.2391086,"('immoral', 'moral')",0.906048,0.85138524,-0.1533972,-0.14409283,0.2132643,0.1560613,0.057203
19,0.09590471,0.090983376,"('inhospitable', 'hospitable')",0.14331055,0.24190864,-0.043073453,0.028403606,0.0653806,0.1204319,-0.0550513
80,0.085830286,0.069833174,"('dominated', 'dominating')",0.40794972,0.30966946,-0.96030146,-0.75026846,-0.1555071,-0.1235886,-0.0319185
82,-0.08235802,0.04594167,"('poor', 'rich')",0.6647004,0.65902835,7.0297837,6.98533,2.5373755,2.5634333,-0.0260578
3,-0.08131258,-0.18725075,"('repellent', 'pleasant')",0.17122468,0.060786497,0.43702966,0.4387494,0.1756473,0.1040951,0.0715522
86,0.07618534,0.27471247,"('uninfluential', 'influential')",0.5987338,0.76306206,0.15136245,0.23982003,0.2754272,0.4258649,-0.1504377
51,0.070139766,0.07595773,"('uneducated', 'educated')",1.2834095,1.2027328,1.2649783,1.3475096,0.8728425,0.8754001,-0.0025576
12,-0.046865746,0.08221639,"('unsupportive', 'supportive')",0.34356698,0.48164615,-1.5205082,-1.3896842,-0.4079356,-0.2752739,-0.1326617
47,-0.043620978,-0.097815245,"('stupid', 'smart')",0.6665161,0.59680307,5.7025,5.5810814,2.108465,2.0266897,0.0817753
46,0.021205261,0.06834694,"('uncompetitive', 'competitive')",0.9587322,0.92566884,0.49865127,0.693085,0.4928629,0.5623669,-0.069504
