,keycorp_male,keycorp_female,tuple,average_male,average_female,male-female
4,-4.149441,-4.0399384,"('disliked', 'liked')",-4.1494408,-4.0399384,-0.1095024
64,-3.6708992,-3.9095669,"('shy', 'confident')",-3.6708992,-3.9095669,0.2386677
23,3.608993,3.6696794,"('insincere', 'sincere')",3.6089931,3.6696794,-0.0606863
47,3.1314332,2.8909507,"('stupid', 'smart')",3.1314332,2.8909507,0.2404825
82,3.1081848,3.3336403,"('poor', 'rich')",3.1081848,3.3336403,-0.2254555
34,2.9843404,3.0921888,"('mean', 'honorable')",2.9843404,3.0921888,-0.1078484
57,-1.9744377,-2.0844507,"('unimaginative', 'imaginative')",-1.9744377,-2.0844507,0.110013
11,1.6757926,1.7064648,"('unhelpful', 'helpful')",1.6757926,1.7064648,-0.0306722
31,-1.5005803,-1.4470012,"('evil', 'good')",-1.5005803,-1.4470012,-0.0535791
42,-1.4238487,-1.3062835,"('unreliable', 'reliable')",-1.4238487,-1.3062835,-0.1175652
2,1.2071291,1.015983,"('unlikable', 'likable')",1.2071291,1.015983,0.1911461
9,1.1816102,1.3041126,"('unaffectionate', 'caring')",1.1816102,1.3041126,-0.1225024
73,-1.1782278,-1.0589485,"('helpless', 'self-reliant')",-1.1782278,-1.0589485,-0.1192793
1,1.128338,1.0736707,"('unfriendly', 'friendly')",1.128338,1.0736707,0.0546673
40,-1.0097106,-1.0066549,"('stingy', 'generous')",-1.0097106,-1.0066549,-0.0030557
17,-0.9558656,-0.9564123,"('nasty', 'nice')",-0.9558656,-0.9564123,0.0005467
35,-0.9368861,-0.8436641,"('corrupt', 'incorrupt')",-0.9368861,-0.8436641,-0.093222
62,0.89115345,1.0375004,"('incompetent', 'brilliant')",0.8911535,1.0375004,-0.1463469
27,0.83755964,0.768978,"('hardhearted', 'softhearted')",0.8375596,0.768978,0.0685816
24,0.78596604,0.71024776,"('dishonest', 'honest')",0.785966,0.7102478,0.0757182
