,new_male,new_female,tuple,york_male,york_female,times_male,times_female,co_male,co_female,average_male,average_female,male-female
8,-1.7241869,-1.3806245,"('unaffectionate', 'affectionate')",0.07040006,0.21452916,0.016914956,-0.122507125,0.11219797,0.24355778,-0.3811685,-0.2612612,-0.1199073
36,-1.6712894,-1.5445051,"('hostile', 'amicable')",0.07260343,-0.05570861,-0.25503057,-0.27444145,-0.6023756,-0.6117498,-0.6140231,-0.6216013,0.0075782
48,-1.6560178,-1.8089796,"('unintelligent', 'intelligent')",-1.5991315,-1.8167735,-0.48409668,-0.63057244,-0.31757602,-0.22278786,-1.0142056,-1.1197784,0.1055728
31,-1.6451112,-1.3738222,"('evil', 'good')",0.31570014,0.31533766,0.538908,0.46321586,-1.0724813,-1.2322015,-0.4657461,-0.4568675,-0.0088786
1,-1.5800796,-1.4689897,"('unfriendly', 'friendly')",-0.41118294,-0.42309108,-0.16378558,-0.37938693,1.0916913,1.1343663,-0.2658392,-0.2842754,0.0184362
42,1.3732579,1.1776366,"('unreliable', 'reliable')",1.3247119,1.0378392,1.2258906,0.9402689,-2.1791213,-2.1324303,0.4361848,0.2558286,0.1803562
41,-1.3408582,-1.1275201,"('unforgiving', 'forgiving')",-1.0192306,-1.0138165,-0.8511714,-0.98124045,0.0016159303,0.042434424,-0.8024111,-0.7700356,-0.0323755
76,1.2695837,1.0959485,"('anxious', 'daring')",-0.01341293,-0.06502393,0.0050554257,-0.10741321,-0.029814128,0.09760347,0.307853,0.2552787,0.0525743
13,1.2466968,1.0546489,"('impolite', 'polite')",-0.7686811,-0.791111,0.554258,0.6220217,-0.11489729,-0.08002429,0.2293441,0.2013838,0.0279603
16,-1.228167,-1.1224554,"('unpopular', 'popular')",-0.97972673,-1.0607274,-1.1166162,-1.1916926,0.08909743,-0.007655259,-0.8088531,-0.8456326,0.0367795
37,-1.2114984,-1.2784781,"('fake', 'genuine')",-1.6506621,-1.6363559,0.15791139,0.0070498474,-0.28425646,-0.12962715,-0.7471264,-0.7593529,0.0122265
27,-1.1908389,-1.1507256,"('hardhearted', 'softhearted')",-0.48439336,-0.60629016,0.1570085,-0.0150239095,0.6746463,0.67459685,-0.2108944,-0.2743607,0.0634663
50,-1.1742823,-1.07173,"('clumsy', 'skillful')",-0.9247027,-0.8243446,-1.1846564,-1.2469516,-0.51421857,-0.468104,-0.949465,-0.9027826,-0.0466824
4,-1.1469305,-1.0432462,"('disliked', 'liked')",0.122618474,0.030387685,0.27797362,0.20318907,-7.3044906,-7.4557724,-2.0127072,-2.0663605,0.0536533
19,-1.1452404,-1.053542,"('inhospitable', 'hospitable')",0.16737185,0.26932287,-0.06505324,-0.01969666,-0.84602946,-0.6998446,-0.4722378,-0.3759401,-0.0962977
45,-1.1436459,-1.0802987,"('incompetent', 'competent')",-1.3874747,-1.2402235,-0.3808425,-0.52345896,-0.51556385,-0.43601057,-0.8568817,-0.819998,-0.0368837
80,1.114238,0.83835965,"('dominated', 'dominating')",0.3266711,0.17150472,0.41842455,0.31488734,-0.45013487,-0.48268196,0.3522997,0.2105174,0.1417823
77,-1.1069517,-1.3236982,"('unmotivated', 'motivated')",-0.91848975,-1.1698353,-0.47019026,-0.65275174,-1.0659809,-1.0796102,-0.8904032,-1.0564739,0.1660707
81,1.0679593,0.78570515,"('submissive', 'aggressive')",0.13872062,0.088236034,0.035137475,-0.0045806803,-0.8092512,-0.7121188,0.1081416,0.0393104,0.0688312
56,1.0000516,0.9291399,"('impractical', 'practical')",-0.036514763,-0.0060788654,1.8224686,1.693816,0.04299908,0.19541281,0.7072511,0.7030725,0.0041786
21,0.99692994,0.6047432,"('immoral', 'moral')",-0.22209021,-0.50211686,0.87612724,0.6937122,-0.58823264,-0.5312734,0.2656836,0.0662663,0.1994173
14,0.96704465,1.0164517,"('antisocial', 'social')",0.092228375,0.20360173,0.7363403,0.8509139,-0.07756088,-0.030553363,0.4295131,0.5101035,-0.0805904
35,-0.94890106,-0.7623669,"('corrupt', 'incorrupt')",0.48132446,0.44872522,0.87610584,0.96993244,-0.8609246,-0.93456674,-0.1130988,-0.069569,-0.0435298
70,0.94147974,0.48840526,"('lethargic', 'energetic')",0.13232093,-0.17684013,0.6311312,0.28643525,0.61853814,0.5653819,0.5808675,0.2908456,0.2900219
66,0.9303114,0.807407,"('inactive', 'active')",2.0147605,1.729501,0.88224596,0.82979214,0.26597795,0.20643875,1.023324,0.8932847,0.1300393
25,-0.92136973,-0.83308303,"('egoistic', 'altruistic')",0.50688845,0.3151105,-0.13821788,-0.12556283,0.95576227,0.88405013,0.1007658,0.0601287,0.0406371
59,-0.8683816,-0.7069564,"('foolish', 'wise')",0.46622592,0.3876225,0.87510914,0.88955694,-0.11832374,-0.08144759,0.0886574,0.1221939,-0.0335365
22,0.8620246,0.60244554,"('untrustworthy', 'trustworthy')",0.37652078,0.17678288,1.1381041,0.9270267,-0.22046928,-0.31117693,0.539045,0.3487696,0.1902754
69,-0.79925036,-0.67829394,"('lazy', 'industrious')",0.5532758,0.3983243,0.40945005,0.5682041,-1.439688,-1.5455297,-0.3190531,-0.3143238,-0.0047293
34,0.78808665,0.7292892,"('mean', 'honorable')",0.046171933,0.06129659,0.6543704,0.69341743,4.804393,4.899429,1.5732554,1.595858,-0.0226026
9,-0.7880826,-0.6926372,"('unaffectionate', 'caring')",0.28493524,0.22405659,0.558438,0.30068427,0.8287677,0.8778214,0.2210146,0.1774813,0.0435333
28,-0.7745382,-0.9952134,"('disloyal', 'loyal')",-0.91790414,-1.1518217,-0.3989182,-0.7703091,0.92628676,0.90381646,-0.2912685,-0.5033819,0.2121134
51,0.7668866,0.50602514,"('uneducated', 'educated')",0.7172361,0.7003007,0.7584414,0.70378494,0.53066367,0.52848655,0.693307,0.6096493,0.0836577
44,0.7081682,0.4829978,"('prejudiced', 'unprejudiced')",0.060275745,-0.07868811,-1.0404,-1.0668939,-1.0277327,-1.0941051,-0.3249222,-0.4391723,0.1142501
55,0.6816769,0.4665842,"('incompetent', 'clever')",-0.07451458,-0.22327495,0.0573797,-0.16043824,0.5742228,0.6441506,0.3096912,0.1817554,0.1279358
11,0.6656983,0.4086687,"('unhelpful', 'helpful')",0.027127072,-0.039433397,-0.51484823,-0.7604435,2.1495464,2.192576,0.5818809,0.4503419,0.131539
78,-0.6351931,-0.5273813,"('nonresilient', 'resilient')",-0.7633712,-0.5548943,-0.82649535,-0.92494863,-0.41093463,-0.40389958,-0.6589986,-0.602781,-0.0562176
32,-0.6340193,-0.79152447,"('unkind', 'kind')",-1.5073116,-1.5007603,-0.41851223,-0.59364146,0.8417218,0.9374905,-0.4295303,-0.4871089,0.0575786
67,0.6281632,0.8774371,"('doubtful', 'determined')",0.15916757,0.3744136,-0.41284525,-0.16256215,-0.09070749,0.06908262,0.0709445,0.2895928,-0.2186483
30,-0.5988265,-0.6327584,"('intolerant', 'tolerant')",-0.7548886,-0.8172822,0.15033105,0.027024489,0.3411201,0.43865174,-0.215566,-0.2460911,0.0305251
47,0.5980665,0.5874199,"('stupid', 'smart')",0.2728807,0.44861645,1.0407498,1.0735266,4.6453476,4.839031,1.6392611,1.7371485,-0.0978874
39,-0.59557956,-0.6085594,"('exploitative', 'cooperative')",-0.18623388,-0.445134,0.23915423,0.15489817,1.0387956,0.9927019,0.1240341,0.0234767,0.1005574
49,-0.59416395,-0.85108405,"('unable', 'able')",-0.74098605,-0.894624,-0.022401232,-0.092187025,-0.4918207,-0.34687105,-0.462343,-0.5461915,0.0838485
2,0.5876351,0.5595826,"('unlikable', 'likable')",1.0901355,0.98730576,1.0857992,1.0431432,0.4462199,0.46515265,0.8024474,0.7637961,0.0386513
29,-0.58022195,-0.50589055,"('unfair', 'fair')",-1.0074008,-0.97082067,-0.70832086,-0.66893846,-0.5181769,-0.42329365,-0.7035301,-0.6422358,-0.0612943
86,0.5530485,0.39568135,"('uninfluential', 'influential')",0.8008338,0.67226243,1.7220467,1.4196348,0.1212807,0.07532634,0.7993025,0.6407263,0.1585762
62,0.55114824,0.36449853,"('incompetent', 'brilliant')",-0.107484594,-0.22775035,0.4841665,0.33012244,0.035514776,0.113065794,0.2408362,0.1449841,0.0958521
46,0.5435744,0.16979021,"('uncompetitive', 'competitive')",-0.8953063,-0.86824137,-0.5610457,-0.72147286,-0.949599,-0.8856132,-0.4655942,-0.5763843,0.1107901
64,0.50521374,0.21242757,"('shy', 'confident')",-0.056194194,-0.3142081,-0.34012994,-0.42500022,-5.3920255,-5.539139,-1.320784,-1.5164798,0.1956958
10,-0.5011185,-0.7477786,"('unsympathetic', 'sympathetic')",-1.7164704,-1.7322443,-0.19603783,-0.4987735,-0.04186707,0.09973048,-0.6138734,-0.7197665,0.1058931
12,0.49998015,0.4032851,"('unsupportive', 'supportive')",1.1765217,1.0741025,0.40489307,0.2159934,-2.1195965,-2.067158,-0.0095504,-0.0934442,0.0838938
65,0.49960974,0.07616485,"('insecure', 'secure')",-1.8280492,-2.1151798,-0.9436718,-1.0189145,0.5121684,0.57161105,-0.4399858,-0.6215795,0.1815937
79,-0.4940398,-0.4608062,"('wavering', 'unwavering')",0.29917887,0.24438114,0.41492972,0.3357483,-0.7753347,-0.79395825,-0.1388165,-0.1686587,0.0298422
74,0.48127595,0.4339537,"('undedicated', 'dedicated')",0.8242756,0.9079752,0.6927,0.5514883,0.25006482,0.3286798,0.5620791,0.5555242,0.0065549
82,-0.4716291,-0.3098508,"('poor', 'rich')",-1.2602103,-0.86959815,-0.87479466,-0.75656915,5.6874905,5.8726096,0.7702141,0.9841479,-0.2139338
38,-0.44311994,-0.22218446,"('untruthful', 'truthful')",-0.36576286,-0.16320944,1.03046,0.9697766,-0.23745722,-0.22763366,-0.00397,0.0891872,-0.0931572
68,-0.42549837,-0.40067282,"('dependent', 'independent')",-0.4239346,-0.51222366,-0.14981641,-0.039140493,-1.6428765,-1.5697,-0.6605315,-0.6304343,-0.0300972
17,-0.4230034,-0.45632398,"('nasty', 'nice')",-0.32782212,-0.35983208,-0.22983636,-0.2240515,-0.30977395,-0.3751611,-0.3226089,-0.3538421,0.0312332
52,-0.40615213,-0.307066,"('irrational', 'rational')",0.59203607,0.507958,-0.92509246,-0.9813437,-0.43165758,-0.38484573,-0.2927165,-0.2913243,-0.0013922
26,-0.38537943,-0.18809718,"('hardhearted', 'benevolent')",0.848977,0.82840234,1.265273,1.210621,1.2472392,1.2903186,0.7440275,0.7853112,-0.0412837
88,-0.3614615,-0.3912361,"('low', 'eminent')",-0.75518864,-0.7793016,0.67422426,0.5324312,-0.3895562,-0.40292904,-0.2079955,-0.2602589,0.0522634
18,0.3237011,0.24572459,"('disagreeable', 'welcoming')",0.7749538,0.55645055,-0.6341603,-0.7915284,-0.61744225,-0.7046886,-0.0382369,-0.1735105,0.1352736
71,0.30499735,0.26531836,"('diffident', 'self-confident')",1.1611303,1.0007334,0.9010153,0.93416977,0.44254854,0.37165713,0.7024229,0.6429697,0.0594532
60,0.23323193,0.13615793,"('inefficient', 'efficient')",-1.7784693,-1.6459416,-0.56957936,-0.61214465,0.34464267,0.5080605,-0.4425435,-0.403467,-0.0390765
57,0.2090807,-0.17808114,"('unimaginative', 'imaginative')",0.43815607,0.07486246,-0.55053604,-0.88859195,-3.4507802,-3.490689,-0.8385199,-1.1206249,0.282105
7,0.20150766,0.0023396835,"('insensitive', 'sensitive')",-0.8191142,-0.94283605,0.9536361,0.7877039,0.7201581,0.78220636,0.2640469,0.1573535,0.1066934
20,-0.16403013,-0.23672,"('rough', 'thoughtful')",0.14636818,0.029729076,-0.27923685,-0.28336814,0.42331696,0.51043826,0.0316045,0.0050198,0.0265847
83,0.16151473,0.21442711,"('powerless', 'powerful')",0.41446757,0.47246662,0.7289235,0.75065607,-0.6915508,-0.5517769,0.1533388,0.2214432,-0.0681044
53,-0.15802,-0.3563172,"('uncreative', 'creative')",0.25918162,0.10839664,-0.24058798,-0.37163338,0.46036258,0.49916947,0.0802341,-0.0300961,0.1103302
72,0.1562144,0.3900412,"('unambitious', 'ambitious')",0.08288837,0.2963025,0.6165232,0.7471128,0.07153933,0.23418748,0.2317913,0.416911,-0.1851197
61,-0.14351547,-0.27353728,"('illogical', 'logical')",-0.28789848,-0.5724218,-0.21538933,-0.39587298,0.34712455,0.32220605,-0.0749197,-0.2299065,0.1549868
40,-0.14009622,-0.15540522,"('stingy', 'generous')",0.45028627,0.41793096,-0.834157,-1.0093052,-2.5891654,-2.5807767,-0.7782831,-0.831889,0.0536059
24,-0.13177809,-0.22074245,"('dishonest', 'honest')",-0.6444994,-0.7350758,0.21991059,-0.010142095,1.1086564,1.0711316,0.1380724,0.0262928,0.1117796
6,-0.12185465,0.15019777,"('distant', 'open')",0.77779,0.8844937,-0.23098415,-0.26630333,-0.4856548,-0.42428544,-0.0151759,0.0860257,-0.1012016
3,-0.10715678,-0.3583413,"('repellent', 'pleasant')",-0.78668374,-0.7216649,-0.5469011,-0.6141615,0.6286868,0.54439074,-0.2030137,-0.2874442,0.0844305
5,0.10244787,0.24183384,"('distant', 'outgoing')",0.8096485,0.7478293,-0.34651667,-0.44503093,-0.9908719,-1.0144002,-0.106323,-0.117442,0.011119
84,-0.08679977,-0.09469131,"('inferior', 'superior')",-0.3351574,-0.44302952,-0.47711962,-0.51748,0.46486822,0.5603847,-0.1085522,-0.123704,0.0151518
15,-0.08326936,-0.05052613,"('boring', 'funny')",0.5976572,0.3729344,0.8880464,0.77436477,-0.13387708,-0.12560594,0.3171393,0.2427918,0.0743475
87,0.08281597,-0.019842912,"('unsuccessful', 'successful')",0.22521944,0.105992615,0.6867079,0.6093291,0.110421024,0.124416985,0.2762911,0.204974,0.0713171
