,noble_male,noble_female,tuple,corp_male,corp_female,average_male,average_female,male-female
62,2.6406803,2.3199909,"('incompetent', 'brilliant')",1.0417382,1.0704577,1.8412092,1.6952243,0.1459849
76,2.0872672,1.7422584,"('anxious', 'daring')",0.07422201,0.18681948,1.0807446,0.9645389,0.1162057
24,2.0376565,1.9314609,"('dishonest', 'honest')",0.9248768,0.8229848,1.4812667,1.3772228,0.1040439
39,1.9848634,2.1048956,"('exploitative', 'cooperative')",-0.015158925,-0.03261257,0.9848523,1.0361415,-0.0512892
25,1.97492,2.2331414,"('egoistic', 'altruistic')",1.3483303,1.4575535,1.6616251,1.8453474,-0.1837223
60,1.967476,1.9198706,"('inefficient', 'efficient')",0.2426264,0.4793284,1.1050512,1.1995995,-0.0945483
20,1.9069598,1.7073492,"('rough', 'thoughtful')",0.8259648,0.6756643,1.3664622,1.1915067,0.1749555
2,1.85618,1.8237987,"('unlikable', 'likable')",0.22728184,0.19666237,1.0417309,1.0102305,0.0315004
48,1.797192,1.4188011,"('unintelligent', 'intelligent')",1.0048196,0.89363396,1.4010057,1.1562176,0.2447881
55,1.77534,1.564048,"('incompetent', 'clever')",0.66800416,0.8071981,1.2216721,1.185623,0.0360491
31,-1.5995985,-1.5441024,"('evil', 'good')",-1.293911,-1.5354143,-1.4467547,-1.5397584,0.0930037
9,1.5986803,1.9905112,"('unaffectionate', 'caring')",1.333178,1.4501178,1.4659292,1.7203145,-0.2543853
40,1.5867754,1.2224799,"('stingy', 'generous')",-1.6653898,-1.8781915,-0.0393072,-0.3278558,0.2885486
37,1.5747986,1.7088628,"('fake', 'genuine')",0.383026,0.40278772,0.9789123,1.0558252,-0.0769129
16,-1.5201149,-1.2693349,"('unpopular', 'popular')",0.3355239,0.4635284,-0.5922955,-0.4029033,-0.1893922
72,1.4963276,1.4554349,"('unambitious', 'ambitious')",-0.59200853,-0.6156929,0.4521596,0.419871,0.0322886
23,1.4610081,1.4197053,"('insincere', 'sincere')",6.897886,7.0328493,4.1794472,4.2262774,-0.0468302
28,1.4270796,1.5079362,"('disloyal', 'loyal')",1.240004,1.3071165,1.3335418,1.4075264,-0.0739846
84,1.3467134,1.0869759,"('inferior', 'superior')",1.0301793,0.99960345,1.1884463,1.0432897,0.1451566
7,1.3306068,1.3032018,"('insensitive', 'sensitive')",0.99413735,1.047617,1.1623721,1.1754093,-0.0130372
34,1.3012464,1.1559182,"('mean', 'honorable')",6.3508215,6.420029,3.8260341,3.7879736,0.0380605
80,1.2930511,0.93126065,"('dominated', 'dominating')",-0.34769034,-0.34082735,0.4726804,0.2952166,0.1774638
53,1.1908689,1.2417355,"('uncreative', 'creative')",0.3340895,0.26615748,0.7624792,0.7539465,0.0085327
70,1.1326632,1.014215,"('lethargic', 'energetic')",0.5361229,0.63347036,0.8343931,0.8238426,0.0105505
49,1.1141478,1.1125419,"('unable', 'able')",0.5150624,0.6187769,0.8146051,0.8656594,-0.0510543
17,1.1032264,0.9620347,"('nasty', 'nice')",-0.5614815,-0.5798345,0.2708725,0.1911001,0.0797724
36,-1.0478908,-0.9272873,"('hostile', 'amicable')",-0.6296012,-0.9432335,-0.838746,-0.9352604,0.0965144
71,1.022054,1.2339365,"('diffident', 'self-confident')",0.33821282,0.49281746,0.6801334,0.863377,-0.1832436
14,1.0138322,0.88398916,"('antisocial', 'social')",-0.25908455,-0.090203136,0.3773738,0.396893,-0.0195192
27,1.0033743,0.9253424,"('hardhearted', 'softhearted')",1.2393398,1.1481104,1.1213571,1.0367264,0.0846307
21,0.9632332,0.90512556,"('immoral', 'moral')",0.15039198,0.19644363,0.5568126,0.5507846,0.006028
12,0.95204026,0.99532056,"('unsupportive', 'supportive')",-1.9190607,-1.8365276,-0.4835102,-0.4206035,-0.0629067
