,pactiv_male,pactiv_female,tuple,corp_male,corp_female,average_male,average_female,male-female
39,2.0423722,1.690833,"('exploitative', 'cooperative')",-0.038185187,-0.13854492,1.0020936,0.776144,0.2259496
31,-1.7344052,-1.3554753,"('evil', 'good')",-0.6595748,-1.1290627,-1.19699,-1.242269,0.045279
60,1.6879398,1.7307925,"('inefficient', 'efficient')",0.04402573,0.4661865,0.8659828,1.0984895,-0.2325067
65,1.4972706,1.1299073,"('insecure', 'secure')",-0.12649156,0.14756419,0.6853895,0.6387357,0.0466538
6,-1.4730711,-1.5938858,"('distant', 'open')",-0.27680725,-0.63548833,-0.8749392,-1.1146871,0.2397479
14,1.4476438,1.3878905,"('antisocial', 'social')",0.08378875,0.100839645,0.7657163,0.744365,0.0213513
86,-1.4403696,-1.5801624,"('uninfluential', 'influential')",-0.3772416,-0.22865349,-0.9088056,-0.904408,-0.0043976
84,1.3935866,1.0990963,"('inferior', 'superior')",1.095081,1.0091513,1.2443337,1.0541239,0.1902098
66,-1.2547042,-1.463449,"('inactive', 'active')",-0.054061353,-0.15400083,-0.6543828,-0.8087249,0.1543421
53,-1.166167,-1.4214976,"('uncreative', 'creative')",0.6014053,0.49929518,-0.2823808,-0.4611012,0.1787204
30,1.1362152,1.0167643,"('intolerant', 'tolerant')",0.79870903,0.78069544,0.9674621,0.8987299,0.0687322
5,-1.0353374,-1.0033514,"('distant', 'outgoing')",-0.35200045,-0.68299633,-0.693669,-0.8431739,0.1495049
49,1.0254964,1.1078339,"('unable', 'able')",0.025674757,0.29655203,0.5255855,0.702193,-0.1766075
16,-1.0137961,-1.1885483,"('unpopular', 'popular')",0.33173373,0.109730214,-0.3410312,-0.539409,0.1983778
19,-1.0096337,-1.0470252,"('inhospitable', 'hospitable')",-0.42834598,-0.53637004,-0.7189898,-0.7916976,0.0727078
75,-0.9807545,-0.6625998,"('meek', 'impulsive')",-0.88440436,-0.8157419,-0.9325794,-0.7391708,-0.1934086
21,0.9795689,1.0683949,"('immoral', 'moral')",-0.45218885,-0.12478371,0.26369,0.4718056,-0.2081156
1,-0.9504854,-1.4886293,"('unfriendly', 'friendly')",1.8198513,1.1323583,0.4346829,-0.1781355,0.6128184
85,-0.9458048,-1.2165622,"('insignificant', 'prestigious')",0.1867572,-0.5337081,-0.3795238,-0.8751351,0.4956113
50,0.94229794,0.82038265,"('clumsy', 'skillful')",0.18901762,0.24378297,0.5656578,0.5320828,0.033575
76,0.93661875,0.5862531,"('anxious', 'daring')",-0.56655616,-0.118188605,0.1850313,0.2340322,-0.0490009
17,-0.9100313,-0.62923056,"('nasty', 'nice')",-0.75399405,-0.8368961,-0.8320127,-0.7330633,-0.0989494
4,-0.90434253,-0.893439,"('disliked', 'liked')",-7.224192,-7.528115,-4.0642672,-4.2107768,0.1465096
