,pall_male,pall_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.165678,-2.160841,"('uninfluential', 'influential')",-0.61179745,-0.20269665,-1.3887377,-1.1817688,-0.2069689
88,-1.7714441,-1.9101527,"('low', 'eminent')",-0.35200188,-0.28084105,-1.061723,-1.0954969,0.0337739
57,-1.3656906,-1.1989464,"('unimaginative', 'imaginative')",-3.195942,-2.900406,-2.2808163,-2.0496762,-0.2311401
11,-1.3265768,-1.4542125,"('unhelpful', 'helpful')",1.1224761,1.3745676,-0.1020504,-0.0398225,-0.0622279
1,-1.3162926,-0.8909125,"('unfriendly', 'friendly')",1.1368814,1.2079183,-0.0897056,0.1585029,-0.2482085
53,-1.2908795,-1.0276396,"('uncreative', 'creative')",-0.12320599,0.201693,-0.7070428,-0.4129733,-0.2940695
9,-1.1494242,-1.0146192,"('unaffectionate', 'caring')",0.8719932,0.97890663,-0.1387155,-0.0178563,-0.1208592
39,1.1123054,1.1808132,"('exploitative', 'cooperative')",-0.02144429,-0.020101864,0.5454305,0.5803556,-0.0349251
63,-1.1094371,-1.1624355,"('unperceptive', 'insightful')",0.3160223,0.44298902,-0.3967074,-0.3597233,-0.0369841
19,-1.090224,-1.1041894,"('inhospitable', 'hospitable')",-0.8041105,-0.89738643,-0.9471673,-1.000788,0.0536207
10,-1.0897578,-1.0240355,"('unsympathetic', 'sympathetic')",-0.5118057,-0.116677955,-0.8007817,-0.5703567,-0.230425
23,-1.060972,-0.9057704,"('insincere', 'sincere')",5.125398,5.64358,2.0322132,2.3689048,-0.3366916
12,-1.0558836,-1.1569813,"('unsupportive', 'supportive')",-2.270119,-2.1397185,-1.6630013,-1.64835,-0.0146513
31,-1.0478373,-0.8961199,"('evil', 'good')",-0.72415805,-0.8760212,-0.8859977,-0.8860705,7.28e-05
35,1.0465846,0.8359929,"('corrupt', 'incorrupt')",-0.13129051,-0.5770904,0.4576471,0.1294512,0.3281959
43,-1.0393776,-1.1206719,"('irresponsible', 'responsible')",0.38708103,0.42515165,-0.3261483,-0.3477601,0.0216118
51,-1.0150317,-1.090178,"('uneducated', 'educated')",-0.063466005,0.2267465,-0.5392488,-0.4317158,-0.107533
71,-1.0037383,-0.7209349,"('diffident', 'self-confident')",0.17404854,0.19297245,-0.4148449,-0.2639812,-0.1508637
54,-0.99163675,-0.97633827,"('incapable', 'capable')",0.36836398,0.33802122,-0.3116364,-0.3191585,0.0075221
45,-0.95364964,-0.7924683,"('incompetent', 'competent')",0.042138577,0.36836186,-0.4557555,-0.2120532,-0.2437023
