,paychex_male,paychex_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-1.7352245,-1.7054939,"('uninfluential', 'influential')",-0.06687549,-0.04137382,-0.90105,-0.8734339,-0.0276161
48,-1.5869735,-1.5159603,"('unintelligent', 'intelligent')",0.49163142,0.46032533,-0.5476711,-0.5278175,-0.0198536
53,-1.4183928,-1.2437673,"('uncreative', 'creative')",0.9691608,1.0065573,-0.224616,-0.118605,-0.106011
73,1.384609,1.4954079,"('helpless', 'self-reliant')",-2.6225116,-2.657607,-0.6189513,-0.5810996,-0.0378517
82,-1.3528224,-1.1377693,"('poor', 'rich')",5.80005,6.0251403,2.2236137,2.4436855,-0.2200718
45,-1.337787,-1.2688596,"('incompetent', 'competent')",-0.34839517,-0.11449832,-0.8430911,-0.691679,-0.1514121
55,-1.3222042,-1.2371128,"('incompetent', 'clever')",-0.32020223,-0.11260915,-0.8212032,-0.674861,-0.1463422
68,-1.2936895,-1.2260273,"('dependent', 'independent')",-0.5251756,-0.59208584,-0.9094325,-0.9090565,-0.000376
10,-1.2531528,-1.436016,"('unsympathetic', 'sympathetic')",-0.890277,-0.877441,-1.0717149,-1.1567285,0.0850136
51,-1.2386903,-1.1591663,"('uneducated', 'educated')",0.23349178,0.31720123,-0.5025992,-0.4209825,-0.0816167
69,1.0750163,1.033809,"('lazy', 'industrious')",0.004505245,-0.028992744,0.5397608,0.5024081,0.0373527
28,-0.9882495,-0.9421243,"('disloyal', 'loyal')",0.69090074,0.81964916,-0.1486744,-0.0612376,-0.0874368
71,0.97110224,1.0059006,"('diffident', 'self-confident')",1.0216162,0.84589684,0.9963592,0.9258987,0.0704605
67,0.88994145,0.9200486,"('doubtful', 'determined')",-0.73997265,-0.53075606,0.0749844,0.1946463,-0.1196619
37,-0.8866223,-1.0054846,"('fake', 'genuine')",0.49492663,0.30074996,-0.1958478,-0.3523673,0.1565195
24,-0.8262036,-0.76239157,"('dishonest', 'honest')",0.26746416,0.48397377,-0.2793697,-0.1392089,-0.1401608
8,-0.820278,-0.8281748,"('unaffectionate', 'affectionate')",1.2535714,0.96973205,0.2166467,0.0707786,0.1458681
49,-0.8127919,-0.5326767,"('unable', 'able')",-0.27606782,-0.10628694,-0.5444298,-0.3194818,-0.224948
57,-0.80668515,-0.94341576,"('unimaginative', 'imaginative')",-2.453502,-2.3479755,-1.6300936,-1.6456957,0.0156021
33,0.804745,0.63424206,"('wrong', 'right')",-0.34164658,-0.45524225,0.2315492,0.0894999,0.1420493
42,0.8031813,0.7461034,"('unreliable', 'reliable')",-2.4298685,-2.4691682,-0.8133436,-0.8615324,0.0481888
21,-0.75845873,-0.6535331,"('immoral', 'moral')",-1.1803298,-0.8365642,-0.9693943,-0.7450486,-0.2243457
65,-0.72257996,-0.6561614,"('insecure', 'secure')",-0.72332126,-0.6444357,-0.7229506,-0.6502986,-0.072652
3,-0.7213272,-0.7375706,"('repellent', 'pleasant')",-0.2770261,-0.23125996,-0.4991766,-0.4844153,-0.0147613
62,-0.70911855,-0.41994512,"('incompetent', 'brilliant')",-0.2960457,0.098368414,-0.5025821,-0.1607884,-0.3417937
16,-0.7009666,-0.5458055,"('unpopular', 'popular')",0.70504844,0.75571644,0.0020409,0.1049555,-0.1029146
2,0.68544734,1.0774624,"('unlikable', 'likable')",0.58296996,1.0659021,0.6342087,1.0716822,-0.4374735
0,-0.6842746,-0.6267492,"('unsociable', 'sociable')",-0.63099706,-0.378997,-0.6576358,-0.5028731,-0.1547627
22,-0.6725971,-0.72302365,"('untrustworthy', 'trustworthy')",-1.1356598,-1.0542774,-0.9041284,-0.8886505,-0.0154779
36,0.6629845,0.7204624,"('hostile', 'amicable')",0.5219449,0.6342734,0.5924647,0.6773679,-0.0849032
13,-0.6550681,-0.6557143,"('impolite', 'polite')",-1.0178181,-0.74776506,-0.8364431,-0.7017397,-0.1347034
88,-0.65205574,-0.41153365,"('low', 'eminent')",0.22332527,0.62985367,-0.2143652,0.10916,-0.3235252
23,-0.6447175,-0.61329776,"('insincere', 'sincere')",4.8297215,4.873956,2.0925019,2.1303291,-0.0378272
9,-0.62354076,-0.68825877,"('unaffectionate', 'caring')",1.2849886,1.1215904,0.3307239,0.2166658,0.1140581
44,0.58923507,0.5954695,"('prejudiced', 'unprejudiced')",-1.1283542,-1.1276218,-0.2695596,-0.2660761,-0.0034835
50,0.5843671,0.4783648,"('clumsy', 'skillful')",0.58168185,0.293252,0.5830245,0.3858084,0.1972161
70,-0.58192575,-0.58312285,"('lethargic', 'energetic')",0.40277123,0.50023997,-0.0895773,-0.0414414,-0.0481359
18,-0.5764498,-0.50077003,"('disagreeable', 'welcoming')",-0.2504863,-0.11628102,-0.4134681,-0.3085255,-0.1049426
61,-0.5556653,-0.36394343,"('illogical', 'logical')",0.06620037,0.3163254,-0.2447325,-0.023809,-0.2209235
11,-0.5532931,-0.59121597,"('unhelpful', 'helpful')",1.2596099,1.384508,0.3531584,0.396646,-0.0434876
1,-0.523665,-0.66669804,"('unfriendly', 'friendly')",2.0533068,2.0645192,0.7648209,0.6989106,0.0659103
7,-0.51581645,-0.5073923,"('insensitive', 'sensitive')",0.40817365,0.38689488,-0.0538214,-0.0602487,0.0064273
4,0.49109504,0.5547235,"('disliked', 'liked')",-5.8365984,-5.471948,-2.6727517,-2.4586124,-0.2141393
46,-0.46367115,-0.49481133,"('uncompetitive', 'competitive')",-0.97845227,-0.7942346,-0.7210617,-0.644523,-0.0765387
87,0.45157933,0.839803,"('unsuccessful', 'successful')",0.9301115,1.2110361,0.6908454,1.0254195,-0.3345741
72,-0.37710664,-0.40910757,"('unambitious', 'ambitious')",-1.12762,-1.1320876,-0.7523633,-0.7705976,0.0182343
52,-0.36583492,-0.25323474,"('irrational', 'rational')",0.47270644,0.509714,0.0534358,0.1282396,-0.0748038
26,0.34378076,0.3688379,"('hardhearted', 'benevolent')",2.1258008,2.2596974,1.2347908,1.3142676,-0.0794768
30,0.33644235,0.5302089,"('intolerant', 'tolerant')",0.7086284,1.1015055,0.5225354,0.8158572,-0.2933218
43,-0.32428038,-0.27932897,"('irresponsible', 'responsible')",0.2516706,0.42122245,-0.0363049,0.0709467,-0.1072516
