,peabody_male,peabody_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,male-female
39,2.4698517,2.6284778,"('exploitative', 'cooperative')",-0.17702015,0.07735799,0.07340191,0.13786511,0.7887445,0.9479003,-0.1591558
24,2.4481936,2.2440686,"('dishonest', 'honest')",0.38885674,0.3921733,1.0233476,0.8396147,1.2867993,1.1586188,0.1281805
75,-2.419919,-2.3272467,"('meek', 'impulsive')",0.27587837,0.2779074,-0.66474366,-0.6327651,-0.9362614,-0.8940348,-0.0422266
74,2.1940284,2.227284,"('undedicated', 'dedicated')",-0.064026356,-0.07840161,0.1238884,-0.08735184,0.7512968,0.6871769,0.0641199
60,2.0739362,2.0290577,"('inefficient', 'efficient')",1.4385594,1.7302274,0.6723504,0.82200766,1.3949486,1.5270975,-0.1321489
21,2.026684,2.1309164,"('immoral', 'moral')",1.1820863,1.3112664,0.19933857,0.5298146,1.1360363,1.3239991,-0.1879628
31,-1.9843775,-1.7730224,"('evil', 'good')",-0.75760716,-1.073485,-1.8886919,-2.1253924,-1.5435588,-1.6573,0.1137412
12,1.8822367,1.7240599,"('unsupportive', 'supportive')",0.75508034,0.57876366,-1.2275605,-1.7175341,0.4699189,0.1950965,0.2748224
16,-1.8361267,-1.5941133,"('unpopular', 'popular')",0.052784055,0.029509425,-0.18503243,-0.002423659,-0.656125,-0.5223425,-0.1337825
10,1.8336947,1.4656699,"('unsympathetic', 'sympathetic')",-0.79887754,-0.70865,0.42847884,0.35442775,0.4877654,0.3704825,0.1172829
43,1.8263091,1.8199817,"('irresponsible', 'responsible')",0.75721896,0.8835122,1.1195546,1.0285698,1.2343609,1.2440213,-0.0096604
30,1.8223927,1.7951722,"('intolerant', 'tolerant')",0.71387196,0.94776547,0.5071266,0.65288395,1.0144637,1.1319405,-0.1174768
55,1.762554,1.4848186,"('incompetent', 'clever')",-0.41747844,-0.27375802,1.0537595,1.2679309,0.7996117,0.8263305,-0.0267188
26,1.7574569,1.7084883,"('hardhearted', 'benevolent')",0.97366744,0.8479186,1.5916092,1.3598281,1.4409113,1.3054117,0.1354996
69,-1.7065436,-1.3909845,"('lazy', 'industrious')",1.1391978,1.0257856,-1.415036,-1.6391239,-0.6607939,-0.6681077,0.0073138
65,1.6591649,1.7826278,"('insecure', 'secure')",0.0035130978,0.42172167,0.6034102,1.1077083,0.7553627,1.1040193,-0.3486566
7,1.5861992,1.3533827,"('insensitive', 'sensitive')",0.91532916,0.9798626,0.98194295,0.79347634,1.1611571,1.0422405,0.1189166
6,-1.5842798,-1.2544736,"('distant', 'open')",-0.03330891,-0.31559116,-1.2412328,-1.6949471,-0.9529405,-1.0883373,0.1353968
76,1.5822349,1.5667715,"('anxious', 'daring')",-0.52849364,-0.18163067,0.46181366,0.93957245,0.505185,0.7749044,-0.2697194
56,1.5339605,1.5251594,"('impractical', 'practical')",0.8753994,1.0006418,0.077487454,0.1222844,0.8289491,0.8826952,-0.0537461
71,1.4801136,1.4265784,"('diffident', 'self-confident')",1.5479527,1.3952539,0.60878974,0.20182255,1.2122853,1.0078849,0.2044004
13,1.4782257,1.4688922,"('impolite', 'polite')",-0.38300532,-0.30432972,-0.19447193,-0.20809206,0.3002495,0.3188235,-0.018574
35,-1.4546225,-1.0345507,"('corrupt', 'incorrupt')",-0.6564856,-0.6949432,-1.6587077,-1.6154097,-1.2566053,-1.1149678,-0.1416375
23,1.4544421,1.2254381,"('insincere', 'sincere')",-0.7349977,-0.5402875,5.2567945,5.5660877,1.9920796,2.0837461,-0.0916665
70,1.4319391,1.0882366,"('lethargic', 'energetic')",0.33048636,0.4234475,1.09966,1.0320592,0.9540284,0.8479144,0.106114
61,1.4178027,1.3780835,"('illogical', 'logical')",0.9995664,1.0425172,0.7689414,0.6866364,1.0621035,1.0357457,0.0263578
80,1.3363768,1.1315922,"('dominated', 'dominating')",-0.011531085,0.05601065,0.49436295,0.6496798,0.6064029,0.6124275,-0.0060246
86,1.3067421,0.8673781,"('uninfluential', 'influential')",0.7499365,0.47029877,0.3458016,-0.056931876,0.8008267,0.426915,0.3739117
46,1.2990268,0.9549337,"('uncompetitive', 'competitive')",0.24847431,0.31966302,0.38541615,0.37083223,0.6443058,0.5484763,0.0958295
42,1.2817456,1.3875684,"('unreliable', 'reliable')",0.416403,0.46479982,-1.6602067,-1.6995741,0.0126473,0.0509313,-0.038284
36,-1.2565631,-0.9631222,"('hostile', 'amicable')",-0.47591484,-0.6233037,-1.103878,-0.9807155,-0.945452,-0.8557138,-0.0897382
32,1.2547678,1.2963533,"('unkind', 'kind')",-0.29331267,-0.14062408,1.1478888,1.1820642,0.7031147,0.7792645,-0.0761498
72,1.2210047,1.2393965,"('unambitious', 'ambitious')",0.78937495,0.7934655,-0.45479593,-0.51385665,0.5185279,0.5063351,0.0121928
52,-1.1785871,-0.81454897,"('irrational', 'rational')",-0.3545359,-0.48835585,-0.90239114,-1.1258494,-0.8118381,-0.8095848,-0.0022533
37,1.1490482,0.93449223,"('fake', 'genuine')",0.21363679,0.020412207,0.101287596,-0.18731363,0.4879909,0.2558636,0.2321273
64,1.1454791,1.1653926,"('shy', 'confident')",1.0903668,1.1277788,-4.8603473,-5.061587,-0.8748337,-0.9228052,0.0479715
