,rockwell_male,rockwell_female,tuple,automation_male,automation_female,inc_male,inc_female,average_male,average_female,male-female
26,2.0907574,2.5577435,"('hardhearted', 'benevolent')",0.6385226,1.148761,1.5655833,1.9302915,1.4316211,1.878932,-0.4473109
71,1.8274711,1.9987768,"('diffident', 'self-confident')",-0.3027568,-0.024406608,0.65750474,0.68834037,0.7274063,0.8875702,-0.1601639
3,-1.7383647,-1.8587669,"('repellent', 'pleasant')",-0.55358094,-0.76327986,0.35333148,0.23836866,-0.6462047,-0.7945593,0.1483546
33,1.7009407,1.7346812,"('wrong', 'right')",0.6993963,0.8327052,-0.4536823,-0.5985295,0.6488849,0.6562856,-0.0074007
81,-1.6490113,-1.7046719,"('submissive', 'aggressive')",0.24164067,-0.11892177,-0.8457035,-0.95903677,-0.7510247,-0.9275435,0.1765188
69,1.4975017,1.6865935,"('lazy', 'industrious')",1.7534397,1.9592383,-0.5746174,-0.53395844,0.892108,1.0372911,-0.1451831
75,-1.471778,-1.42703,"('meek', 'impulsive')",-0.8157033,-0.7454329,-0.42806682,-0.5019823,-0.9051827,-0.8914817,-0.013701
39,1.453421,1.39466,"('exploitative', 'cooperative')",0.216799,0.39738864,0.11945516,0.4430133,0.5965584,0.7450207,-0.1484623
61,1.4329269,1.4076495,"('illogical', 'logical')",1.4542764,1.417394,0.3859029,0.44492105,1.0910354,1.0899882,0.0010472
1,1.4232662,1.6931609,"('unfriendly', 'friendly')",-0.6706028,-0.44488648,1.6159644,1.8960696,0.7895426,1.0481147,-0.2585721
25,1.3646507,1.4889923,"('egoistic', 'altruistic')",0.6667028,0.90102994,1.3836234,1.4903494,1.1383256,1.2934572,-0.1551316
53,1.3487748,1.2975475,"('uncreative', 'creative')",-0.006262388,-0.08403981,1.002356,1.1782699,0.7816228,0.7972592,-0.0156364
16,-1.3262368,-1.1590015,"('unpopular', 'popular')",-0.50766706,-0.46114546,0.6071455,0.71569645,-0.4089195,-0.3014835,-0.107436
17,-1.2165694,-0.9288187,"('nasty', 'nice')",-0.9705778,-0.6164707,-0.5374067,-0.3473474,-0.9081846,-0.6308789,-0.2773057
10,-1.1784413,-1.3898203,"('unsympathetic', 'sympathetic')",-1.5797329,-2.0618126,-0.20477915,-0.33677125,-0.9876511,-1.2628014,0.2751503
44,-1.0787445,-1.2291496,"('prejudiced', 'unprejudiced')",-0.061901707,-0.0885085,-1.4238687,-1.3062154,-0.8548383,-0.8746245,0.0197862
84,1.0135317,1.1306206,"('inferior', 'superior')",0.8111818,1.0135235,0.83289576,0.9050119,0.8858697,1.0163853,-0.1305156
12,0.96453947,0.73364526,"('unsupportive', 'supportive')",0.057853524,-0.34275648,-1.6550603,-1.7312031,-0.2108891,-0.4467714,0.2358823
9,0.9409901,0.99314475,"('unaffectionate', 'caring')",-0.7178575,-0.51897335,1.2085993,1.2837563,0.477244,0.5859759,-0.1087319
74,0.92714673,0.75957286,"('undedicated', 'dedicated')",0.36440882,0.0095479,0.36072338,0.2671814,0.5507596,0.345434,0.2053256
49,-0.91356266,-0.91256285,"('unable', 'able')",0.047053505,-0.16391256,-0.08001675,-0.063020304,-0.3155086,-0.3798319,0.0643233
57,-0.90940475,-1.1872826,"('unimaginative', 'imaginative')",-0.2954579,-0.7773256,-2.5255048,-2.6130114,-1.2434558,-1.5258732,0.2824174
87,0.90892947,0.85231996,"('unsuccessful', 'successful')",1.0235661,0.7491569,0.7061974,0.8077054,0.8795643,0.8030608,0.0765035
77,-0.895758,-1.081873,"('unmotivated', 'motivated')",0.18842915,-0.23860458,-1.2276174,-1.2104113,-0.6449821,-0.8436297,0.1986476
79,-0.894998,-0.7917909,"('wavering', 'unwavering')",-1.2411951,-1.069224,-0.22488679,-0.24854957,-0.7870266,-0.7031881,-0.0838385
58,0.85276014,0.6935755,"('undiscriminating', 'discriminating')",1.3255464,1.1193318,0.049895003,0.010956893,0.7427339,0.6079547,0.1347792
2,0.8213464,0.9242531,"('unlikable', 'likable')",0.21407089,0.42358103,0.42977485,0.71552235,0.4883974,0.6877855,-0.1993881
64,-0.818661,-0.6915651,"('shy', 'confident')",-0.35110956,-0.23003991,-6.5484366,-6.5322227,-2.5727358,-2.4846093,-0.0881265
70,-0.8015883,-1.2773333,"('lethargic', 'energetic')",-0.46171424,-1.1276869,0.7091642,0.39620596,-0.1847128,-0.6696048,0.484892
86,0.80125433,0.66994935,"('uninfluential', 'influential')",0.3901217,0.18877058,0.034254618,-0.06732939,0.4085435,0.2637968,0.1447467
51,-0.78516114,-0.65936637,"('uneducated', 'educated')",-0.57727706,-0.80882984,0.28334007,0.3193951,-0.3596994,-0.3829337,0.0232343
40,0.7698985,0.54343665,"('stingy', 'generous')",-0.10732182,-0.3683611,-1.4335105,-1.6501913,-0.256978,-0.4917053,0.2347273
68,-0.76456416,-0.7457726,"('dependent', 'independent')",0.63212156,0.58974767,-0.5847948,-0.57652414,-0.2390791,-0.244183,0.0051039
56,0.7534378,0.5822322,"('impractical', 'practical')",0.4622298,0.28558123,-0.38769358,-0.35954607,0.2759913,0.1694224,0.1065689
30,-0.65768313,-0.67856425,"('intolerant', 'tolerant')",-1.2122055,-1.1382982,0.608184,0.7355797,-0.4205682,-0.3604275,-0.0601407
21,-0.63468236,-0.64297783,"('immoral', 'moral')",-0.23494662,-0.34995162,-0.87725496,-0.846014,-0.5822946,-0.6129812,0.0306866
42,-0.61728334,-0.6561594,"('unreliable', 'reliable')",-0.75206417,-1.0583847,-2.6386786,-2.854912,-1.3360087,-1.523152,0.1871433
8,0.60355955,0.6797583,"('unaffectionate', 'affectionate')",-0.6534937,-0.35389262,0.69676,0.86932397,0.2156086,0.3983966,-0.182788
85,0.58501405,1.1372569,"('insignificant', 'prestigious')",-0.65001965,-0.13614975,0.16043589,0.5674596,0.0318101,0.5228556,-0.4910455
