,sandisk_male,sandisk_female,tuple,corp_male,corp_female,average_male,average_female,male-female
33,1.2660258,0.9779076,"('wrong', 'right')",-0.36271107,-0.4862453,0.4516574,0.2458311,0.2058263
19,-1.1845725,-1.4084525,"('inhospitable', 'hospitable')",-0.43436083,-0.48561043,-0.8094667,-0.9470315,0.1375648
69,1.0680093,0.85746086,"('lazy', 'industrious')",-0.85839033,-0.80789274,0.1048095,0.0247841,0.0800254
13,-0.9525598,-0.67519915,"('impolite', 'polite')",-0.82318187,-0.8547669,-0.8878708,-0.7649831,-0.1228877
31,-0.88809544,-1.1928957,"('evil', 'good')",-0.87554646,-0.9180869,-0.8818209,-1.0554912,0.1736703
4,-0.8751656,-0.91882974,"('disliked', 'liked')",-7.8209295,-7.886802,-4.3480477,-4.4028158,0.0547681
6,-0.8415091,-1.2557532,"('distant', 'open')",-0.33198178,-0.2916031,-0.5867454,-0.7736781,0.1869327
67,0.80635566,0.9401286,"('doubtful', 'determined')",-0.9860871,-0.82337666,-0.0898657,0.058376,-0.1482417
39,0.8000237,0.9381097,"('exploitative', 'cooperative')",0.1656663,0.11802899,0.482845,0.5280693,-0.0452243
72,-0.7894452,-0.802506,"('unambitious', 'ambitious')",-0.45747304,-0.5854729,-0.6234591,-0.6939895,0.0705304
79,-0.7529293,-1.158469,"('wavering', 'unwavering')",-0.2835561,-0.3588535,-0.5182427,-0.7586612,0.2404185
17,-0.7513415,-0.98491484,"('nasty', 'nice')",-0.7179627,-0.763709,-0.7346521,-0.8743119,0.1396598
32,-0.7511506,-0.9289019,"('unkind', 'kind')",0.60591656,0.5474823,-0.072617,-0.1907098,0.1180928
82,-0.7140913,-0.61862093,"('poor', 'rich')",6.246541,6.3416486,2.7662249,2.8615139,-0.095289
51,-0.6578231,-0.61510265,"('uneducated', 'educated')",0.54640037,0.43970028,-0.0557114,-0.0877012,0.0319898
5,-0.6400437,-1.0954077,"('distant', 'outgoing')",-0.6884541,-0.689489,-0.6642489,-0.8924484,0.2281995
43,-0.6304365,-0.44267008,"('irresponsible', 'responsible')",0.05647698,0.12265349,-0.2869797,-0.1600083,-0.1269714
38,-0.6222914,-0.71047974,"('untruthful', 'truthful')",-0.85152453,-0.8548038,-0.736908,-0.7826418,0.0457338
86,-0.61804664,-0.6724612,"('uninfluential', 'influential')",-0.18213388,-0.38596773,-0.4000903,-0.5292145,0.1291242
16,-0.61737823,-0.6818597,"('unpopular', 'popular')",-0.049115174,0.0143413395,-0.3332467,-0.3337592,0.0005125
57,-0.6096925,-0.5689312,"('unimaginative', 'imaginative')",-2.9724376,-3.219932,-1.7910651,-1.8944316,0.1033665
36,-0.60726655,-0.8709821,"('hostile', 'amicable')",-0.018815372,0.087584876,-0.313041,-0.3916986,0.0786576
84,0.60133076,0.61551857,"('inferior', 'superior')",0.8959359,0.8720462,0.7486333,0.7437824,0.0048509
25,0.549577,0.31393093,"('egoistic', 'altruistic')",1.5585936,1.594102,1.0540853,0.9540164,0.1000689
58,0.5341671,0.35077223,"('undiscriminating', 'discriminating')",0.36033818,0.20189363,0.4472526,0.2763329,0.1709197
35,-0.53273445,-0.8610424,"('corrupt', 'incorrupt')",-0.45888314,-0.4566149,-0.4958088,-0.6588286,0.1630198
75,-0.51251876,-0.43656003,"('meek', 'impulsive')",-0.9133862,-0.8112983,-0.7129525,-0.6239291,-0.0890234
40,0.4995486,0.3638719,"('stingy', 'generous')",-1.9539686,-2.1659822,-0.72721,-0.9010552,0.1738452
64,-0.47990206,-0.3543966,"('shy', 'confident')",-6.81163,-6.8831325,-3.645766,-3.6187646,-0.0270014
11,-0.47674587,-0.41184556,"('unhelpful', 'helpful')",1.1571841,1.067394,0.3402191,0.3277742,0.0124449
15,0.46792033,0.33986115,"('boring', 'funny')",0.15355399,0.14683545,0.3107372,0.2433483,0.0673889
27,-0.46687147,-0.64869726,"('hardhearted', 'softhearted')",1.6924262,1.5465947,0.6127774,0.4489487,0.1638287
14,0.46289822,0.9420968,"('antisocial', 'social')",-0.16667391,-0.16621609,0.1481121,0.3879404,-0.2398283
0,-0.45396456,-0.4125343,"('unsociable', 'sociable')",-0.10032091,-0.27450866,-0.2771427,-0.3435215,0.0663788
53,-0.44821286,-0.8212929,"('uncreative', 'creative')",0.43743667,0.34924304,-0.0053881,-0.2360249,0.2306368
28,-0.44628116,-0.48400787,"('disloyal', 'loyal')",1.2145902,1.0359671,0.3841545,0.2759796,0.1081749
10,-0.44518483,-0.37777615,"('unsympathetic', 'sympathetic')",-0.17005152,-0.27370858,-0.3076182,-0.3257424,0.0181242
24,-0.40816408,-0.40922737,"('dishonest', 'honest')",0.038487084,0.016872238,-0.1848385,-0.1961776,0.0113391
65,-0.39744303,-0.0846555,"('insecure', 'secure')",-0.308098,-0.29989824,-0.3527705,-0.1922769,-0.1604936
71,0.3940946,0.051916912,"('diffident', 'self-confident')",0.24704686,0.052403964,0.3205707,0.0521604,0.2684103
8,-0.38104814,-0.7587793,"('unaffectionate', 'affectionate')",1.1678131,1.1798676,0.3933825,0.2105442,0.1828383
1,-0.3613556,-0.9613041,"('unfriendly', 'friendly')",1.4424607,1.379855,0.5405525,0.2092755,0.331277
47,-0.35760787,-0.19004428,"('stupid', 'smart')",5.2126527,5.3758874,2.4275224,2.5929215,-0.1653991
