,tiffany_male,tiffany_female,tuple,&_male,&_female,co_male,co_female,average_male,average_female,male-female
85,2.8899605,3.0518816,"('insignificant', 'prestigious')",1.8223603,1.955735,0.80421203,0.7406156,1.8388443,1.9160773,-0.077233
26,2.7136097,2.8213656,"('hardhearted', 'benevolent')",2.641723,2.9026039,1.0160375,1.2385616,2.1237899,2.3208437,-0.1970538
64,-2.7038758,-2.542247,"('shy', 'confident')",-0.7493977,-0.6442442,-6.0221157,-5.768591,-3.1584632,-2.9850273,-0.1734359
65,-2.6859863,-2.3364217,"('insecure', 'secure')",-1.3082757,-1.2350423,-1.6844412,-1.5318687,-1.8929011,-1.7011108,-0.1917903
6,2.5771863,2.4373538,"('distant', 'open')",0.76592624,0.88390005,0.20782134,0.17169912,1.1836446,1.1643176,0.019327
45,-2.541787,-2.3243785,"('incompetent', 'competent')",-1.1646945,-1.0507562,-1.370364,-1.4494044,-1.6922817,-1.6081797,-0.084102
22,-2.516253,-2.3589976,"('untrustworthy', 'trustworthy')",-1.5419918,-1.620734,-2.0291872,-2.0922036,-2.029144,-2.0239784,-0.0051656
81,-2.4714015,-2.346199,"('submissive', 'aggressive')",-0.9935688,-0.76857066,-1.5813137,-1.4618402,-1.6820946,-1.5255365,-0.1565581
25,2.469516,2.2460024,"('egoistic', 'altruistic')",1.5606169,1.3221725,1.3486356,1.1746434,1.7929228,1.5809395,0.2119833
46,-2.333859,-2.101336,"('uncompetitive', 'competitive')",-1.016204,-0.99900573,-0.21997058,-0.27521348,-1.1900112,-1.1251851,-0.0648261
5,2.3040264,2.1176093,"('distant', 'outgoing')",0.8290803,0.90033525,0.20098022,0.22727637,1.1113623,1.0817403,0.029622
69,2.2139926,2.082218,"('lazy', 'industrious')",1.0690334,1.0331578,0.2530115,0.37322256,1.1786791,1.1628661,0.015813
35,2.200924,2.1125538,"('corrupt', 'incorrupt')",0.50950235,0.4161407,-0.11256956,-0.0885943,0.8659523,0.8133668,0.0525855
79,2.170217,2.3880806,"('wavering', 'unwavering')",0.5285927,0.64794385,0.38908696,0.42447367,1.0292989,1.1534994,-0.1242005
36,2.1670942,2.2289722,"('hostile', 'amicable')",0.5727642,0.48250315,0.39980918,0.44366032,1.0465558,1.0517119,-0.0051561
70,-2.1369936,-1.8583636,"('lethargic', 'energetic')",-0.92798334,-0.77453285,-0.47261178,-0.40362805,-1.1791962,-1.0121748,-0.1670214
44,-2.1055448,-2.2205184,"('prejudiced', 'unprejudiced')",-1.1408843,-1.2645575,-1.8018252,-1.7825115,-1.6827513,-1.7558626,0.0731113
11,-2.1051424,-2.2296169,"('unhelpful', 'helpful')",-1.9285973,-1.9286785,1.3489163,1.3084888,-0.8949411,-0.9499356,0.0549945
71,2.10262,1.8752496,"('diffident', 'self-confident')",0.16985534,0.29637986,0.16873895,0.20538074,0.813738,0.7923367,0.0214013
3,-2.074458,-1.9923092,"('repellent', 'pleasant')",-1.0846748,-1.1788512,0.81610817,0.8631122,-0.7810082,-0.7693494,-0.0116588
9,2.055813,1.8836864,"('unaffectionate', 'caring')",0.5146263,0.38793504,1.0818734,0.9595529,1.2174376,1.0770582,0.1403794
8,1.9745485,1.8433309,"('unaffectionate', 'affectionate')",1.0913516,1.1284628,0.9619018,0.8198367,1.3426007,1.2638768,0.0787239
10,-1.9421855,-1.5839244,"('unsympathetic', 'sympathetic')",-1.2079352,-1.0647244,-0.1720435,-0.13973813,-1.1073881,-0.9294623,-0.1779258
13,-1.8743377,-1.7512305,"('impolite', 'polite')",-1.2469702,-1.2329667,-0.61640906,-0.5058789,-1.2459056,-1.1633587,-0.0825469
1,1.8201406,1.7615334,"('unfriendly', 'friendly')",1.4192219,1.4298735,1.4810759,1.3133652,1.5734795,1.5015907,0.0718888
33,1.7260901,1.6454723,"('wrong', 'right')",1.6394391,1.4625176,-0.4373506,-0.4245073,0.9760595,0.8944941,0.0815654
68,-1.7095796,-1.4274348,"('dependent', 'independent')",-1.6782314,-1.5829594,-1.5050097,-1.5502992,-1.6309401,-1.5202311,-0.110709
80,-1.6685153,-1.8430578,"('dominated', 'dominating')",-0.7786021,-0.8983163,-0.6009079,-0.6772867,-1.0160084,-1.1395535,0.1235451
60,-1.6484067,-1.4740524,"('inefficient', 'efficient')",-0.33527517,-0.33361706,-0.5925428,-0.5588729,-0.8587416,-0.7888474,-0.0698942
54,1.59974,1.7704214,"('incapable', 'capable')",1.0618939,1.2155949,0.89240813,0.98211503,1.1846807,1.3227104,-0.1380297
15,1.5417926,1.3931633,"('boring', 'funny')",0.7008913,0.55114317,0.016333977,-0.04651688,0.753006,0.6325965,0.1204095
21,-1.5077882,-1.3293672,"('immoral', 'moral')",-0.7647671,-0.75517154,-1.3653282,-1.249147,-1.2126279,-1.1112286,-0.1013993
31,1.5018283,1.4782633,"('evil', 'good')",0.6762155,0.62798864,-0.121573165,-0.19965944,0.6854902,0.6355308,0.0499594
55,-1.4129359,-1.1699291,"('incompetent', 'clever')",-0.28935736,-0.26716992,-1.0422263,-1.0715326,-0.9148398,-0.8362106,-0.0786292
78,1.4122535,1.3422717,"('nonresilient', 'resilient')",0.7903269,0.78846097,1.933511,1.8050693,1.3786971,1.311934,0.0667631
57,-1.336746,-1.0818455,"('unimaginative', 'imaginative')",-0.84549505,-0.7889335,-3.0840302,-3.0799904,-1.7554237,-1.6502565,-0.1051672
24,-1.2332326,-1.2158436,"('dishonest', 'honest')",-0.5943758,-0.60082066,-0.8775083,-0.96595645,-0.9017056,-0.9275402,0.0258346
0,-1.231264,-1.1287134,"('unsociable', 'sociable')",0.04784546,0.15876031,-0.12214364,0.014323057,-0.4351874,-0.3185433,-0.1166441
7,-1.1593689,-0.9434416,"('insensitive', 'sensitive')",-1.2462723,-1.0783767,-0.45504272,-0.4215796,-0.9535613,-0.8144659,-0.1390954
