,travel_male,travel_female,tuple,&_male,&_female,leisure_male,leisure_female,co_male,co_female,average_male,average_female,male-female
71,2.046745,2.119503,"('diffident', 'self-confident')",0.84744203,0.74593383,1.7588714,1.7255923,0.29249087,0.31520125,1.2363874,1.2265576,0.0098298
73,1.9659295,1.9231901,"('helpless', 'self-reliant')",1.0596557,1.147596,1.2142874,1.3140504,-2.8945363,-2.839472,0.336334,0.386341,-0.050007
56,1.7165579,1.6402303,"('impractical', 'practical')",0.41226017,0.059393212,1.9136891,1.5830815,0.40770102,0.3389297,1.112552,0.9054086,0.2071434
42,1.6836104,1.6169379,"('unreliable', 'reliable')",1.563981,1.4837601,0.9100368,0.6314679,-2.0818777,-1.8569965,0.5189376,0.4687923,0.0501453
1,1.5626798,1.5384415,"('unfriendly', 'friendly')",0.28528923,0.30513278,0.96874845,0.83337665,1.1988329,0.92722946,1.0038877,0.9010451,0.1028426
14,1.449378,1.5047417,"('antisocial', 'social')",0.59483594,0.35505956,1.5655646,1.2529551,0.027300335,0.015646987,0.9092698,0.7821008,0.127169
43,1.4267066,1.3845668,"('irresponsible', 'responsible')",0.5342366,0.28327775,1.0236061,0.7062281,0.9960291,0.92788184,0.9951446,0.8254886,0.169656
9,1.3553768,1.257437,"('unaffectionate', 'caring')",-0.33637714,-0.6286763,1.3899351,1.317301,0.8876398,0.6785028,0.8241436,0.6561412,0.1680024
26,1.308621,1.4776314,"('hardhearted', 'benevolent')",1.2589297,1.3282295,1.0537406,1.2164296,1.1943828,1.381409,1.2039185,1.350925,-0.1470065
12,1.1615995,1.2553442,"('unsupportive', 'supportive')",0.6878344,0.43431574,1.5469368,1.3527029,-1.7846929,-1.7542887,0.4029194,0.3220185,0.0809009
18,-1.1462054,-0.6412791,"('disagreeable', 'welcoming')",0.2579269,0.6658988,-0.6068343,-0.25218907,-1.2736485,-1.0542514,-0.6921903,-0.3204552,-0.3717351
30,1.1327301,1.17825,"('intolerant', 'tolerant')",0.16309911,0.13060182,1.0072403,0.91083956,0.4986169,0.5578258,0.7004216,0.6943793,0.0060423
33,1.0758349,1.170224,"('wrong', 'right')",-0.05564806,-0.030670121,0.8141535,0.90603125,-1.2958223,-1.3478217,0.1346295,0.1744409,-0.0398114
2,1.0491617,1.3229795,"('unlikable', 'likable')",1.5154159,1.7118042,0.9044188,1.1057409,0.7775122,0.9796581,1.0616271,1.2800456,-0.2184185
58,1.0441043,0.79037434,"('undiscriminating', 'discriminating')",0.2540147,-0.29882032,1.1306819,0.96866965,0.3944072,0.23364742,0.7058021,0.4234678,0.2823343
31,-1.021668,-0.9637401,"('evil', 'good')",-0.044563096,0.16676207,-0.735217,-0.51995873,-1.1271237,-1.3541974,-0.7321429,-0.6677835,-0.0643594
87,1.0196792,0.9225177,"('unsuccessful', 'successful')",0.78166455,0.5578789,1.348923,1.2750998,0.37232938,0.5014489,0.880649,0.8142363,0.0664127
49,-1.0129886,-0.9310927,"('unable', 'able')",-0.09047985,-0.10326167,0.43310365,0.4629036,-0.15263116,0.09529061,-0.205749,-0.11904,-0.086709
51,-1.0034667,-1.1298497,"('uneducated', 'educated')",0.6575067,0.7260659,-0.114331536,-0.26756847,0.4200321,0.45277473,-0.0100649,-0.0546444,0.0445795
68,-0.99283683,-1.1470033,"('dependent', 'independent')",-0.10520781,-0.13111326,-0.7106607,-0.7841957,-1.4668036,-1.3897886,-0.8188772,-0.8630252,0.044148
0,0.9445969,0.81671715,"('unsociable', 'sociable')",-0.009996347,-0.3757692,1.1450621,0.7616171,0.028798413,-0.0045168772,0.5271152,0.2995121,0.2276031
8,0.915213,0.92333555,"('unaffectionate', 'affectionate')",-0.6088051,-0.76091397,1.3723543,1.4488199,0.34789634,0.21417524,0.5066646,0.4563542,0.0503104
5,0.8855323,1.09694,"('distant', 'outgoing')",0.98175794,1.1705682,1.2541466,1.5151994,-0.68763447,-0.80330163,0.6084506,0.7448515,-0.1364009
47,0.82934386,0.8856382,"('stupid', 'smart')",0.9174561,0.8095983,0.7344501,0.81889606,5.3152943,5.3480687,1.949136,1.9655503,-0.0164143
