,travelers_male,travelers_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,male-female
56,2.3411672,2.3743362,"('impractical', 'practical')",2.4622045,2.5189044,-0.06265339,0.027872078,1.5802393,1.640371,-0.0601317
12,2.1767542,2.3367636,"('unsupportive', 'supportive')",2.0943902,2.263666,-1.6676563,-1.3015476,0.8678293,1.0996273,-0.231798
71,2.079344,2.3222568,"('diffident', 'self-confident')",0.46321923,0.54108864,0.41529414,0.53949183,0.9859525,1.1342791,-0.1483266
9,1.9693228,2.122001,"('unaffectionate', 'caring')",0.3327316,0.4040381,1.2638644,1.2345357,1.1886396,1.2535249,-0.0648853
30,1.8458251,1.8217992,"('intolerant', 'tolerant')",2.4077592,2.5246685,0.6797715,0.78450716,1.6444519,1.7103249,-0.065873
49,-1.7430514,-1.753761,"('unable', 'able')",-0.1172319,-0.053596452,-0.061362684,-0.089365855,-0.6405486,-0.6322411,-0.0083075
60,1.7103631,1.4887682,"('inefficient', 'efficient')",3.6969764,3.7522063,0.7024065,0.6694615,2.036582,1.9701452,0.0664368
68,-1.617271,-1.8788446,"('dependent', 'independent')",0.19016382,-0.0018626004,-0.10910289,-0.12138672,-0.51207,-0.6673647,0.1552947
7,1.5876572,1.5782533,"('insensitive', 'sensitive')",1.5749155,1.6980189,0.6669628,0.5905411,1.2765119,1.2889378,-0.0124259
33,1.5780174,1.6680171,"('wrong', 'right')",-0.7382077,-0.6328881,-0.816548,-0.74823827,0.0077539,0.0956303,-0.0878764
19,-1.5706391,-1.5530326,"('inhospitable', 'hospitable')",-1.0620356,-0.8724832,-0.39693868,-0.110763535,-1.0098712,-0.8454265,-0.1644447
0,1.5694997,1.5891637,"('unsociable', 'sociable')",1.6307153,1.7590407,-0.19653122,-0.10790685,1.0012279,1.0800992,-0.0788713
43,1.5217459,1.6443913,"('irresponsible', 'responsible')",1.4461749,1.7070777,0.65353245,0.9018449,1.2071511,1.4177713,-0.2106202
31,-1.4740099,-1.2006994,"('evil', 'good')",-1.9155881,-1.9261144,-1.2047552,-1.1140767,-1.5314511,-1.4136302,-0.1178209
13,1.4699215,1.3650669,"('impolite', 'polite')",1.4023314,1.7467959,0.31032225,0.19970532,1.0608584,1.103856,-0.0429976
