,united_male,united_female,tuple,states_male,states_female,steel_male,steel_female,corp_male,corp_female,average_male,average_female,male-female
45,-1.9331182,-1.993079,"('incompetent', 'competent')",-0.8894582,-0.9825057,-1.2617799,-1.4512622,-0.60801923,-0.7194258,-1.1730939,-1.286568,0.1134741
55,-1.644329,-1.338825,"('incompetent', 'clever')",-0.9199283,-0.81181747,-1.1787323,-1.2423153,0.34862593,0.30910996,-0.8485909,-0.7709619,-0.077629
8,-1.6064138,-1.5748091,"('unaffectionate', 'affectionate')",-0.9601437,-0.96823066,0.8207287,0.7510181,-0.4538733,-0.625522,-0.5499255,-0.604386,0.0544605
36,-1.3588557,-1.1103638,"('hostile', 'amicable')",-0.8992628,-0.6634141,-0.257551,0.020553406,-1.4801058,-1.1821077,-0.9989438,-0.7338331,-0.2651107
74,1.20402,1.2178102,"('undedicated', 'dedicated')",0.46511933,0.4797215,0.5438274,0.54789853,-0.66165,-0.75417167,0.3878292,0.3728147,0.0150145
86,-1.1412203,-1.0585,"('uninfluential', 'influential')",-0.54945934,-0.5048749,0.025220554,0.13417614,-0.3776985,-0.30766544,-0.5107894,-0.4342161,-0.0765733
67,1.032974,1.1053362,"('doubtful', 'determined')",0.45999187,0.40768716,0.41392076,0.4844743,-0.37020728,-0.20538339,0.3841698,0.4480286,-0.0638588
42,1.011114,1.2287464,"('unreliable', 'reliable')",1.3173369,1.4148729,-0.07689565,-0.034571804,-2.3680508,-2.2623591,-0.0291239,0.0866721,-0.115796
41,-1.0081093,-0.8318116,"('unforgiving', 'forgiving')",-0.88818634,-0.7162217,-0.909854,-0.79824436,-0.63361126,-0.5288068,-0.8599402,-0.7187711,-0.1411691
75,-0.99375796,-1.013432,"('meek', 'impulsive')",-0.3490335,-0.3268767,-1.2879037,-1.3401222,-0.7526022,-0.7375565,-0.8458244,-0.8544968,0.0086724
49,-0.9422263,-1.1707419,"('unable', 'able')",-1.0333332,-1.1486064,-0.9946906,-1.1282609,-0.54126036,-0.6717492,-0.8778776,-1.0298396,0.151962
30,-0.8952688,-0.6217792,"('intolerant', 'tolerant')",-0.69891435,-0.55702746,-0.9561916,-0.9919444,-0.52188754,-0.5517087,-0.7680656,-0.6806149,-0.0874507
60,-0.87154436,-0.88388246,"('inefficient', 'efficient')",-1.0258805,-1.184361,-0.6963888,-0.8832227,-0.37047166,-0.5637957,-0.7410713,-0.8788154,0.1377441
0,-0.8643442,-0.7500835,"('unsociable', 'sociable')",-1.5625854,-1.5300671,-0.88096416,-0.7949264,-0.54655504,-0.5677219,-0.9636122,-0.9106997,-0.0529125
11,0.8576969,0.55907583,"('unhelpful', 'helpful')",-0.092146,-0.3079906,-0.9355865,-1.1003138,2.0235567,1.5285727,0.4633803,0.169836,0.2935443
79,0.8493326,0.7108164,"('wavering', 'unwavering')",0.5856476,0.58744645,-0.23606932,-0.18035465,-0.35406372,-0.43426505,0.2112118,0.1709108,0.040301
33,0.8434119,0.86927325,"('wrong', 'right')",0.2771053,0.3080377,1.3372164,1.4461633,-1.151102,-1.0537202,0.3266579,0.3924385,-0.0657806
29,-0.8364665,-0.87577426,"('unfair', 'fair')",-0.76729536,-0.8169232,-0.24424586,-0.14572935,-0.5230254,-0.3987127,-0.5927583,-0.5592849,-0.0334734
28,0.8279323,0.8799981,"('disloyal', 'loyal')",0.23547596,0.2690195,-0.42999768,-0.4200065,0.7780307,0.49937725,0.3528603,0.3070971,0.0457632
15,-0.8255582,-0.5938182,"('boring', 'funny')",0.22278826,0.28607008,0.12076925,0.06889067,-0.6017932,-0.6139244,-0.2709485,-0.2131955,-0.057753
22,-0.8179106,-0.7936838,"('untrustworthy', 'trustworthy')",-0.43361747,-0.4493962,-1.2777978,-1.2698958,-1.046342,-1.1201059,-0.893917,-0.9082704,0.0143534
82,-0.7991677,-1.0647699,"('poor', 'rich')",-0.701631,-0.87206304,-0.22449479,-0.3140338,5.662975,4.9285326,0.9844203,0.6694165,0.3150038
69,0.76640165,0.8592005,"('lazy', 'industrious')",1.0696472,1.0468137,1.3135358,1.3747953,-0.8641082,-0.5515408,0.5713692,0.6823171,-0.1109479
43,-0.755432,-0.73410386,"('irresponsible', 'responsible')",-1.2456887,-1.1602314,-0.73498666,-0.8854966,-0.057882328,-0.2325021,-0.6984974,-0.7530835,0.0545861
6,0.7518449,0.77755153,"('distant', 'open')",-0.12873587,0.0092480555,0.081748486,0.13609236,-1.4930636,-1.4425641,-0.1970515,-0.129918,-0.0671335
37,-0.74965507,-0.6321184,"('fake', 'genuine')",-0.312134,-0.2906226,-0.012792358,0.045543328,-0.431706,-0.4941875,-0.3765718,-0.3428463,-0.0337255
1,-0.73397976,-0.67475086,"('unfriendly', 'friendly')",-1.1976423,-1.0695608,1.1678253,1.2508965,0.293415,0.13084626,-0.1175954,-0.0906422,-0.0269532
12,0.72435606,0.77436465,"('unsupportive', 'supportive')",0.7331232,0.7431145,0.75289154,0.7741219,-1.9372699,-1.924759,0.0682752,0.0917105,-0.0234353
14,-0.67971766,-0.458672,"('antisocial', 'social')",-0.2772935,-0.18990773,0.38574335,0.5398211,0.18414816,0.3613635,-0.0967799,0.0631512,-0.1599311
35,-0.6737539,-0.57000834,"('corrupt', 'incorrupt')",0.114722095,0.25655213,-0.031541668,0.059557594,-1.2136711,-1.0427997,-0.4510611,-0.3241746,-0.1268865
26,-0.61804104,-0.22851759,"('hardhearted', 'benevolent')",-0.15084971,0.1868396,1.2113147,1.3579134,1.1745127,1.3038397,0.4042342,0.6550188,-0.2507846
48,-0.60669297,-0.527756,"('unintelligent', 'intelligent')",-0.18350987,-0.12119031,-0.14593026,-0.16152456,0.49583465,0.43864465,-0.1100746,-0.0929565,-0.0171181
27,-0.59827995,-0.2623942,"('hardhearted', 'softhearted')",-0.0046143346,0.20406947,-1.2700963,-1.3349564,-0.49812463,-0.5157479,-0.5927788,-0.4772573,-0.1155215
13,-0.59568024,-0.49742997,"('impolite', 'polite')",-1.1257435,-1.073582,-0.6836365,-0.64568204,-0.8530797,-0.8846286,-0.814535,-0.7753307,-0.0392043
66,0.5680552,0.72901297,"('inactive', 'active')",0.29252374,0.49876103,-0.26323298,-0.17473818,0.3084844,0.39347467,0.2264576,0.3616276,-0.13517
80,0.56279314,0.56002057,"('dominated', 'dominating')",0.14686152,0.17059472,-0.047533125,0.055327397,0.49979156,0.6317483,0.2904783,0.3544227,-0.0639444
68,-0.5460089,-0.2658376,"('dependent', 'independent')",-0.59978825,-0.40164998,-1.7103596,-1.5826348,-1.1090845,-1.0094092,-0.9913104,-0.8148829,-0.1764275
59,0.54071915,0.50672936,"('foolish', 'wise')",0.64815193,0.5704444,1.0255499,1.091342,-0.86221266,-0.8355975,0.3380521,0.3332295,0.0048226
76,-0.5071585,-0.43465668,"('anxious', 'daring')",-0.116200484,-0.06745142,0.017213224,0.009899635,0.65337926,0.5759572,0.0118084,0.0209372,-0.0091288
4,-0.50012887,-0.4855941,"('disliked', 'liked')",0.59706944,0.5680238,-0.0110691795,-0.09208856,-6.129496,-5.6985364,-1.5109062,-1.4270488,-0.0838574
57,-0.49158084,-0.42481342,"('unimaginative', 'imaginative')",-0.7652662,-0.6995744,-0.34611258,-0.38561916,-3.0622425,-2.9816728,-1.1663005,-1.1229199,-0.0433806
83,-0.46177942,-0.30864322,"('powerless', 'powerful')",-0.40658402,-0.36726904,0.0024892092,0.1939403,-0.69460815,-0.6149391,-0.3901206,-0.2742278,-0.1158928
9,-0.4614545,-0.42985582,"('unaffectionate', 'caring')",-0.7213575,-0.7351693,0.93813777,0.8948481,0.17335498,-0.019768134,-0.0178298,-0.0724863,0.0546565
10,-0.45524365,-0.23489928,"('unsympathetic', 'sympathetic')",-1.0794314,-0.98168504,-1.3110855,-1.2653106,-0.50195485,-0.5899941,-0.8369288,-0.7679722,-0.0689566
20,-0.4483347,-0.31887287,"('rough', 'thoughtful')",0.08341373,0.20478874,-0.71494126,-0.6409236,0.08455324,0.23687391,-0.2488272,-0.1295335,-0.1192937
21,-0.44180667,-0.14561845,"('immoral', 'moral')",-0.5325259,-0.40213367,0.259978,0.51068264,-0.2745233,-0.1261991,-0.2472195,-0.0408171,-0.2064024
2,0.43803886,0.61499196,"('unlikable', 'likable')",0.5858779,0.72563416,0.649559,0.6515214,0.20394272,0.26689172,0.4693546,0.5647598,-0.0954052
5,0.43678313,0.33184534,"('distant', 'outgoing')",-0.35128537,-0.3149273,-0.011996858,0.069603555,-1.2891047,-1.3251376,-0.303901,-0.309654,0.005753
62,-0.41837588,-0.7480885,"('incompetent', 'brilliant')",-0.65724075,-0.92447823,-0.77648616,-1.0805871,0.060076274,-0.20284499,-0.4480066,-0.7389997,0.2909931
88,0.4167937,0.53447634,"('low', 'eminent')",0.11980412,0.28296012,-0.506962,-0.43003747,-0.23751071,-0.29154631,-0.0519687,0.0239632,-0.0759319
18,-0.40806985,-0.16212139,"('disagreeable', 'welcoming')",-0.011621878,0.25911137,-1.5924467,-1.4489487,-1.8523626,-1.8624126,-0.9661252,-0.8035928,-0.1625324
53,-0.40414658,-0.5097386,"('uncreative', 'creative')",-0.7738266,-0.80979526,1.203498,1.2574991,-0.03257894,-0.15521325,-0.0017635,-0.054312,0.0525485
81,0.38299337,0.61124057,"('submissive', 'aggressive')",-0.028951488,-0.03971176,-0.6905579,-0.73798,-0.13123652,-0.14416657,-0.1169381,-0.0776545,-0.0392836
58,-0.36602035,-0.25977287,"('undiscriminating', 'discriminating')",-0.42042893,-0.26648474,0.34998426,0.5210264,0.028250806,0.03491275,-0.1020536,0.0074204,-0.109474
73,0.36345622,0.46383622,"('helpless', 'self-reliant')",1.3974699,1.4768769,0.5686284,0.6172267,-3.4144857,-3.2515981,-0.2712328,-0.1734146,-0.0978182
23,0.3601895,0.06628917,"('insincere', 'sincere')",-0.78238904,-1.0442166,-0.42082077,-0.61518073,5.093565,4.2564125,1.0626361,0.6658261,0.39681
85,0.34873527,0.510745,"('insignificant', 'prestigious')",0.24061911,0.38417765,1.3489707,1.6463202,-0.57050335,-0.3909969,0.3419554,0.5375615,-0.1956061
52,0.33653468,0.43225372,"('irrational', 'rational')",0.123312026,0.22641233,1.0707629,1.4342763,-0.7783225,-0.64275074,0.1880718,0.3625479,-0.1744761
25,-0.327638,-0.2066983,"('egoistic', 'altruistic')",0.29588315,0.284235,1.8872102,1.9031267,1.0215926,1.156855,0.719262,0.7843796,-0.0651176
38,0.3269903,0.037598558,"('untruthful', 'truthful')",-0.05560348,-0.20519325,0.05723197,-0.14576648,-0.261655,-0.5275228,0.0167409,-0.210221,0.2269619
3,-0.31895185,-0.4157568,"('repellent', 'pleasant')",-0.32016912,-0.4073533,-0.91332144,-0.89421374,0.92174983,0.9538657,-0.1576731,-0.1908645,0.0331914
87,0.3154517,0.23007968,"('unsuccessful', 'successful')",0.5172523,0.5175636,0.6906749,0.7867489,1.3280356,1.4382669,0.7128537,0.7431648,-0.0303111
39,0.31382886,0.45793062,"('exploitative', 'cooperative')",0.8292485,0.90886515,0.6867604,0.8531844,-0.04389097,0.01735802,0.4464867,0.5593346,-0.1128479
78,0.3110949,-0.060087975,"('nonresilient', 'resilient')",-0.5931723,-0.8060339,-0.31841582,-0.2778417,0.51261336,0.40791112,-0.02197,-0.1840131,0.1620431
71,0.30895457,0.27192432,"('diffident', 'self-confident')",0.5150459,0.47375286,1.6581264,1.7063444,0.078567795,-0.027147453,0.6401736,0.6062185,0.0339551
63,-0.29658905,-0.4900679,"('unperceptive', 'insightful')",0.1984523,0.10966569,-0.07114582,-0.19048062,0.5986259,0.45497563,0.1073358,-0.0289768,0.1363126
31,-0.27493188,-0.14571363,"('evil', 'good')",0.5850201,0.73910505,0.3773102,0.51325303,-1.7092851,-1.4905272,-0.2554717,-0.0959707,-0.159501
50,0.24587417,0.12596868,"('clumsy', 'skillful')",0.73418397,0.6172002,0.17174385,0.07943576,-0.065999195,-0.27810872,0.2714507,0.136124,0.1353267
24,-0.24507132,0.025738962,"('dishonest', 'honest')",-0.52604693,-0.3092302,0.7658788,0.754359,0.10942567,-0.12511212,0.0260465,0.0864389,-0.0603924
70,-0.233681,-0.27416486,"('lethargic', 'energetic')",-0.032882437,-0.14461027,-0.7456607,-0.90059084,0.06867288,-0.21349683,-0.2358878,-0.3832157,0.1473279
54,-0.21345356,-0.37500024,"('incapable', 'capable')",-0.34464887,-0.39974025,0.060113855,-0.068717375,0.16625513,0.023383066,-0.0829334,-0.2050187,0.1220853
56,0.1886616,-0.024617836,"('impractical', 'practical')",-0.3376093,-0.62860984,1.0309883,0.81791115,-0.15081796,-0.42266867,0.1828057,-0.0644963,0.247302
34,0.18136947,0.029170908,"('mean', 'honorable')",-0.5216158,-0.62722385,0.019476008,0.051918425,4.7751484,4.274223,1.1135945,0.9320221,0.1815724
61,-0.18136314,-0.17939003,"('illogical', 'logical')",-0.6811576,-0.6674051,0.036243342,0.13897672,0.53437656,0.53872216,-0.0729752,-0.0422741,-0.0307011
51,0.16230884,0.057081144,"('uneducated', 'educated')",0.6086393,0.5668227,-0.27356833,-0.21055919,0.6089038,0.47918254,0.2765709,0.2231318,0.0534391
72,-0.14380652,-0.19307874,"('unambitious', 'ambitious')",-0.19237454,-0.15260553,0.6442229,0.584127,-0.95937145,-1.105696,-0.1628324,-0.2168133,0.0539809
7,-0.14298972,-0.120977566,"('insensitive', 'sensitive')",-0.44713444,-0.46781206,0.18053609,0.22151354,0.21050501,0.042680416,-0.0497708,-0.0811489,0.0313781
84,0.13630281,0.12041291,"('inferior', 'superior')",-0.0058340095,0.07499519,0.48932838,0.57647145,1.04215,1.0725493,0.4154868,0.4611072,-0.0456204
46,-0.1348788,-0.23503147,"('uncompetitive', 'competitive')",-0.5519387,-0.5757134,-0.8031054,-0.70921206,-0.440617,-0.48322928,-0.482635,-0.5007966,0.0181616
47,0.13400903,0.064834684,"('stupid', 'smart')",-0.11178377,-0.277834,0.69490105,0.58182,4.2813206,3.7671185,1.2496117,1.0339848,0.2156269
17,-0.1314275,-0.06616912,"('nasty', 'nice')",0.09898647,0.05765669,-0.7511871,-0.7037852,-0.68350327,-0.56491464,-0.3667828,-0.3193031,-0.0474797
19,-0.12719354,-0.11202331,"('inhospitable', 'hospitable')",0.2927178,0.32417572,-0.5139557,-0.40991306,-0.8333707,-0.9322658,-0.2954505,-0.2825066,-0.0129439
16,-0.09346567,-0.08707536,"('unpopular', 'popular')",0.05933258,0.051324278,-0.3816025,-0.2806803,0.17230009,0.24690369,-0.0608589,-0.0173819,-0.043477
65,0.07400253,0.27163333,"('insecure', 'secure')",-0.39093718,-0.26751205,-0.5832071,-0.50275266,0.23602849,0.16389881,-0.1660283,-0.0836831,-0.0823452
32,-0.07319592,0.016647212,"('unkind', 'kind')",-0.60668904,-0.5655067,0.1035628,0.062091768,0.553701,0.26773,-0.0056553,-0.0547594,0.0491041
44,0.06496495,0.050588775,"('prejudiced', 'unprejudiced')",-0.026895322,0.033361517,-1.0726489,-1.102831,-1.3984107,-1.3532368,-0.6082475,-0.5930294,-0.0152181
40,-0.048437804,0.2721303,"('stingy', 'generous')",1.1407531,1.3317658,0.1152962,0.22623861,-2.3241665,-2.1464634,-0.2791387,-0.0790822,-0.2000565
64,0.020392297,0.26677904,"('shy', 'confident')",0.4465088,0.58348614,-0.4315126,-0.34132686,-5.3054466,-4.730887,-1.3175145,-1.0554872,-0.2620273
77,-0.00018338114,-0.13742179,"('unmotivated', 'motivated')",-0.5196805,-0.64803636,-0.69257843,-0.53273815,-1.1321988,-1.1171563,-0.5861603,-0.6088381,0.0226778
