,waste_male,waste_female,tuple,management_male,management_female,inc_male,inc_female,del_male,del_female,average_male,average_female,male-female
65,-2.5240526,-2.5611954,"('insecure', 'secure')",0.3982358,0.18313922,-0.7300507,-0.5650727,-1.2736295,-0.9298941,-1.0323743,-0.9682558,-0.0641185
55,-2.3559158,-2.5796647,"('incompetent', 'clever')",0.5185283,0.21002093,-0.050870676,0.16526426,-1.0682511,-0.73228204,-0.7391273,-0.7341653,-0.004962
49,-2.1068363,-2.137453,"('unable', 'able')",-0.5516568,-0.56046635,0.09544448,0.3114452,-0.17405511,-0.07658918,-0.6842759,-0.6157658,-0.0685101
50,-2.0776844,-2.1685104,"('clumsy', 'skillful')",0.32923806,0.27038896,-0.32999176,-0.3150857,1.0892988,0.7267151,-0.2472848,-0.371623,0.1243382
51,-2.0435674,-2.1505775,"('uneducated', 'educated')",-0.42367715,-0.6574838,1.0152239,1.1496563,0.023105592,0.0003812313,-0.3572288,-0.414506,0.0572772
33,2.0107875,1.9237524,"('wrong', 'right')",0.4225237,0.39541215,0.6511194,0.52024394,0.79409176,0.37820578,0.9696306,0.8044035,0.1652271
19,-1.8498647,-1.7735002,"('inhospitable', 'hospitable')",-1.6056525,-1.4992541,0.23106058,0.26289263,0.6646754,0.4586085,-0.6399453,-0.6378132,-0.0021321
68,-1.8253293,-1.9049441,"('dependent', 'independent')",0.8047493,0.6795993,0.6334528,0.58253455,-0.5485296,-0.67225397,-0.2339142,-0.328766,0.0948518
18,-1.7536745,-1.6613498,"('disagreeable', 'welcoming')",-0.76278687,-0.70670474,0.35296583,0.482067,-0.2754814,-0.12430599,-0.6097443,-0.5025734,-0.1071709
76,-1.7006501,-1.6263332,"('anxious', 'daring')",0.86364126,0.835138,-0.53400004,-0.02520834,-0.97865695,-0.5837786,-0.5874165,-0.3500456,-0.2373709
22,-1.6783024,-1.822962,"('untrustworthy', 'trustworthy')",0.5975845,0.4359907,0.3227851,0.3915336,-1.5776808,-1.2858156,-0.5839034,-0.5703133,-0.0135901
26,1.6327972,1.5188999,"('hardhearted', 'benevolent')",0.9569877,0.8662472,1.6505737,1.4412626,1.3295093,1.3321027,1.3924669,1.2896281,0.1028388
44,-1.5830727,-1.4576617,"('prejudiced', 'unprejudiced')",-0.3156889,-0.22490327,-0.5914928,-0.37027302,-1.6196162,-1.5404757,-1.0274676,-0.8983284,-0.1291392
82,-1.4644518,-1.5385584,"('poor', 'rich')",0.022008419,-0.044723753,0.3768731,0.65125775,7.0634217,7.2831993,1.4994628,1.5877937,-0.0883309
85,1.4266611,1.4423472,"('insignificant', 'prestigious')",-1.2250581,-1.1170831,0.025666421,-0.16886158,1.4213272,0.9413587,0.4121492,0.2744403,0.1377089
45,-1.3791248,-1.5420328,"('incompetent', 'competent')",0.3876128,0.11777456,-0.06670609,-0.15059441,-1.421857,-1.3361347,-0.6200187,-0.7277468,0.1077281
3,-1.360389,-1.3636876,"('repellent', 'pleasant')",0.25413185,0.16323835,-0.06298841,0.083966374,0.96206933,0.84058136,-0.0517941,-0.0689754,0.0171813
17,-1.3282819,-1.3135412,"('nasty', 'nice')",-0.8437848,-0.75979763,-0.7078259,-0.6104254,-1.3713096,-1.1336994,-1.0628005,-0.9543659,-0.1084346
16,-1.3156252,-1.4067991,"('unpopular', 'popular')",-0.89327705,-0.93880206,-0.4050947,-0.53596246,1.5920379,1.109891,-0.2554898,-0.4429182,0.1874284
