,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.7979039,1.0084316,-0.7894723000000001
1,"('unfriendly', 'friendly')",1.8351608,1.9593767,0.12421590000000005
2,"('unlikable', 'likable')",1.1017283,0.346847,-0.7548813
3,"('repellent', 'pleasant')",1.3216381,1.4308611,0.10922300000000007
4,"('disliked', 'liked')",-0.6207414,-0.080932,0.5398094
5,"('distant', 'outgoing')",0.1505429,0.3143696,0.16382670000000002
6,"('distant', 'open')",-0.022202,0.1945445,0.2167465
7,"('insensitive', 'sensitive')",2.1170565,2.0344005,-0.08265600000000006
8,"('unaffectionate', 'affectionate')",0.804112,1.0305329,0.22642090000000004
9,"('unaffectionate', 'caring')",0.8968681,1.2746012,0.37773310000000004
10,"('unsympathetic', 'sympathetic')",1.8707095,1.1774389,-0.6932706
11,"('unhelpful', 'helpful')",0.3779108,0.1280242,-0.2498866
12,"('unsupportive', 'supportive')",0.7285685,1.2976366,0.5690681
13,"('impolite', 'polite')",0.6867586,0.4005148,-0.2862438
14,"('antisocial', 'social')",0.2527816,0.6814469,0.42866529999999997
15,"('boring', 'funny')",0.6304024,0.4746068,-0.15579560000000003
16,"('unpopular', 'popular')",-0.2895712,-0.2783556,0.011215599999999992
17,"('nasty', 'nice')",-0.4352271,-0.1764701,0.258757
18,"('disagreeable', 'welcoming')",0.6715185,1.2695115,0.5979929999999999
19,"('inhospitable', 'hospitable')",0.2055319,0.047,-0.1585319
20,"('rough', 'thoughtful')",-0.2792613,-0.016847,0.2624143
21,"('immoral', 'moral')",1.3376464,0.5721145,-0.7655318999999999
22,"('untrustworthy', 'trustworthy')",1.2753241,1.2060335,-0.06929059999999998
23,"('insincere', 'sincere')",1.6177619,1.4006983,-0.21706360000000013
24,"('dishonest', 'honest')",1.7355881,1.4454945,-0.29009360000000006
25,"('egoistic', 'altruistic')",0.9222471,1.0469077,0.12466060000000001
26,"('hardhearted', 'benevolent')",0.3007054,0.7384205,0.4377151
27,"('hardhearted', 'softhearted')",0.9686172,1.6645257,0.6959085
28,"('disloyal', 'loyal')",-0.0156814,-0.2533998,-0.2377184
29,"('unfair', 'fair')",-0.7076703,-0.2822868,0.42538349999999997
30,"('intolerant', 'tolerant')",1.100649,0.8341012,-0.2665478
31,"('evil', 'good')",-0.8394887,-0.5655443,0.2739444
32,"('unkind', 'kind')",1.9628429,1.8776026,-0.08524030000000016
33,"('wrong', 'right')",-0.4343589,0.2166927,0.6510516
34,"('mean', 'honorable')",0.856058,0.4252335,-0.4308245
35,"('corrupt', 'incorrupt')",-2.479778,-1.9382913,0.5414867000000001
36,"('hostile', 'amicable')",-0.212534,0.1719912,0.3845252
37,"('fake', 'genuine')",0.8435631,0.7004832,-0.14307990000000004
38,"('untruthful', 'truthful')",-0.2622351,-0.1683528,0.0938823
39,"('exploitative', 'cooperative')",0.1757178,0.7697289,0.5940111
40,"('stingy', 'generous')",1.9583397,1.5393332,-0.41900650000000006
41,"('unforgiving', 'forgiving')",1.1945382,0.7898219,-0.40471630000000003
42,"('unreliable', 'reliable')",0.6451081,0.9187853,0.27367720000000006
43,"('irresponsible', 'responsible')",1.011802,0.9466954,-0.06510660000000013
44,"('prejudiced', 'unprejudiced')",-1.3860089,-1.6494139,-0.2634050000000001
