,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.909563,1.0016606,-0.9079024
1,"('unfriendly', 'friendly')",1.6587725,1.8780926,0.21932010000000002
2,"('unlikable', 'likable')",0.9624029,0.26506,-0.6973429
3,"('repellent', 'pleasant')",1.263331,1.3689981,0.10566710000000001
4,"('disliked', 'liked')",-0.5934886,-0.028394,0.5650946
5,"('distant', 'outgoing')",0.1137734,0.3546453,0.2408719
6,"('distant', 'open')",-0.0156218,0.310288,0.3259098
7,"('insensitive', 'sensitive')",1.9265259,1.8061216,-0.12040429999999991
8,"('unaffectionate', 'affectionate')",0.6945545,0.9405682,0.2460137
9,"('unaffectionate', 'caring')",0.7222634,1.0779545,0.3556910999999999
10,"('unsympathetic', 'sympathetic')",2.0123607,1.1724138,-0.8399468999999999
11,"('unhelpful', 'helpful')",0.3694348,0.0111008,-0.358334
12,"('unsupportive', 'supportive')",0.8118388,1.2067853,0.3949465
13,"('impolite', 'polite')",0.6264098,0.3434125,-0.2829973
14,"('antisocial', 'social')",0.2489319,0.5118017,0.26286980000000004
15,"('boring', 'funny')",0.7020702,0.4582133,-0.2438569
16,"('unpopular', 'popular')",-0.533101,-0.3293743,0.20372670000000004
17,"('nasty', 'nice')",-0.4304969,-0.1802933,0.2502036
18,"('disagreeable', 'welcoming')",0.5327527,1.1140493,0.5812966
19,"('inhospitable', 'hospitable')",-0.0774749,-0.0788586,-0.0013837000000000016
20,"('rough', 'thoughtful')",-0.2533389,-0.0141055,0.23923339999999998
21,"('immoral', 'moral')",1.3828687,0.5994673,-0.7834013999999999
22,"('untrustworthy', 'trustworthy')",1.2639865,1.0824372,-0.1815492999999999
23,"('insincere', 'sincere')",1.4069229,1.1356705,-0.27125240000000006
24,"('dishonest', 'honest')",1.6092454,1.3286438,-0.2806016
25,"('egoistic', 'altruistic')",0.8375966,1.0421486,0.20455199999999996
26,"('hardhearted', 'benevolent')",0.3304421,0.5931817,0.2627396
27,"('hardhearted', 'softhearted')",1.117002,1.7727509,0.6557488999999999
28,"('disloyal', 'loyal')",0.0727599,-0.2285938,-0.3013537
29,"('unfair', 'fair')",-0.4219504,-0.0089472,0.4130032
30,"('intolerant', 'tolerant')",0.9256169,0.5513291,-0.37428779999999995
31,"('evil', 'good')",-0.7289282,-0.4801816,0.24874660000000004
32,"('unkind', 'kind')",1.8706024,1.8399052,-0.03069720000000009
33,"('wrong', 'right')",-0.4730147,0.2227788,0.6957935
34,"('mean', 'honorable')",0.4878776,0.1742344,-0.3136432
35,"('corrupt', 'incorrupt')",-2.4449759,-1.687551,0.7574249000000002
36,"('hostile', 'amicable')",-0.3127666,0.2913553,0.6041219
37,"('fake', 'genuine')",0.9143427,0.7621873,-0.15215539999999994
38,"('untruthful', 'truthful')",-0.4122984,-0.3331499,0.07914850000000001
39,"('exploitative', 'cooperative')",-0.0993395,0.4663126,0.5656521
40,"('stingy', 'generous')",2.0607143,1.5665665,-0.4941477999999999
41,"('unforgiving', 'forgiving')",1.1254229,0.6053973,-0.5200256
42,"('unreliable', 'reliable')",0.9952865,1.2188294,0.2235429
43,"('irresponsible', 'responsible')",0.9231195,0.7487319,-0.17438759999999998
44,"('prejudiced', 'unprejudiced')",-1.4770397,-1.6036039,-0.12656420000000002
45,"('incompetent', 'competent')",1.0339888,0.8605531,-0.17343569999999997
46,"('uncompetitive', 'competitive')",0.9604021,0.6895878,-0.27081430000000006
47,"('stupid', 'smart')",1.1390644,0.8550657,-0.28399870000000005
48,"('unintelligent', 'intelligent')",1.0449116,0.6002803,-0.44463130000000006
49,"('unable', 'able')",-0.8145473,-0.2226844,0.5918629
50,"('clumsy', 'skillful')",-0.6962898,-0.3018693,0.39442049999999995
51,"('uneducated', 'educated')",1.3069031,1.1049853,-0.20191779999999993
52,"('irrational', 'rational')",-0.5756982,-0.3938095,0.18188870000000007
53,"('uncreative', 'creative')",0.6820244,0.9423616,0.26033720000000005
54,"('incapable', 'capable')",0.8879645,0.3452547,-0.5427098
55,"('incompetent', 'clever')",1.8481332,1.4394351,-0.40869809999999984
56,"('impractical', 'practical')",0.9195575,0.9624575,0.04289999999999994
57,"('unimaginative', 'imaginative')",1.3573875,0.8259795,-0.531408
58,"('undiscriminating', 'discriminating')",1.7663867,1.2073516,-0.5590351
59,"('foolish', 'wise')",-0.7489458,-0.5713935,0.1775523
60,"('inefficient', 'efficient')",0.9615046,0.9688673,0.007362699999999944
61,"('illogical', 'logical')",0.3823218,0.7432372,0.36091540000000005
62,"('incompetent', 'brilliant')",1.0718454,0.8422723,-0.22957309999999997
63,"('unperceptive', 'insightful')",1.2636517,0.9819003,-0.2817514000000001
64,"('shy', 'confident')",-0.3706346,-0.8235669,-0.4529323
65,"('insecure', 'secure')",1.4294273,0.5800657,-0.8493615999999999
66,"('inactive', 'active')",-1.2505088,-1.1573367,0.09317209999999987
67,"('doubtful', 'determined')",-0.9385034,-0.9007251,0.03777830000000004
68,"('dependent', 'independent')",-0.2851732,-0.047606,0.2375672
69,"('lazy', 'industrious')",-2.284081,-1.2770376,1.0070434
70,"('lethargic', 'energetic')",2.3971741,2.115283,-0.28189110000000017
71,"('diffident', 'self-confident')",-0.7119192,-0.4192753,0.29264389999999996
72,"('unambitious', 'ambitious')",0.9733278,0.2907514,-0.6825764
73,"('helpless', 'self-reliant')",0.5793248,0.56305,-0.016274799999999923
74,"('undedicated', 'dedicated')",1.0123588,1.7689235,0.7565647000000002
75,"('meek', 'impulsive')",-0.3761066,-0.7958849,-0.4197783
76,"('anxious', 'daring')",1.4220834,1.0123775,-0.40970590000000007
