,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.8033098,0.8317904,-0.9715194
1,"('unfriendly', 'friendly')",1.4966302,1.7180548,0.22142459999999997
2,"('unlikable', 'likable')",1.1435881,0.342413,-0.8011751
3,"('repellent', 'pleasant')",1.0566321,1.0880266,0.03139449999999999
4,"('disliked', 'liked')",-0.8436578,-0.3032273,0.5404305
5,"('distant', 'outgoing')",-0.0247951,0.382532,0.4073271
6,"('distant', 'open')",-0.3385477,0.1812285,0.5197762
7,"('insensitive', 'sensitive')",1.9110073,1.7531194,-0.15788789999999997
8,"('unaffectionate', 'affectionate')",0.5335307,0.9409248,0.4073941
9,"('unaffectionate', 'caring')",0.6566119,1.115493,0.45888110000000004
10,"('unsympathetic', 'sympathetic')",1.8912705,0.9846944,-0.9065761000000001
11,"('unhelpful', 'helpful')",0.6550531,0.2082926,-0.44676050000000006
12,"('unsupportive', 'supportive')",0.7458369,1.229939,0.48410209999999987
13,"('impolite', 'polite')",1.1359463,0.6486613,-0.4872850000000001
14,"('antisocial', 'social')",0.2775905,0.5111966,0.23360609999999998
15,"('boring', 'funny')",0.6489381,0.5511111,-0.097827
16,"('unpopular', 'popular')",-0.2608225,-0.2767324,-0.015909899999999977
17,"('nasty', 'nice')",-0.3706529,-0.0649701,0.30568280000000003
18,"('disagreeable', 'welcoming')",0.5313642,1.1432663,0.6119021000000001
19,"('inhospitable', 'hospitable')",0.1111431,0.087057,-0.0240861
20,"('rough', 'thoughtful')",-0.4698003,-0.1865713,0.283229
21,"('immoral', 'moral')",1.4254915,0.5180007,-0.9074907999999999
22,"('untrustworthy', 'trustworthy')",1.0321804,0.9105809,-0.12159950000000008
23,"('insincere', 'sincere')",1.7254576,1.3584024,-0.3670552
24,"('dishonest', 'honest')",1.5399619,1.2117929,-0.32816899999999993
25,"('egoistic', 'altruistic')",0.8593656,0.9899987,0.13063310000000006
26,"('hardhearted', 'benevolent')",0.2112477,0.664169,0.45292129999999997
27,"('hardhearted', 'softhearted')",0.7487686,1.5375068,0.7887382000000001
28,"('disloyal', 'loyal')",-0.2576639,-0.5202151,-0.26255120000000004
29,"('unfair', 'fair')",-0.945275,-0.4031935,0.5420815
30,"('intolerant', 'tolerant')",1.194994,0.7819558,-0.4130381999999999
31,"('evil', 'good')",-1.1358715,-0.8115586,0.3243128999999999
32,"('unkind', 'kind')",1.9057127,1.637502,-0.2682107
33,"('wrong', 'right')",-0.4810289,0.282508,0.7635369
34,"('mean', 'honorable')",0.6594282,0.2523249,-0.4071033
35,"('corrupt', 'incorrupt')",-2.7423154,-1.9079629,0.8343524999999998
36,"('hostile', 'amicable')",-0.6585244,-0.0189324,0.639592
37,"('fake', 'genuine')",0.7861402,0.6392575,-0.14688269999999992
38,"('untruthful', 'truthful')",-0.0504912,-0.0214743,0.029016899999999998
39,"('exploitative', 'cooperative')",0.0873407,0.6379557,0.5506150000000001
40,"('stingy', 'generous')",1.437122,0.9441011,-0.4930209
41,"('unforgiving', 'forgiving')",0.9827285,0.5033911,-0.4793374
42,"('unreliable', 'reliable')",0.647771,0.7999416,0.15217060000000004
43,"('irresponsible', 'responsible')",1.1437939,0.9963763,-0.14741759999999993
44,"('prejudiced', 'unprejudiced')",-1.3351053,-1.5085843,-0.17347900000000016
45,"('incompetent', 'competent')",0.8210264,0.720913,-0.10011340000000002
46,"('uncompetitive', 'competitive')",1.0177571,0.6748519,-0.34290520000000013
47,"('stupid', 'smart')",0.9512781,0.6036571,-0.34762100000000007
48,"('unintelligent', 'intelligent')",1.2043964,0.6569346,-0.5474618
49,"('unable', 'able')",-0.8067875,-0.1377044,0.6690830999999999
50,"('clumsy', 'skillful')",-0.6317782,-0.3054599,0.32631829999999995
51,"('uneducated', 'educated')",1.6107081,1.2043062,-0.4064019000000001
52,"('irrational', 'rational')",-0.6736627,-0.3892726,0.2843900999999999
53,"('uncreative', 'creative')",0.6590294,0.9350005,0.2759711
54,"('incapable', 'capable')",0.9303076,0.3860275,-0.5442800999999999
55,"('incompetent', 'clever')",1.6867868,1.3297094,-0.3570773999999999
