,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.3923946,0.6396335,-0.7527611000000001
1,"('unfriendly', 'friendly')",1.6182152,1.8057681,0.18755290000000002
2,"('unlikable', 'likable')",1.1178978,0.3553306,-0.7625671999999999
3,"('repellent', 'pleasant')",1.1180286,1.269043,0.1510144
4,"('disliked', 'liked')",-0.6483709,-0.1541476,0.4942233
5,"('distant', 'outgoing')",0.038282,0.3754737,0.33719170000000004
6,"('distant', 'open')",-0.0610518,0.3153474,0.3763992
7,"('insensitive', 'sensitive')",1.8376933,1.8192092,-0.018484100000000003
8,"('unaffectionate', 'affectionate')",0.8171716,1.0510513,0.2338796999999999
9,"('unaffectionate', 'caring')",0.8619039,1.2728517,0.4109478
10,"('unsympathetic', 'sympathetic')",2.0018126,1.2566905,-0.7451221000000001
11,"('unhelpful', 'helpful')",0.7545232,0.2815353,-0.47298789999999996
12,"('unsupportive', 'supportive')",0.666519,1.1567672,0.4902482
13,"('impolite', 'polite')",0.7272527,0.4282653,-0.29898739999999996
14,"('antisocial', 'social')",0.2387201,0.6201373,0.3814172
15,"('boring', 'funny')",0.5047322,0.3091611,-0.19557109999999994
16,"('unpopular', 'popular')",-0.3266787,-0.2734434,0.053235299999999985
17,"('nasty', 'nice')",-0.3641327,-0.1220352,0.24209749999999997
18,"('disagreeable', 'welcoming')",0.556681,1.1012595,0.5445785000000001
19,"('inhospitable', 'hospitable')",0.0575733,-0.0881465,-0.1457198
20,"('rough', 'thoughtful')",-0.4751308,-0.1921462,0.28298460000000003
21,"('immoral', 'moral')",1.4150183,0.625853,-0.7891653000000001
22,"('untrustworthy', 'trustworthy')",1.3259478,1.2878793,-0.03806850000000006
23,"('insincere', 'sincere')",1.6996123,1.4128174,-0.2867949000000001
24,"('dishonest', 'honest')",1.7603178,1.4478221,-0.31249569999999993
25,"('egoistic', 'altruistic')",0.8845199,1.0107511,0.1262312
26,"('hardhearted', 'benevolent')",0.4646485,0.8284451,0.3637966
27,"('hardhearted', 'softhearted')",0.6769218,1.3342612,0.6573394
28,"('disloyal', 'loyal')",0.031078,-0.3053953,-0.3364733
29,"('unfair', 'fair')",-0.8564899,-0.4239139,0.432576
30,"('intolerant', 'tolerant')",1.1533952,0.7798171,-0.3735781
31,"('evil', 'good')",-0.9914196,-0.639671,0.35174859999999997
32,"('unkind', 'kind')",2.0975574,1.8703434,-0.2272139999999998
33,"('wrong', 'right')",-0.5072075,0.1357439,0.6429514000000001
34,"('mean', 'honorable')",0.8136448,0.4167751,-0.39686969999999994
35,"('corrupt', 'incorrupt')",-2.5119674,-1.9372507,0.5747167
36,"('hostile', 'amicable')",-0.390638,0.1083568,0.49899479999999996
37,"('fake', 'genuine')",0.881486,0.7001081,-0.18137789999999998
38,"('untruthful', 'truthful')",0.0209551,0.0128913,-0.008063800000000001
39,"('exploitative', 'cooperative')",0.3889508,0.7898714,0.4009206
40,"('stingy', 'generous')",1.5659041,1.1433623,-0.4225418000000001
41,"('unforgiving', 'forgiving')",1.0391249,0.5648164,-0.4743085
42,"('unreliable', 'reliable')",0.9319498,1.0824359,0.15048609999999984
43,"('irresponsible', 'responsible')",1.1024479,0.9903725,-0.11207540000000005
44,"('prejudiced', 'unprejudiced')",-1.2859024,-1.5161712,-0.23026880000000016
45,"('incompetent', 'competent')",0.8618757,0.919617,0.057741299999999995
46,"('uncompetitive', 'competitive')",0.9173434,0.7193249,-0.1980185
47,"('stupid', 'smart')",1.1144336,0.8112241,-0.3032094999999999
48,"('unintelligent', 'intelligent')",0.9736086,0.5549495,-0.41865910000000006
49,"('unable', 'able')",-0.7713286,-0.0859833,0.6853453
50,"('clumsy', 'skillful')",-0.4413508,-0.2478865,0.19346429999999998
51,"('uneducated', 'educated')",1.5464794,1.2429228,-0.30355659999999984
52,"('irrational', 'rational')",-0.4045267,-0.3499814,0.05454530000000002
53,"('uncreative', 'creative')",0.754634,1.0017747,0.24714069999999988
54,"('incapable', 'capable')",1.0371288,0.4743561,-0.5627727
55,"('incompetent', 'clever')",1.6291705,1.4515434,-0.17762710000000004
56,"('impractical', 'practical')",0.794877,0.9499872,0.1551102000000001
57,"('unimaginative', 'imaginative')",1.1832781,0.7434915,-0.43978660000000014
58,"('undiscriminating', 'discriminating')",1.274661,0.8742093,-0.4004517000000001
59,"('foolish', 'wise')",-0.7689886,-0.7251587,0.04382989999999998
60,"('inefficient', 'efficient')",1.198114,1.3362052,0.13809120000000008
61,"('illogical', 'logical')",-0.0524898,0.3316491,0.38413889999999995
62,"('incompetent', 'brilliant')",1.0685815,1.0420486,-0.02653290000000008
63,"('unperceptive', 'insightful')",1.3187489,1.087863,-0.23088589999999987
64,"('shy', 'confident')",-0.455195,-0.9387384,-0.48354339999999996
65,"('insecure', 'secure')",1.2753481,0.3943719,-0.8809762
66,"('inactive', 'active')",-1.2171807,-1.2067923,0.010388399999999853
67,"('doubtful', 'determined')",-0.9870478,-0.9317349,0.0553129
68,"('dependent', 'independent')",-0.533321,-0.2972645,0.23605650000000006
69,"('lazy', 'industrious')",-2.2583143,-1.3380469,0.9202674
70,"('lethargic', 'energetic')",2.3758706,2.2141093,-0.16176129999999977
71,"('diffident', 'self-confident')",-0.7828817,-0.4350833,0.3477984
72,"('unambitious', 'ambitious')",1.0915004,0.5403735,-0.5511269
73,"('helpless', 'self-reliant')",0.5041797,0.4754502,-0.02872950000000002
74,"('undedicated', 'dedicated')",0.8687894,1.7369332,0.8681437999999999
75,"('meek', 'impulsive')",-0.0509104,-0.5992999,-0.5483895
76,"('anxious', 'daring')",1.6384222,1.199196,-0.4392262
77,"('unmotivated', 'motivated')",0.0560275,-0.393913,-0.4499405
78,"('nonresilient', 'resilient')",-0.9165535,-0.3694116,0.5471419
79,"('wavering', 'unwavering')",-0.0300116,-0.2023523,-0.1723407
80,"('dominated', 'dominating')",-0.2738514,-0.6141197,-0.3402683
81,"('submissive', 'aggressive')",2.2117416,0.4072399,-1.8045016999999999
