,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.6304361,0.7975934,-0.8328427
1,"('unfriendly', 'friendly')",2.0941508,2.2207716,0.12662079999999998
2,"('unlikable', 'likable')",0.9361493,0.1522885,-0.7838608
3,"('repellent', 'pleasant')",1.1799783,1.2755408,0.0955625
4,"('disliked', 'liked')",-0.479849,0.0407112,0.5205602
5,"('distant', 'outgoing')",0.376719,0.5914091,0.2146901
6,"('distant', 'open')",0.2336544,0.5451456,0.31149119999999997
7,"('insensitive', 'sensitive')",2.0478353,1.8960527,-0.1517826
8,"('unaffectionate', 'affectionate')",0.9076195,1.0983501,0.19073059999999997
9,"('unaffectionate', 'caring')",1.0112895,1.3232691,0.31197960000000013
10,"('unsympathetic', 'sympathetic')",1.7641843,0.9699831,-0.7942011999999999
11,"('unhelpful', 'helpful')",0.4068566,0.0454634,-0.3613932
12,"('unsupportive', 'supportive')",0.7675933,1.1977335,0.4301402
13,"('impolite', 'polite')",0.5423758,0.2022251,-0.3401507
14,"('antisocial', 'social')",-0.0047484,0.3233658,0.32811419999999997
15,"('boring', 'funny')",0.8123085,0.573573,-0.2387355
16,"('unpopular', 'popular')",-0.288006,-0.2094869,0.07851909999999998
17,"('nasty', 'nice')",-0.4248954,-0.1177244,0.30717099999999997
18,"('disagreeable', 'welcoming')",0.6013081,1.1763964,0.5750883
19,"('inhospitable', 'hospitable')",0.3600924,0.2060564,-0.15403599999999998
20,"('rough', 'thoughtful')",-0.5217547,-0.2754233,0.24633140000000003
21,"('immoral', 'moral')",1.1890968,0.3541248,-0.8349719999999999
22,"('untrustworthy', 'trustworthy')",1.172092,1.065862,-0.10622999999999982
23,"('insincere', 'sincere')",1.5041701,1.1953553,-0.30881480000000017
24,"('dishonest', 'honest')",1.8214681,1.4835622,-0.3379059
25,"('egoistic', 'altruistic')",1.0532525,1.2216859,0.16843340000000007
26,"('hardhearted', 'benevolent')",0.3151937,0.6600709,0.3448772
27,"('hardhearted', 'softhearted')",1.1193495,1.7780951,0.6587456
28,"('disloyal', 'loyal')",-0.1004474,-0.4265739,-0.3261265
29,"('unfair', 'fair')",-0.5645779,-0.1831951,0.38138279999999997
