,Value_Male,0,1,Value_Female,female-male,tuple
0,1.9849756,unsociable,sociable,0.8958932,-1.0890824,"('unsociable', 'sociable')"
1,2.4020545,unfriendly,friendly,2.3083398,-0.093714714,"('unfriendly', 'friendly')"
2,1.004474,unlikable,likable,0.007973305,-0.99650073,"('unlikable', 'likable')"
3,1.3815277,repellent,pleasant,1.2531004,-0.12842727,"('repellent', 'pleasant')"
4,-0.4500668,disliked,liked,0.033450983,0.4835178,"('disliked', 'liked')"
5,0.41443598,distant,outgoing,0.5514379,0.13700193,"('distant', 'outgoing')"
6,0.27210003,distant,open,0.44741872,0.17531869,"('distant', 'open')"
7,2.3730195,insensitive,sensitive,2.1813154,-0.19170403,"('insensitive', 'sensitive')"
8,0.8742653,unaffectionate,affectionate,0.8909419,0.016676605,"('unaffectionate', 'affectionate')"
9,1.3113927,unaffectionate,caring,1.4456768,0.13428414,"('unaffectionate', 'caring')"
10,1.8167135,unsympathetic,sympathetic,0.95632666,-0.8603868,"('unsympathetic', 'sympathetic')"
11,0.26570007,unhelpful,helpful,-0.10451569,-0.37021577,"('unhelpful', 'helpful')"
12,1.0142785,unsupportive,supportive,1.4560907,0.44181216,"('unsupportive', 'supportive')"
13,0.6205156,impolite,polite,0.14924808,-0.47126752,"('impolite', 'polite')"
14,0.13041851,antisocial,social,0.53422445,0.40380594,"('antisocial', 'social')"
15,0.69996136,boring,funny,0.41507524,-0.28488612,"('boring', 'funny')"
16,-0.37500098,unpopular,popular,-0.5098979,-0.1348969,"('unpopular', 'popular')"
17,-0.6222824,nasty,nice,-0.5377287,0.08455366,"('nasty', 'nice')"
18,0.49753085,disagreeable,welcoming,0.97767866,0.4801478,"('disagreeable', 'welcoming')"
19,0.34195185,inhospitable,hospitable,0.2533808,-0.08857104,"('inhospitable', 'hospitable')"
20,-0.15352646,rough,thoughtful,0.21499689,0.36852336,"('rough', 'thoughtful')"
21,1.309335,immoral,moral,0.4988786,-0.8104564,"('immoral', 'moral')"
22,1.3714716,untrustworthy,trustworthy,1.3830466,0.011574984,"('untrustworthy', 'trustworthy')"
23,1.6315315,insincere,sincere,1.2950604,-0.33647108,"('insincere', 'sincere')"
24,2.2098675,dishonest,honest,1.8545346,-0.35533285,"('dishonest', 'honest')"
25,1.2867266,egoistic,altruistic,1.2130729,-0.0736537,"('egoistic', 'altruistic')"
26,0.5195438,hardhearted,benevolent,0.80159855,0.28205472,"('hardhearted', 'benevolent')"
27,1.0921166,hardhearted,softhearted,1.8166234,0.72450686,"('hardhearted', 'softhearted')"
28,0.023150742,disloyal,loyal,-0.3781204,-0.40127113,"('disloyal', 'loyal')"
29,-0.8022578,unfair,fair,-0.2613993,0.5408585,"('unfair', 'fair')"
30,1.0804975,intolerant,tolerant,0.7043427,-0.37615478,"('intolerant', 'tolerant')"
31,-0.76224846,evil,good,-0.5126176,0.24963087,"('evil', 'good')"
32,1.85034,unkind,kind,1.5993476,-0.25099242,"('unkind', 'kind')"
33,0.15176497,wrong,right,0.69200295,0.54023796,"('wrong', 'right')"
34,0.81081665,mean,honorable,0.20908305,-0.60173357,"('mean', 'honorable')"
35,-2.2511168,corrupt,incorrupt,-1.59378,0.6573367,"('corrupt', 'incorrupt')"
36,-0.20083776,hostile,amicable,0.11865162,0.3194894,"('hostile', 'amicable')"
37,1.0388813,fake,genuine,1.0125326,-0.02634871,"('fake', 'genuine')"
38,-0.001703389,untruthful,truthful,-0.10510343,-0.103400044,"('untruthful', 'truthful')"
39,0.41744107,exploitative,cooperative,1.0044591,0.5870181,"('exploitative', 'cooperative')"
40,2.0416431,stingy,generous,1.6458936,-0.39574957,"('stingy', 'generous')"
41,1.2501436,unforgiving,forgiving,0.5944188,-0.6557248,"('unforgiving', 'forgiving')"
42,0.52760994,unreliable,reliable,0.778336,0.25072604,"('unreliable', 'reliable')"
43,1.1304457,irresponsible,responsible,0.95730305,-0.17314267,"('irresponsible', 'responsible')"
44,-1.6468269,prejudiced,unprejudiced,-1.7263865,-0.079559684,"('prejudiced', 'unprejudiced')"
45,1.3538985,incompetent,competent,1.2130176,-0.14088094,"('incompetent', 'competent')"
46,0.88242716,uncompetitive,competitive,0.60543305,-0.2769941,"('uncompetitive', 'competitive')"
47,0.94181824,stupid,smart,0.5591169,-0.38270134,"('stupid', 'smart')"
48,1.0002621,unintelligent,intelligent,0.3829499,-0.61731225,"('unintelligent', 'intelligent')"
49,-0.730229,unable,able,-0.24162737,0.48860165,"('unable', 'able')"
50,-1.0499837,clumsy,skillful,-0.7503187,0.29966503,"('clumsy', 'skillful')"
51,1.2625986,uneducated,educated,1.069255,-0.19334364,"('uneducated', 'educated')"
52,-0.49316603,irrational,rational,-0.34604618,0.14711985,"('irrational', 'rational')"
53,1.090305,uncreative,creative,1.0857388,-0.0045661926,"('uncreative', 'creative')"
54,0.84387666,incapable,capable,0.22270581,-0.6211709,"('incapable', 'capable')"
55,1.6880751,incompetent,clever,1.3335564,-0.35451865,"('incompetent', 'clever')"
56,1.1155378,impractical,practical,1.0594361,-0.05610168,"('impractical', 'practical')"
57,1.3396883,unimaginative,imaginative,0.7859266,-0.5537617,"('unimaginative', 'imaginative')"
58,1.4287016,undiscriminating,discriminating,1.0535932,-0.37510848,"('undiscriminating', 'discriminating')"
