,Value_Male,0,1,Value_Female,female-male,tuple
0,1.8104318,unsociable,sociable,0.79685575,-1.013576,"('unsociable', 'sociable')"
1,1.6264646,unfriendly,friendly,1.962549,0.33608437,"('unfriendly', 'friendly')"
2,1.22185,unlikable,likable,0.1859063,-1.0359437,"('unlikable', 'likable')"
3,1.2215405,repellent,pleasant,1.116605,-0.10493541,"('repellent', 'pleasant')"
4,-0.84403723,disliked,liked,-0.23056899,0.6134682,"('disliked', 'liked')"
5,-0.34159058,distant,outgoing,0.19052555,0.5321161,"('distant', 'outgoing')"
6,-0.4251798,distant,open,0.09309077,0.5182706,"('distant', 'open')"
7,2.2315958,insensitive,sensitive,2.187778,-0.04381776,"('insensitive', 'sensitive')"
8,0.3670184,unaffectionate,affectionate,0.626171,0.2591526,"('unaffectionate', 'affectionate')"
9,0.5750205,unaffectionate,caring,1.0851005,0.51008004,"('unaffectionate', 'caring')"
10,1.84551,unsympathetic,sympathetic,1.1214435,-0.7240665,"('unsympathetic', 'sympathetic')"
11,0.24824351,unhelpful,helpful,-0.018011883,-0.26625538,"('unhelpful', 'helpful')"
12,0.7326293,unsupportive,supportive,1.2721322,0.53950286,"('unsupportive', 'supportive')"
13,0.7515079,impolite,polite,0.31329575,-0.43821213,"('impolite', 'polite')"
14,0.56779224,antisocial,social,0.7377456,0.16995335,"('antisocial', 'social')"
15,0.55445665,boring,funny,0.29960352,-0.25485313,"('boring', 'funny')"
16,-0.51858944,unpopular,popular,-0.40288705,0.11570239,"('unpopular', 'popular')"
17,-0.75385624,nasty,nice,-0.571479,0.18237722,"('nasty', 'nice')"
18,0.71989435,disagreeable,welcoming,1.1365607,0.41666633,"('disagreeable', 'welcoming')"
19,-0.0064739957,inhospitable,hospitable,-0.013976667,-0.0075026713,"('inhospitable', 'hospitable')"
20,0.25075296,rough,thoughtful,0.53969085,0.2889379,"('rough', 'thoughtful')"
21,1.626328,immoral,moral,0.8172416,-0.8090864,"('immoral', 'moral')"
22,1.7252856,untrustworthy,trustworthy,1.5370111,-0.1882745,"('untrustworthy', 'trustworthy')"
23,1.7124066,insincere,sincere,1.4087273,-0.30367935,"('insincere', 'sincere')"
24,2.0737965,dishonest,honest,1.6492214,-0.4245751,"('dishonest', 'honest')"
25,1.1771706,egoistic,altruistic,1.1081779,-0.068992734,"('egoistic', 'altruistic')"
26,0.5097647,hardhearted,benevolent,0.88105047,0.3712858,"('hardhearted', 'benevolent')"
27,0.93350124,hardhearted,softhearted,1.4956301,0.5621289,"('hardhearted', 'softhearted')"
28,-0.18793443,disloyal,loyal,-0.42734712,-0.2394127,"('disloyal', 'loyal')"
29,-0.7689748,unfair,fair,-0.38359568,0.3853791,"('unfair', 'fair')"
30,1.0015444,intolerant,tolerant,0.4752357,-0.52630866,"('intolerant', 'tolerant')"
31,-1.0486397,evil,good,-0.74564165,0.302998,"('evil', 'good')"
32,1.6699317,unkind,kind,1.6260523,-0.04387939,"('unkind', 'kind')"
33,0.06996301,wrong,right,0.58537304,0.51541007,"('wrong', 'right')"
34,0.70074564,mean,honorable,0.10678406,-0.5939616,"('mean', 'honorable')"
35,-2.2958806,corrupt,incorrupt,-1.6107266,0.68515396,"('corrupt', 'incorrupt')"
36,-0.47230893,hostile,amicable,-0.05531553,0.4169934,"('hostile', 'amicable')"
37,0.5703736,fake,genuine,0.60862815,0.03825456,"('fake', 'genuine')"
38,-0.51675373,untruthful,truthful,-0.35686976,0.15988398,"('untruthful', 'truthful')"
39,0.58007735,exploitative,cooperative,1.1453829,0.56530553,"('exploitative', 'cooperative')"
40,1.8264654,stingy,generous,1.3858289,-0.44063652,"('stingy', 'generous')"
41,1.0705745,unforgiving,forgiving,0.43952,-0.6310545,"('unforgiving', 'forgiving')"
42,0.79254174,unreliable,reliable,1.0391393,0.24659753,"('unreliable', 'reliable')"
43,0.87175614,irresponsible,responsible,0.8837365,0.011980355,"('irresponsible', 'responsible')"
44,-1.25418,prejudiced,unprejudiced,-1.346207,-0.09202707,"('prejudiced', 'unprejudiced')"
45,1.0437021,incompetent,competent,0.972119,-0.07158315,"('incompetent', 'competent')"
46,1.2301172,uncompetitive,competitive,0.827625,-0.40249223,"('uncompetitive', 'competitive')"
47,1.3238842,stupid,smart,0.73303044,-0.5908538,"('stupid', 'smart')"
48,0.90784043,unintelligent,intelligent,0.4714254,-0.43641502,"('unintelligent', 'intelligent')"
49,-0.51924825,unable,able,-0.13070773,0.3885405,"('unable', 'able')"
50,-1.007633,clumsy,skillful,-0.6342783,0.37335467,"('clumsy', 'skillful')"
51,1.4461377,uneducated,educated,1.113386,-0.33275163,"('uneducated', 'educated')"
52,-0.464788,irrational,rational,-0.38073274,0.084055245,"('irrational', 'rational')"
53,0.75424767,uncreative,creative,1.0266199,0.27237225,"('uncreative', 'creative')"
54,0.8545822,incapable,capable,0.4844147,-0.3701675,"('incapable', 'capable')"
55,2.203224,incompetent,clever,1.6481453,-0.5550786,"('incompetent', 'clever')"
56,0.77590173,impractical,practical,0.9617364,0.18583465,"('impractical', 'practical')"
57,1.1646845,unimaginative,imaginative,0.7615983,-0.40308625,"('unimaginative', 'imaginative')"
58,1.153464,undiscriminating,discriminating,0.74157953,-0.41188443,"('undiscriminating', 'discriminating')"
59,-1.0197816,foolish,wise,-0.784684,0.23509759,"('foolish', 'wise')"
60,1.3615377,inefficient,efficient,1.3503705,-0.011167169,"('inefficient', 'efficient')"
61,0.24236277,illogical,logical,0.4143214,0.17195863,"('illogical', 'logical')"
62,1.3371711,incompetent,brilliant,1.2242256,-0.11294544,"('incompetent', 'brilliant')"
63,1.0931544,unperceptive,insightful,0.9525655,-0.14058894,"('unperceptive', 'insightful')"
64,-0.60303015,shy,confident,-1.0769155,-0.47388536,"('shy', 'confident')"
65,1.723607,insecure,secure,0.81825954,-0.9053474,"('insecure', 'secure')"
66,-1.6971375,inactive,active,-1.4220564,0.27508104,"('inactive', 'active')"
67,-1.5131508,doubtful,determined,-1.2766296,0.23652124,"('doubtful', 'determined')"
68,-0.8199346,dependent,independent,-0.5997889,0.2201457,"('dependent', 'independent')"
69,-1.9768865,lazy,industrious,-1.0961351,0.8807514,"('lazy', 'industrious')"
70,2.02309,lethargic,energetic,1.9834548,-0.039635062,"('lethargic', 'energetic')"
71,-0.6823194,diffident,self-confident,-0.3265363,0.3557831,"('diffident', 'self-confident')"
72,0.8476624,unambitious,ambitious,0.42874965,-0.41891274,"('unambitious', 'ambitious')"
73,0.32042167,helpless,self-reliant,0.37251335,0.052091688,"('helpless', 'self-reliant')"
74,0.86008734,undedicated,dedicated,1.591143,0.7310557,"('undedicated', 'dedicated')"
75,-0.86203295,meek,impulsive,-1.2758157,-0.41378278,"('meek', 'impulsive')"
76,1.3718737,anxious,daring,0.87807006,-0.49380368,"('anxious', 'daring')"
77,0.39238304,unmotivated,motivated,-0.13515325,-0.5275363,"('unmotivated', 'motivated')"
78,-0.7313829,nonresilient,resilient,-0.09535259,0.6360303,"('nonresilient', 'resilient')"
79,-0.9109151,wavering,unwavering,-0.8919273,0.018987775,"('wavering', 'unwavering')"
80,0.06496468,dominated,dominating,-0.1982647,-0.26322937,"('dominated', 'dominating')"
81,1.855959,submissive,aggressive,0.1705128,-1.6854463,"('submissive', 'aggressive')"
82,1.7363476,poor,rich,0.99661666,-0.7397309,"('poor', 'rich')"
83,-0.68082196,powerless,powerful,-0.7078547,-0.027032733,"('powerless', 'powerful')"
84,-0.06778323,inferior,superior,-0.50368464,-0.4359014,"('inferior', 'superior')"
85,-0.8355105,insignificant,prestigious,-0.628038,0.2074725,"('insignificant', 'prestigious')"
86,0.92298305,uninfluential,influential,0.9298264,0.0068433285,"('uninfluential', 'influential')"
87,0.14841819,unsuccessful,successful,0.07818975,-0.070228435,"('unsuccessful', 'successful')"
88,0.39642882,low,eminent,0.37336323,-0.023065597,"('low', 'eminent')"
