,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.7990935,0.9543609,-0.8447326
1,"('unfriendly', 'friendly')",1.6701923,1.8845001,0.21430779999999983
2,"('unlikable', 'likable')",0.9519175,0.2400069,-0.7119106
3,"('repellent', 'pleasant')",1.1912641,1.3307972,0.13953309999999997
4,"('disliked', 'liked')",-0.5259267,0.0092387,0.5351654
5,"('distant', 'outgoing')",0.20199,0.3997203,0.19773029999999997
6,"('distant', 'open')",0.0849659,0.364004,0.2790381
7,"('insensitive', 'sensitive')",1.7587462,1.6934947,-0.06525150000000002
8,"('unaffectionate', 'affectionate')",0.6771206,0.9605146,0.28339400000000003
9,"('unaffectionate', 'caring')",0.6751883,1.0733169,0.39812860000000005
10,"('unsympathetic', 'sympathetic')",1.7061266,1.0156768,-0.6904497999999999
11,"('unhelpful', 'helpful')",0.1901439,-0.0699908,-0.2601347
12,"('unsupportive', 'supportive')",0.780052,1.1740137,0.39396169999999997
13,"('impolite', 'polite')",0.4695308,0.2326596,-0.23687120000000003
14,"('antisocial', 'social')",0.1141796,0.4280669,0.3138873
15,"('boring', 'funny')",0.6700385,0.4839205,-0.186118
16,"('unpopular', 'popular')",-0.4333738,-0.2572649,0.17610889999999996
17,"('nasty', 'nice')",-0.5382876,-0.2460236,0.29226399999999997
18,"('disagreeable', 'welcoming')",0.5800745,1.062278,0.4822035
19,"('inhospitable', 'hospitable')",-0.0373782,-0.0948139,-0.057435700000000006
20,"('rough', 'thoughtful')",-0.2975463,0.0362463,0.3337926
21,"('immoral', 'moral')",1.2099409,0.4871278,-0.7228131000000001
22,"('untrustworthy', 'trustworthy')",1.0782281,0.9339927,-0.1442354
23,"('insincere', 'sincere')",1.3605163,1.1289392,-0.23157709999999998
24,"('dishonest', 'honest')",1.393642,1.1709387,-0.22270330000000005
25,"('egoistic', 'altruistic')",0.8677073,1.0334946,0.16578730000000008
26,"('hardhearted', 'benevolent')",0.2326868,0.5573932,0.32470640000000006
27,"('hardhearted', 'softhearted')",1.0909286,1.7606184,0.6696898
28,"('disloyal', 'loyal')",-0.0567063,-0.2935467,-0.2368404
29,"('unfair', 'fair')",-0.3326272,0.0753314,0.4079586
30,"('intolerant', 'tolerant')",0.8640718,0.540315,-0.32375679999999996
31,"('evil', 'good')",-0.4757185,-0.3707363,0.10498219999999997
32,"('unkind', 'kind')",1.741079,1.7723817,0.031302699999999906
33,"('wrong', 'right')",-0.4482816,0.2165929,0.6648745
34,"('mean', 'honorable')",0.4704597,0.1410068,-0.3294529
35,"('corrupt', 'incorrupt')",-2.4061422,-1.6578342,0.7483080000000002
36,"('hostile', 'amicable')",-0.3241047,0.2585876,0.5826922999999999
37,"('fake', 'genuine')",0.7943303,0.7334575,-0.06087280000000006
