,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.4470131,0.55594,-0.8910731
1,"('unfriendly', 'friendly')",1.487094,1.5956262,0.10853220000000019
2,"('unlikable', 'likable')",0.6280531,-0.15335,-0.7814031
3,"('repellent', 'pleasant')",0.8296819,0.9898268,0.16014490000000003
4,"('disliked', 'liked')",-0.7955901,-0.2018418,0.5937483
5,"('distant', 'outgoing')",0.1126785,0.2243861,0.1117076
6,"('distant', 'open')",-0.1051787,0.0760367,0.1812154
7,"('insensitive', 'sensitive')",1.3899548,1.4144219,0.024467100000000075
8,"('unaffectionate', 'affectionate')",0.5208775,0.6202237,0.09934620000000005
9,"('unaffectionate', 'caring')",0.3740097,0.7047777,0.33076799999999995
10,"('unsympathetic', 'sympathetic')",1.4512269,0.7086916,-0.7425353
11,"('unhelpful', 'helpful')",0.517787,0.0162757,-0.5015113
12,"('unsupportive', 'supportive')",0.4598834,0.9503477,0.4904643
13,"('impolite', 'polite')",0.4449832,0.2301248,-0.21485840000000003
14,"('antisocial', 'social')",0.221076,0.7420057,0.5209296999999999
15,"('boring', 'funny')",0.9819395,0.5869563,-0.3949832
16,"('unpopular', 'popular')",-0.8515379,-0.7593841,0.09215379999999995
17,"('nasty', 'nice')",-0.5108372,-0.2770444,0.23379279999999997
18,"('disagreeable', 'welcoming')",0.3786882,0.9418569,0.5631687000000001
19,"('inhospitable', 'hospitable')",-0.0354818,-0.112983,-0.07750119999999999
20,"('rough', 'thoughtful')",0.0235329,0.3693998,0.3458669
21,"('immoral', 'moral')",1.2125786,0.6328335,-0.5797451
22,"('untrustworthy', 'trustworthy')",1.1104751,1.1128332,0.0023581000000001406
23,"('insincere', 'sincere')",1.3840541,1.11761,-0.26644409999999996
24,"('dishonest', 'honest')",1.4884061,1.2598225,-0.2285835999999999
25,"('egoistic', 'altruistic')",0.7759708,0.8362898,0.06031900000000001
26,"('hardhearted', 'benevolent')",0.6439865,0.9893927,0.3454062
27,"('hardhearted', 'softhearted')",0.9618789,1.5179117,0.5560328
28,"('disloyal', 'loyal')",-0.153987,-0.483598,-0.329611
29,"('unfair', 'fair')",-0.5481325,-0.1027677,0.4453648
30,"('intolerant', 'tolerant')",1.0712036,0.6827595,-0.38844410000000007
31,"('evil', 'good')",-0.6556394,-0.4866807,0.16895869999999996
32,"('unkind', 'kind')",1.4584976,1.4512684,-0.007229200000000047
33,"('wrong', 'right')",-0.3490445,0.3534266,0.7024710999999999
34,"('mean', 'honorable')",0.5452518,0.1134994,-0.4317523999999999
35,"('corrupt', 'incorrupt')",-2.2036404,-1.5495023,0.6541380999999997
36,"('hostile', 'amicable')",-0.2944593,0.1145533,0.40901259999999995
37,"('fake', 'genuine')",1.0938386,0.946626,-0.14721260000000003
38,"('untruthful', 'truthful')",-0.3202123,-0.3394434,-0.0192311
39,"('exploitative', 'cooperative')",0.1304587,0.8271619,0.6967032
40,"('stingy', 'generous')",1.6328534,1.1141163,-0.5187370999999998
41,"('unforgiving', 'forgiving')",1.0856096,0.4742511,-0.6113584999999999
42,"('unreliable', 'reliable')",0.597256,0.9228925,0.3256365
43,"('irresponsible', 'responsible')",0.8338782,0.7762507,-0.057627500000000054
44,"('prejudiced', 'unprejudiced')",-0.9498951,-1.1758972,-0.2260021000000001
45,"('incompetent', 'competent')",0.8863457,0.8305443,-0.0558014
46,"('uncompetitive', 'competitive')",0.556806,0.4655325,-0.09127350000000001
47,"('stupid', 'smart')",0.9273659,0.592872,-0.3344939
48,"('unintelligent', 'intelligent')",1.1499701,0.6866756,-0.46329449999999994
49,"('unable', 'able')",-1.0514261,-0.4445744,0.6068517
50,"('clumsy', 'skillful')",-0.734162,-0.470958,0.263204
51,"('uneducated', 'educated')",1.18031,1.013751,-0.1665589999999999
52,"('irrational', 'rational')",-0.4107049,-0.3800203,0.030684600000000006
53,"('uncreative', 'creative')",0.5819978,0.8597984,0.27780059999999995
54,"('incapable', 'capable')",0.5702659,0.0591398,-0.5111261
55,"('incompetent', 'clever')",1.7454306,1.445651,-0.2997795999999999
56,"('impractical', 'practical')",0.8254452,1.0313744,0.20592920000000003
57,"('unimaginative', 'imaginative')",1.3289436,0.7896109,-0.5393326999999999
58,"('undiscriminating', 'discriminating')",1.5219432,0.9916857,-0.5302574999999999
59,"('foolish', 'wise')",-0.8875472,-0.8222075,0.0653397
60,"('inefficient', 'efficient')",1.1012877,1.288403,0.18711529999999987
61,"('illogical', 'logical')",-0.0545008,0.399461,0.4539618
62,"('incompetent', 'brilliant')",0.9254987,0.8590543,-0.06644439999999996
63,"('unperceptive', 'insightful')",0.9765791,0.7220251,-0.25455400000000006
64,"('shy', 'confident')",-0.6260714,-0.9452092,-0.3191378
65,"('insecure', 'secure')",1.3656235,0.5766702,-0.7889533000000001
66,"('inactive', 'active')",-1.695425,-1.7144922,-0.019067200000000062
67,"('doubtful', 'determined')",-0.9948113,-0.8656469,0.12916439999999996
68,"('dependent', 'independent')",-0.6721753,-0.2978146,0.37436070000000005
69,"('lazy', 'industrious')",-2.3024504,-1.3098865,0.9925639000000002
70,"('lethargic', 'energetic')",1.9965597,1.9267733,-0.06978639999999992
71,"('diffident', 'self-confident')",-0.9913678,-0.7548485,0.2365193
72,"('unambitious', 'ambitious')",0.9366161,0.3798938,-0.5567222999999999
73,"('helpless', 'self-reliant')",0.5888187,0.6646869,0.07586819999999994
74,"('undedicated', 'dedicated')",0.6859864,1.5393226,0.8533362
75,"('meek', 'impulsive')",-0.178652,-0.7537598,-0.5751078
76,"('anxious', 'daring')",1.6308516,1.2034769,-0.4273746999999999
77,"('unmotivated', 'motivated')",-0.0669845,-0.4767033,-0.4097188
78,"('nonresilient', 'resilient')",-1.0996701,-0.60842,0.4912501
79,"('wavering', 'unwavering')",-0.1249454,-0.3300294,-0.205084
80,"('dominated', 'dominating')",-0.1552049,-0.3991403,-0.2439354
81,"('submissive', 'aggressive')",1.8991816,0.2216011,-1.6775805
82,"('poor', 'rich')",1.544982,0.9833964,-0.5615856000000001
83,"('powerless', 'powerful')",-0.7143823,-0.6778067,0.03657560000000004
