,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.5541336,0.5872029,-0.9669306999999999
1,"('unfriendly', 'friendly')",1.4856471,1.6547652,0.16911809999999994
2,"('unlikable', 'likable')",0.6598278,-0.0368229,-0.6966507
3,"('repellent', 'pleasant')",1.2642412,1.1332827,-0.13095849999999998
4,"('disliked', 'liked')",-0.7824314,-0.1223545,0.6600769
5,"('distant', 'outgoing')",-0.044569,0.3532038,0.39777280000000004
6,"('distant', 'open')",-0.2762856,0.1775172,0.45380280000000006
7,"('insensitive', 'sensitive')",1.6609396,1.4568838,-0.20405580000000012
8,"('unaffectionate', 'affectionate')",0.7041841,0.9278001,0.22361600000000004
9,"('unaffectionate', 'caring')",0.6925611,1.0518989,0.35933780000000004
10,"('unsympathetic', 'sympathetic')",1.9142874,0.9123179,-1.0019695
11,"('unhelpful', 'helpful')",0.8569032,0.1899892,-0.666914
12,"('unsupportive', 'supportive')",0.5323665,1.0485355,0.5161690000000001
13,"('impolite', 'polite')",0.7493225,0.2485845,-0.500738
14,"('antisocial', 'social')",0.3931454,0.6946642,0.3015188
15,"('boring', 'funny')",0.8622353,0.6089053,-0.25333000000000006
16,"('unpopular', 'popular')",-0.5555048,-0.5623555,-0.006850699999999987
17,"('nasty', 'nice')",-0.3035364,-0.0946809,0.20885549999999997
18,"('disagreeable', 'welcoming')",0.2563438,0.8780155,0.6216716999999999
19,"('inhospitable', 'hospitable')",-0.0238619,-0.1106208,-0.0867589
20,"('rough', 'thoughtful')",-0.3345874,-0.1519019,0.18268549999999997
21,"('immoral', 'moral')",1.3543444,0.4924822,-0.8618622
22,"('untrustworthy', 'trustworthy')",0.9204702,0.9012001,-0.019270100000000068
23,"('insincere', 'sincere')",1.7512846,1.2407646,-0.5105199999999999
24,"('dishonest', 'honest')",1.6820005,1.3335674,-0.34843310000000005
25,"('egoistic', 'altruistic')",0.7347481,0.9231502,0.18840210000000002
26,"('hardhearted', 'benevolent')",0.4527607,0.9389743,0.4862136
27,"('hardhearted', 'softhearted')",0.8498822,1.4409105,0.5910283
28,"('disloyal', 'loyal')",0.0871347,-0.4125339,-0.4996686
29,"('unfair', 'fair')",-0.8120857,-0.2980233,0.5140624
30,"('intolerant', 'tolerant')",1.1469645,0.6847186,-0.4622459
31,"('evil', 'good')",-0.9276352,-0.5825837,0.34505149999999996
32,"('unkind', 'kind')",1.9116388,1.6707572,-0.24088160000000003
33,"('wrong', 'right')",-0.5218814,0.3052844,0.8271658000000001
34,"('mean', 'honorable')",0.6256142,0.097438,-0.5281762
35,"('corrupt', 'incorrupt')",-2.3259847,-1.5897236,0.7362610999999999
