,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.657783,0.6736366,-0.9841464
1,"('unfriendly', 'friendly')",1.7231074,1.9092805,0.18617309999999998
2,"('unlikable', 'likable')",0.901205,0.1141378,-0.7870672000000001
3,"('repellent', 'pleasant')",0.969647,1.1807562,0.2111092
4,"('disliked', 'liked')",-0.7034758,-0.1391316,0.5643442
5,"('distant', 'outgoing')",0.2576157,0.4040054,0.1463897
6,"('distant', 'open')",0.1373696,0.3876355,0.25026590000000004
7,"('insensitive', 'sensitive')",1.8016678,1.7324827,-0.06918509999999989
8,"('unaffectionate', 'affectionate')",0.6008467,0.8287021,0.22785540000000004
9,"('unaffectionate', 'caring')",0.61798,1.0174472,0.39946720000000013
10,"('unsympathetic', 'sympathetic')",1.8382359,0.9364439,-0.9017919999999999
11,"('unhelpful', 'helpful')",0.4555,0.0387243,-0.4167757
12,"('unsupportive', 'supportive')",0.5845009,1.0510688,0.4665678999999999
13,"('impolite', 'polite')",0.4606862,0.1136031,-0.3470831
14,"('antisocial', 'social')",0.175772,0.5993616,0.4235896
15,"('boring', 'funny')",0.7744666,0.4422582,-0.3322084
16,"('unpopular', 'popular')",-0.68711,-0.4906141,0.1964959
17,"('nasty', 'nice')",-0.5333521,-0.3691631,0.16418899999999997
18,"('disagreeable', 'welcoming')",0.4716953,1.0635568,0.5918615
19,"('inhospitable', 'hospitable')",0.1180159,0.074222,-0.04379390000000001
20,"('rough', 'thoughtful')",-0.0935174,0.2232744,0.3167918
21,"('immoral', 'moral')",1.238284,0.4945784,-0.7437056
22,"('untrustworthy', 'trustworthy')",1.1442692,1.0259,-0.11836920000000006
23,"('insincere', 'sincere')",1.4486724,1.1422406,-0.3064317999999999
24,"('dishonest', 'honest')",1.5746824,1.2858956,-0.2887868
25,"('egoistic', 'altruistic')",0.7286268,0.9281817,0.19955489999999998
26,"('hardhearted', 'benevolent')",0.5077769,0.8627494,0.3549725
27,"('hardhearted', 'softhearted')",1.1896072,1.6992211,0.5096139
28,"('disloyal', 'loyal')",-0.0937776,-0.3638342,-0.2700566
29,"('unfair', 'fair')",-0.4621616,0.0064423,0.4686039
30,"('intolerant', 'tolerant')",0.9701981,0.4916489,-0.47854919999999995
31,"('evil', 'good')",-0.8872971,-0.5071845,0.3801125999999999
