,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.283745,0.4310411,-0.8527038999999998
1,"('unfriendly', 'friendly')",1.8549834,1.9811999,0.12621649999999995
2,"('unlikable', 'likable')",0.940604,0.1954418,-0.7451622
3,"('repellent', 'pleasant')",1.1380226,1.2783668,0.14034419999999992
4,"('disliked', 'liked')",-0.4508851,0.0688998,0.5197849
5,"('distant', 'outgoing')",0.3450107,0.6138097,0.268799
6,"('distant', 'open')",0.0866098,0.4385694,0.3519596
7,"('insensitive', 'sensitive')",1.6945833,1.5701099,-0.12447339999999985
8,"('unaffectionate', 'affectionate')",0.9061878,1.1558315,0.2496436999999999
9,"('unaffectionate', 'caring')",0.8868145,1.265857,0.37904250000000006
10,"('unsympathetic', 'sympathetic')",1.6348228,0.801539,-0.8332838
11,"('unhelpful', 'helpful')",0.5961783,0.1428642,-0.45331410000000005
12,"('unsupportive', 'supportive')",0.5772232,1.1196685,0.5424452999999999
13,"('impolite', 'polite')",0.6083561,0.2610252,-0.34733089999999994
14,"('antisocial', 'social')",-0.080718,0.3061755,0.3868935
15,"('boring', 'funny')",0.7614545,0.6165883,-0.14486620000000006
16,"('unpopular', 'popular')",-0.184016,-0.1687772,0.015238800000000025
17,"('nasty', 'nice')",-0.3136344,-0.0708074,0.24282699999999996
18,"('disagreeable', 'welcoming')",0.5254433,1.1054379,0.5799946000000001
19,"('inhospitable', 'hospitable')",0.22167,0.0830082,-0.1386618
20,"('rough', 'thoughtful')",-0.5076039,-0.2448177,0.26278619999999997
21,"('immoral', 'moral')",1.106844,0.3443452,-0.7624987999999999
22,"('untrustworthy', 'trustworthy')",0.8584625,0.8636419,0.005179399999999945
23,"('insincere', 'sincere')",1.5846447,1.2401181,-0.3445266
24,"('dishonest', 'honest')",1.5004256,1.255146,-0.24527959999999993
25,"('egoistic', 'altruistic')",0.8743475,1.0199627,0.14561519999999994
26,"('hardhearted', 'benevolent')",0.343229,0.8085872,0.46535819999999994
27,"('hardhearted', 'softhearted')",0.8821706,1.5024886,0.6203179999999999
28,"('disloyal', 'loyal')",-0.0419769,-0.3354425,-0.2934656
29,"('unfair', 'fair')",-0.8768612,-0.307583,0.5692782000000001
30,"('intolerant', 'tolerant')",0.8858333,0.5215463,-0.364287
31,"('evil', 'good')",-0.7822969,-0.4590131,0.32328379999999995
32,"('unkind', 'kind')",1.9897717,1.7743093,-0.21546239999999983
33,"('wrong', 'right')",-0.4704742,0.2796281,0.7501023
34,"('mean', 'honorable')",0.673984,0.2836612,-0.3903228
35,"('corrupt', 'incorrupt')",-2.1966459,-1.5622335,0.6344124
36,"('hostile', 'amicable')",-0.2595456,0.2403838,0.49992939999999997
37,"('fake', 'genuine')",0.9888145,0.7320606,-0.2567539000000001
38,"('untruthful', 'truthful')",-0.0329632,-0.0039672,0.028995999999999997
