,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.4596235,0.6127228,-0.8469007
1,"('unfriendly', 'friendly')",1.9127078,2.040396,0.12768819999999992
2,"('unlikable', 'likable')",1.0723736,0.3484508,-0.7239228
3,"('repellent', 'pleasant')",1.1246623,1.3613543,0.2366919999999999
4,"('disliked', 'liked')",-0.3953691,0.0851417,0.48051079999999996
5,"('distant', 'outgoing')",0.4807362,0.595014,0.11427780000000004
6,"('distant', 'open')",0.3728365,0.6338092,0.26097269999999995
7,"('insensitive', 'sensitive')",1.7755596,1.6980621,-0.0774975
8,"('unaffectionate', 'affectionate')",0.9531171,1.1299902,0.1768730999999999
9,"('unaffectionate', 'caring')",0.9117037,1.2328068,0.3211031000000001
10,"('unsympathetic', 'sympathetic')",1.3628496,0.6654971,-0.6973525000000002
11,"('unhelpful', 'helpful')",0.1414951,-0.0900629,-0.231558
12,"('unsupportive', 'supportive')",0.640283,1.1010107,0.46072769999999996
13,"('impolite', 'polite')",0.2365694,0.0605358,-0.1760336
14,"('antisocial', 'social')",-0.3108916,0.0523463,0.3632379
15,"('boring', 'funny')",0.8518519,0.6834717,-0.16838019999999998
16,"('unpopular', 'popular')",-0.1437507,-0.0406731,0.10307760000000002
17,"('nasty', 'nice')",-0.5524206,-0.3092992,0.24312140000000004
18,"('disagreeable', 'welcoming')",0.7476918,1.2611597,0.5134679000000001
19,"('inhospitable', 'hospitable')",0.2107669,0.086054,-0.1247129
20,"('rough', 'thoughtful')",-0.579889,-0.2199228,0.3599662
21,"('immoral', 'moral')",0.829543,0.1249294,-0.7046136000000001
22,"('untrustworthy', 'trustworthy')",0.6598362,0.6129666,-0.046869599999999956
23,"('insincere', 'sincere')",1.3383309,1.1384075,-0.19992340000000008
24,"('dishonest', 'honest')",1.1591118,0.9676353,-0.19147650000000005
25,"('egoistic', 'altruistic')",1.0459242,1.2009085,0.15498429999999996
26,"('hardhearted', 'benevolent')",0.2127642,0.5544645,0.34170030000000007
27,"('hardhearted', 'softhearted')",1.1695057,1.8285048,0.6589991
28,"('disloyal', 'loyal')",-0.0142167,-0.1921933,-0.1779766
29,"('unfair', 'fair')",-0.5365572,-0.0078372,0.52872
30,"('intolerant', 'tolerant')",0.6493802,0.3583638,-0.29101639999999995
31,"('evil', 'good')",-0.4217307,-0.2886572,0.1330735
32,"('unkind', 'kind')",1.7539092,1.6664251,-0.08748409999999995
33,"('wrong', 'right')",-0.4918468,0.2497187,0.7415655
34,"('mean', 'honorable')",0.570456,0.2129282,-0.35752779999999995
35,"('corrupt', 'incorrupt')",-2.1255273,-1.4266047,0.6989226
36,"('hostile', 'amicable')",-0.0730749,0.4722863,0.5453612
37,"('fake', 'genuine')",0.6674986,0.517857,-0.14964160000000004
38,"('untruthful', 'truthful')",-0.3657056,-0.2752809,0.09042470000000002
39,"('exploitative', 'cooperative')",-0.4292696,0.1377222,0.5669917999999999
40,"('stingy', 'generous')",1.9971414,1.5024827,-0.4946587
41,"('unforgiving', 'forgiving')",0.914945,0.4433476,-0.4715974
42,"('unreliable', 'reliable')",0.7694991,1.0363798,0.26688069999999997
43,"('irresponsible', 'responsible')",0.6650184,0.6042834,-0.06073499999999998
44,"('prejudiced', 'unprejudiced')",-1.3250507,-1.5390918,-0.21404109999999998
45,"('incompetent', 'competent')",0.6339329,0.6032469,-0.03068599999999999
46,"('uncompetitive', 'competitive')",0.3351799,0.3010982,-0.03408169999999999
47,"('stupid', 'smart')",0.6894719,0.5112637,-0.17820820000000004
48,"('unintelligent', 'intelligent')",1.2056944,0.7544105,-0.45128390000000007
49,"('unable', 'able')",-0.6067342,0.0688964,0.6756306
50,"('clumsy', 'skillful')",-0.2821193,0.0213709,0.30349020000000004
51,"('uneducated', 'educated')",1.2978258,1.0293977,-0.26842809999999995
52,"('irrational', 'rational')",-0.4373471,-0.3271572,0.11018990000000001
53,"('uncreative', 'creative')",0.8154747,1.1649949,0.34952019999999995
54,"('incapable', 'capable')",1.2368512,0.5708061,-0.6660451000000001
55,"('incompetent', 'clever')",1.3708873,1.2261381,-0.1447491999999999
56,"('impractical', 'practical')",0.5959308,0.7655223,0.1695915
57,"('unimaginative', 'imaginative')",0.8720248,0.5896085,-0.28241630000000006
58,"('undiscriminating', 'discriminating')",1.3537107,0.9667055,-0.38700519999999994
59,"('foolish', 'wise')",-0.3341489,-0.2613505,0.07279840000000004
60,"('inefficient', 'efficient')",0.5032238,0.6964054,0.19318159999999995
61,"('illogical', 'logical')",0.2537749,0.6831344,0.4293595
