,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.4023927,0.489339,-0.9130537000000001
1,"('unfriendly', 'friendly')",1.8539551,2.027386,0.17343089999999983
2,"('unlikable', 'likable')",0.821027,0.1011286,-0.7198983999999999
3,"('repellent', 'pleasant')",0.7665045,0.9637304,0.19722589999999995
4,"('disliked', 'liked')",-0.4199437,0.1113391,0.5312827999999999
5,"('distant', 'outgoing')",0.5671005,0.7150615,0.147961
6,"('distant', 'open')",0.3335465,0.6087187,0.2751721999999999
7,"('insensitive', 'sensitive')",1.6133817,1.552063,-0.06131869999999995
8,"('unaffectionate', 'affectionate')",0.8568894,1.091492,0.23460259999999988
9,"('unaffectionate', 'caring')",0.8463671,1.1984772,0.35211009999999987
10,"('unsympathetic', 'sympathetic')",1.6170857,0.7540625,-0.8630232000000001
11,"('unhelpful', 'helpful')",0.432715,-0.0775043,-0.5102193
12,"('unsupportive', 'supportive')",0.5843168,1.0114769,0.42716009999999993
13,"('impolite', 'polite')",0.3996267,0.0521971,-0.3474296
14,"('antisocial', 'social')",0.0322755,0.4113346,0.3790591
15,"('boring', 'funny')",0.8807342,0.631567,-0.24916720000000003
16,"('unpopular', 'popular')",-0.4967699,-0.3455003,0.1512696
17,"('nasty', 'nice')",-0.4010511,-0.2034373,0.1976138
18,"('disagreeable', 'welcoming')",0.4763766,1.1173522,0.6409756
19,"('inhospitable', 'hospitable')",0.1554566,0.0662671,-0.0891895
20,"('rough', 'thoughtful')",-0.3323922,-0.0674426,0.2649496
21,"('immoral', 'moral')",1.115894,0.3700496,-0.7458444
22,"('untrustworthy', 'trustworthy')",1.015471,0.9552254,-0.06024560000000001
23,"('insincere', 'sincere')",1.3333061,1.0143209,-0.31898519999999997
24,"('dishonest', 'honest')",1.6742827,1.3692836,-0.3049991000000001
25,"('egoistic', 'altruistic')",0.8756157,1.0689512,0.1933355000000001
26,"('hardhearted', 'benevolent')",0.4873881,0.9434367,0.4560486
27,"('hardhearted', 'softhearted')",1.0264641,1.6920815,0.6656173999999999
28,"('disloyal', 'loyal')",-0.0281583,-0.3539619,-0.32580359999999997
29,"('unfair', 'fair')",-0.7027127,-0.1997369,0.5029758
30,"('intolerant', 'tolerant')",0.9133782,0.4677069,-0.44567130000000005
31,"('evil', 'good')",-0.7538124,-0.3938163,0.35999610000000004
32,"('unkind', 'kind')",1.7258005,1.6765758,-0.04922470000000012
33,"('wrong', 'right')",-0.236858,0.4229048,0.6597628
34,"('mean', 'honorable')",0.4799378,0.0771743,-0.40276350000000005
35,"('corrupt', 'incorrupt')",-2.010933,-1.3075202,0.7034128000000002
36,"('hostile', 'amicable')",-0.1758838,0.435203,0.6110868
37,"('fake', 'genuine')",1.0667248,0.8384814,-0.22824339999999999
38,"('untruthful', 'truthful')",-0.2503714,-0.2676628,-0.017291399999999957
39,"('exploitative', 'cooperative')",0.1935374,0.704438,0.5109006
40,"('stingy', 'generous')",1.8086438,1.340885,-0.4677587999999999
41,"('unforgiving', 'forgiving')",0.9304165,0.4198908,-0.5105257
42,"('unreliable', 'reliable')",0.7050715,0.9500091,0.2449376000000001
43,"('irresponsible', 'responsible')",0.8524124,0.7156071,-0.1368052999999999
44,"('prejudiced', 'unprejudiced')",-1.1492928,-1.3483042,-0.19901140000000006
45,"('incompetent', 'competent')",0.6611222,0.6437977,-0.017324499999999965
46,"('uncompetitive', 'competitive')",0.5128645,0.3070921,-0.20577239999999997
47,"('stupid', 'smart')",0.7519122,0.4919326,-0.25997960000000003
48,"('unintelligent', 'intelligent')",1.066609,0.6064886,-0.4601203999999999
49,"('unable', 'able')",-0.8607543,-0.2018561,0.6588982
50,"('clumsy', 'skillful')",-0.5748145,-0.2400379,0.3347766
51,"('uneducated', 'educated')",1.2834297,1.0391334,-0.2442962999999998
52,"('irrational', 'rational')",-0.2559535,-0.115204,0.1407495
53,"('uncreative', 'creative')",0.871107,1.1360296,0.2649226000000001
54,"('incapable', 'capable')",0.9591344,0.4191988,-0.5399356000000001
55,"('incompetent', 'clever')",1.4969379,1.2001881,-0.29674979999999995
56,"('impractical', 'practical')",0.6144835,0.707889,0.09340550000000003
57,"('unimaginative', 'imaginative')",1.2738021,0.748905,-0.5248970999999999
58,"('undiscriminating', 'discriminating')",1.3098313,0.8698339,-0.43999739999999987
59,"('foolish', 'wise')",-0.7303656,-0.5470113,0.18335429999999997
60,"('inefficient', 'efficient')",0.9017686,0.9005245,-0.0012441000000000813
61,"('illogical', 'logical')",-0.0066012,0.4401249,0.44672609999999996
62,"('incompetent', 'brilliant')",0.9140931,0.7105479,-0.20354519999999998
63,"('unperceptive', 'insightful')",1.0420867,0.7792858,-0.2628009
64,"('shy', 'confident')",-0.472575,-1.0101911,-0.5376160999999999
65,"('insecure', 'secure')",1.0732451,0.2388333,-0.8344118
