,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.2918475,0.4637988,-0.8280487000000001
1,"('unfriendly', 'friendly')",1.6202752,1.6969968,0.07672159999999995
2,"('unlikable', 'likable')",0.8905677,0.1707036,-0.7198640999999999
3,"('repellent', 'pleasant')",1.1956698,1.2844243,0.08875450000000007
4,"('disliked', 'liked')",-0.6214521,-0.119626,0.5018260999999999
5,"('distant', 'outgoing')",0.1884493,0.3993164,0.21086710000000003
6,"('distant', 'open')",0.0284001,0.2715561,0.243156
7,"('insensitive', 'sensitive')",1.7521096,1.640293,-0.11181660000000004
8,"('unaffectionate', 'affectionate')",0.8597201,1.0741187,0.2143986000000001
9,"('unaffectionate', 'caring')",0.8003303,1.1700908,0.36976050000000005
10,"('unsympathetic', 'sympathetic')",1.6329847,0.8073372,-0.8256475
11,"('unhelpful', 'helpful')",0.5689385,0.0913097,-0.4776288
12,"('unsupportive', 'supportive')",0.5707691,1.0354412,0.4646720999999999
13,"('impolite', 'polite')",0.6258826,0.1868029,-0.43907969999999996
14,"('antisocial', 'social')",0.1423077,0.5330227,0.3907149999999999
15,"('boring', 'funny')",0.9174528,0.683575,-0.2338777999999999
16,"('unpopular', 'popular')",-0.366229,-0.3876931,-0.021464099999999986
17,"('nasty', 'nice')",-0.2718168,-0.0320593,0.2397575
18,"('disagreeable', 'welcoming')",0.5325074,1.1234366,0.5909292
19,"('inhospitable', 'hospitable')",0.2032978,-0.0166851,-0.2199829
20,"('rough', 'thoughtful')",-0.3984442,-0.212878,0.18556620000000001
21,"('immoral', 'moral')",1.1540894,0.3420877,-0.8120016999999999
22,"('untrustworthy', 'trustworthy')",0.8912415,0.8957763,0.00453479999999995
23,"('insincere', 'sincere')",1.5860563,1.2816699,-0.30438640000000006
24,"('dishonest', 'honest')",1.5600051,1.2584065,-0.30159859999999994
25,"('egoistic', 'altruistic')",0.8561936,1.028153,0.1719594000000001
26,"('hardhearted', 'benevolent')",0.3767776,0.8826609,0.5058833
27,"('hardhearted', 'softhearted')",0.9228289,1.56345,0.6406211
28,"('disloyal', 'loyal')",-0.1311405,-0.4898496,-0.3587091
29,"('unfair', 'fair')",-0.8020165,-0.3732832,0.42873330000000004
30,"('intolerant', 'tolerant')",0.9851829,0.7090585,-0.27612439999999994
31,"('evil', 'good')",-0.7338826,-0.5201678,0.2137148000000001
32,"('unkind', 'kind')",1.886993,1.6515734,-0.23541959999999995
33,"('wrong', 'right')",-0.3477676,0.3204575,0.6682251
34,"('mean', 'honorable')",0.686441,0.2802286,-0.4062124
35,"('corrupt', 'incorrupt')",-2.3348558,-1.7346388,0.6002170000000002
36,"('hostile', 'amicable')",-0.3959363,0.0586619,0.4545982
37,"('fake', 'genuine')",0.9846515,0.6924513,-0.2922002
38,"('untruthful', 'truthful')",-0.1558644,-0.2094285,-0.0535641
39,"('exploitative', 'cooperative')",0.1212143,0.639362,0.5181477
40,"('stingy', 'generous')",1.6921216,1.1843596,-0.5077619999999998
41,"('unforgiving', 'forgiving')",1.0727104,0.5199024,-0.5528080000000001
42,"('unreliable', 'reliable')",0.4891613,0.656918,0.16775669999999998
43,"('irresponsible', 'responsible')",0.7671632,0.7238453,-0.04331790000000002
44,"('prejudiced', 'unprejudiced')",-1.2657292,-1.4195662,-0.153837
45,"('incompetent', 'competent')",0.8494634,0.8019309,-0.04753249999999998
46,"('uncompetitive', 'competitive')",0.6101876,0.3898519,-0.22033570000000008
47,"('stupid', 'smart')",0.8843971,0.6526741,-0.231723
48,"('unintelligent', 'intelligent')",0.9690632,0.5356658,-0.43339740000000004
49,"('unable', 'able')",-0.8748432,-0.1331755,0.7416677
50,"('clumsy', 'skillful')",-0.336124,-0.1936018,0.1425222
51,"('uneducated', 'educated')",1.5928865,1.1536926,-0.4391939
52,"('irrational', 'rational')",-0.3469217,-0.2580067,0.08891500000000002
53,"('uncreative', 'creative')",0.7175517,0.933854,0.21630229999999995
54,"('incapable', 'capable')",0.7701115,0.2025461,-0.5675653999999999
55,"('incompetent', 'clever')",1.4799258,1.2487719,-0.23115390000000002
56,"('impractical', 'practical')",0.7609301,0.8673926,0.1064624999999999
57,"('unimaginative', 'imaginative')",1.0899043,0.604209,-0.48569529999999994
58,"('undiscriminating', 'discriminating')",1.1171743,0.6051565,-0.5120178000000001
59,"('foolish', 'wise')",-0.6160546,-0.5110806,0.10497400000000001
60,"('inefficient', 'efficient')",0.9048221,1.063002,0.15817990000000004
61,"('illogical', 'logical')",-0.0978643,0.2813785,0.3792428
62,"('incompetent', 'brilliant')",1.0341723,0.9674423,-0.06673000000000007
63,"('unperceptive', 'insightful')",1.1618216,0.8325067,-0.32931489999999985
64,"('shy', 'confident')",-0.4914738,-1.0187526,-0.5272787999999999
65,"('insecure', 'secure')",1.0422777,0.2013831,-0.8408946
66,"('inactive', 'active')",-1.1988799,-1.277128,-0.07824809999999993
67,"('doubtful', 'determined')",-0.8979315,-0.8399525,0.057979
68,"('dependent', 'independent')",-0.5366488,-0.3143394,0.22230940000000005
69,"('lazy', 'industrious')",-2.1180293,-1.187763,0.9302663
70,"('lethargic', 'energetic')",2.0720349,1.8759647,-0.19607019999999986
71,"('diffident', 'self-confident')",-0.6175029,-0.2614014,0.35610149999999996
72,"('unambitious', 'ambitious')",1.083596,0.4942673,-0.5893287
73,"('helpless', 'self-reliant')",0.4526443,0.4164332,-0.036211099999999996
74,"('undedicated', 'dedicated')",0.8918509,1.786243,0.8943921
75,"('meek', 'impulsive')",0.0695013,-0.5920389,-0.6615402
76,"('anxious', 'daring')",1.4176228,1.043858,-0.3737648
77,"('unmotivated', 'motivated')",-0.0931464,-0.5979344,-0.504788
78,"('nonresilient', 'resilient')",-0.9867082,-0.5071847,0.4795235
