,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.7638818,0.7056798,-1.058202
1,"('unfriendly', 'friendly')",1.4362901,1.656555,0.2202649000000001
2,"('unlikable', 'likable')",0.8593476,0.0917722,-0.7675754
3,"('repellent', 'pleasant')",1.2246162,1.2214399,-0.0031763000000000208
4,"('disliked', 'liked')",-0.8223256,-0.1667226,0.6556029999999999
5,"('distant', 'outgoing')",-0.2656543,0.1277937,0.393448
6,"('distant', 'open')",-0.4119893,0.0764932,0.4884825
7,"('insensitive', 'sensitive')",2.0505895,1.7248934,-0.32569610000000004
8,"('unaffectionate', 'affectionate')",0.6936456,1.0150806,0.32143500000000014
9,"('unaffectionate', 'caring')",0.9226617,1.3201307,0.39746899999999996
10,"('unsympathetic', 'sympathetic')",2.514463,1.391924,-1.1225390000000002
11,"('unhelpful', 'helpful')",1.0747344,0.3949159,-0.6798185000000001
12,"('unsupportive', 'supportive')",0.7840751,1.2584675,0.47439240000000005
13,"('impolite', 'polite')",1.1889316,0.6500316,-0.5389
14,"('antisocial', 'social')",0.6121204,0.7575661,0.1454457
15,"('boring', 'funny')",0.6386005,0.4066421,-0.2319584
16,"('unpopular', 'popular')",-0.5989043,-0.5491967,0.04970759999999996
17,"('nasty', 'nice')",-0.0974367,0.1695241,0.2669608
18,"('disagreeable', 'welcoming')",0.3191319,1.0195007,0.7003688
19,"('inhospitable', 'hospitable')",0.3239256,0.0314715,-0.2924541
20,"('rough', 'thoughtful')",-0.5385785,-0.4228651,0.11571339999999997
21,"('immoral', 'moral')",1.6464889,0.5924329,-1.054056
22,"('untrustworthy', 'trustworthy')",1.035039,0.9352512,-0.0997878000000001
23,"('insincere', 'sincere')",1.8899826,1.4349184,-0.45506420000000003
24,"('dishonest', 'honest')",1.9253071,1.4662794,-0.45902770000000004
25,"('egoistic', 'altruistic')",0.5758123,0.8511884,0.2753760999999999
26,"('hardhearted', 'benevolent')",0.4954425,0.9672274,0.47178489999999995
27,"('hardhearted', 'softhearted')",0.9526667,1.5432364,0.5905697000000001
28,"('disloyal', 'loyal')",0.3466975,-0.0961753,-0.4428728
29,"('unfair', 'fair')",-0.8255202,-0.342303,0.4832172
30,"('intolerant', 'tolerant')",1.369951,0.9848862,-0.3850647999999999
31,"('evil', 'good')",-1.0787269,-0.6083975,0.4703293999999999
32,"('unkind', 'kind')",2.4659028,2.0178282,-0.4480746
33,"('wrong', 'right')",-0.6947633,0.1077359,0.8024992
34,"('mean', 'honorable')",0.9670454,0.4103712,-0.5566742
35,"('corrupt', 'incorrupt')",-2.6249062,-1.9022928,0.7226134
36,"('hostile', 'amicable')",-0.7808705,-0.1093982,0.6714723
37,"('fake', 'genuine')",1.1704442,0.7487765,-0.4216677
38,"('untruthful', 'truthful')",0.083075,0.100451,0.017376000000000003
39,"('exploitative', 'cooperative')",0.0156142,0.4994945,0.4838803
40,"('stingy', 'generous')",1.4469969,1.0339002,-0.4130967000000001
41,"('unforgiving', 'forgiving')",1.3395188,0.7811684,-0.5583504
42,"('unreliable', 'reliable')",0.8365067,0.9277436,0.09123689999999995
43,"('irresponsible', 'responsible')",1.1432894,0.9319551,-0.21133429999999997
44,"('prejudiced', 'unprejudiced')",-1.7455293,-1.8187135,-0.07318420000000003
45,"('incompetent', 'competent')",1.3162176,1.0907135,-0.2255041000000002
46,"('uncompetitive', 'competitive')",1.0302328,0.5674518,-0.4627810000000001
47,"('stupid', 'smart')",0.9415066,0.5531108,-0.38839579999999996
48,"('unintelligent', 'intelligent')",1.1485283,0.6000023,-0.548526
49,"('unable', 'able')",-0.6835571,-0.0073664,0.6761907
50,"('clumsy', 'skillful')",-0.2699921,-0.1211603,0.14883180000000001
51,"('uneducated', 'educated')",2.1727106,1.4565003,-0.7162102999999997
52,"('irrational', 'rational')",-0.5672814,-0.3305833,0.23669810000000002
53,"('uncreative', 'creative')",0.4915031,0.7497076,0.2582045
54,"('incapable', 'capable')",0.778768,0.1840552,-0.5947128
55,"('incompetent', 'clever')",1.8002723,1.318281,-0.4819913
56,"('impractical', 'practical')",1.1859995,1.1754587,-0.010540800000000017
57,"('unimaginative', 'imaginative')",1.0042507,0.5130524,-0.4911983000000001
58,"('undiscriminating', 'discriminating')",1.3161653,0.7576226,-0.5585427
59,"('foolish', 'wise')",-0.8432791,-0.6136435,0.22963559999999994
60,"('inefficient', 'efficient')",1.5792859,1.4561012,-0.12318469999999992
61,"('illogical', 'logical')",0.1437836,0.4133166,0.26953299999999997
62,"('incompetent', 'brilliant')",1.2226148,1.0293453,-0.19326949999999998
63,"('unperceptive', 'insightful')",1.6138233,1.1451061,-0.46871719999999994
64,"('shy', 'confident')",-0.3173083,-0.9014473,-0.584139
65,"('insecure', 'secure')",1.6102398,0.4809762,-1.1292636
66,"('inactive', 'active')",-1.0582896,-1.1768847,-0.11859510000000006
67,"('doubtful', 'determined')",-0.754282,-0.8193816,-0.06509960000000004
68,"('dependent', 'independent')",-0.6475167,-0.439756,0.20776069999999996
69,"('lazy', 'industrious')",-2.4358112,-1.4602074,0.9756037999999998
70,"('lethargic', 'energetic')",2.4710892,1.9920422,-0.4790470000000002
71,"('diffident', 'self-confident')",-0.6825525,-0.3097865,0.372766
72,"('unambitious', 'ambitious')",1.0229716,0.4268435,-0.5961281
73,"('helpless', 'self-reliant')",0.2487817,0.2892332,0.04045150000000003
74,"('undedicated', 'dedicated')",1.0463362,1.9007487,0.8544125
75,"('meek', 'impulsive')",-0.4381148,-0.9733842,-0.5352694
76,"('anxious', 'daring')",1.6522877,1.1254695,-0.5268182000000001
77,"('unmotivated', 'motivated')",-0.0953093,-0.6276128,-0.5323034999999999
78,"('nonresilient', 'resilient')",-0.751315,-0.2488819,0.5024331
79,"('wavering', 'unwavering')",0.1178369,0.0611775,-0.05665939999999999
80,"('dominated', 'dominating')",0.1403558,-0.4768477,-0.6172035
81,"('submissive', 'aggressive')",2.3362571,0.2063227,-2.1299344000000002
82,"('poor', 'rich')",2.1729489,1.2538929,-0.9190560000000001
83,"('powerless', 'powerful')",-0.6382458,-0.6950951,-0.05684929999999999
84,"('inferior', 'superior')",-0.142351,-0.5069273,-0.36457629999999996
85,"('insignificant', 'prestigious')",-0.8612224,-0.4576415,0.4035809000000001
86,"('uninfluential', 'influential')",1.8357435,1.5505978,-0.28514569999999995
87,"('unsuccessful', 'successful')",0.5913151,-0.0318467,-0.6231618
88,"('low', 'eminent')",1.449354,0.9181051,-0.5312489
