,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.8198068,0.9412878,-0.878519
1,"('unfriendly', 'friendly')",0.953754,1.1763006,0.22254660000000004
2,"('unlikable', 'likable')",1.0525272,0.2576521,-0.7948751000000001
3,"('repellent', 'pleasant')",1.4119542,1.5213703,0.10941610000000002
4,"('disliked', 'liked')",-0.8756999,-0.3481611,0.5275388
5,"('distant', 'outgoing')",-0.7105312,-0.3449185,0.3656127
6,"('distant', 'open')",-0.8629139,-0.4895351,0.3733788
7,"('insensitive', 'sensitive')",2.1177809,1.9915728,-0.12620810000000016
8,"('unaffectionate', 'affectionate')",0.3464983,0.6806604,0.3341621000000001
9,"('unaffectionate', 'caring')",0.46259,0.9306693,0.46807930000000003
10,"('unsympathetic', 'sympathetic')",2.5476787,1.6243973,-0.9232814
11,"('unhelpful', 'helpful')",1.1017323,0.5313055,-0.5704268000000001
12,"('unsupportive', 'supportive')",0.6490597,1.1948386,0.5457789
13,"('impolite', 'polite')",1.3752722,1.0051814,-0.37009080000000005
14,"('antisocial', 'social')",1.0633049,1.42063,0.35732509999999995
15,"('boring', 'funny')",0.5075871,0.2837678,-0.22381929999999994
16,"('unpopular', 'popular')",-0.5182975,-0.4797142,0.03858329999999999
17,"('nasty', 'nice')",0.0915997,0.2916387,0.20003899999999997
18,"('disagreeable', 'welcoming')",0.2146395,0.9613386,0.7466991000000001
19,"('inhospitable', 'hospitable')",-0.0857796,-0.3210408,-0.2352612
20,"('rough', 'thoughtful')",-0.2314983,-0.1076924,0.1238059
21,"('immoral', 'moral')",1.7236245,0.8537643,-0.8698601999999999
22,"('untrustworthy', 'trustworthy')",1.4058176,1.2649505,-0.1408670999999999
23,"('insincere', 'sincere')",1.8477175,1.5293542,-0.3183632999999999
24,"('dishonest', 'honest')",1.8105941,1.410251,-0.4003431000000002
25,"('egoistic', 'altruistic')",0.4214602,0.6417854,0.22032519999999994
26,"('hardhearted', 'benevolent')",0.270548,0.7960843,0.5255363
27,"('hardhearted', 'softhearted')",0.6335622,1.3748138,0.7412516000000001
28,"('disloyal', 'loyal')",0.4803911,0.1125893,-0.3678018
29,"('unfair', 'fair')",-0.8176042,-0.3246471,0.4929571
30,"('intolerant', 'tolerant')",1.5368653,1.199418,-0.3374473
31,"('evil', 'good')",-1.3540982,-0.9632411,0.39085709999999996
32,"('unkind', 'kind')",2.2527593,1.9683995,-0.28435980000000005
33,"('wrong', 'right')",-0.8813854,-0.0677141,0.8136713
34,"('mean', 'honorable')",0.8359949,0.3195804,-0.5164145
35,"('corrupt', 'incorrupt')",-2.5601418,-2.0249433,0.5351984999999999
36,"('hostile', 'amicable')",-0.8490643,-0.3334362,0.5156281
37,"('fake', 'genuine')",1.0914258,0.756223,-0.3352027999999999
38,"('untruthful', 'truthful')",-0.1001837,-0.0764381,0.023745600000000006
39,"('exploitative', 'cooperative')",0.1690896,0.6705982,0.5015086
40,"('stingy', 'generous')",1.3542587,0.935533,-0.4187257
41,"('unforgiving', 'forgiving')",1.3619245,0.9022932,-0.45963129999999996
42,"('unreliable', 'reliable')",1.1290996,1.2506314,0.12153180000000008
43,"('irresponsible', 'responsible')",1.3564428,1.1066493,-0.2497935
44,"('prejudiced', 'unprejudiced')",-1.4944765,-1.7031977,-0.20872120000000005
45,"('incompetent', 'competent')",1.6058735,1.4986546,-0.1072188999999999
46,"('uncompetitive', 'competitive')",1.325703,1.0064807,-0.31922230000000007
47,"('stupid', 'smart')",1.2102734,0.880627,-0.3296463999999999
48,"('unintelligent', 'intelligent')",1.1547908,0.7144855,-0.4403053
49,"('unable', 'able')",-0.7085981,-0.0435871,0.665011
50,"('clumsy', 'skillful')",-0.4481083,-0.257768,0.19034030000000002
51,"('uneducated', 'educated')",1.8043434,1.3163815,-0.48796189999999995
52,"('irrational', 'rational')",-0.7995026,-0.6450018,0.1545008
53,"('uncreative', 'creative')",0.3692501,0.6172508,0.24800069999999996
54,"('incapable', 'capable')",0.7246863,0.0317632,-0.6929231
55,"('incompetent', 'clever')",1.9279935,1.6914156,-0.2365778999999999
56,"('impractical', 'practical')",1.5080093,1.61763,0.1096206999999998
57,"('unimaginative', 'imaginative')",1.3850139,0.8463104,-0.5387034999999999
58,"('undiscriminating', 'discriminating')",1.1463302,0.628445,-0.5178851999999999
59,"('foolish', 'wise')",-0.9699806,-0.8272258,0.14275479999999996
60,"('inefficient', 'efficient')",1.6196181,1.6618951,0.0422769999999999
61,"('illogical', 'logical')",0.2756145,0.6375091,0.36189460000000007
62,"('incompetent', 'brilliant')",1.5056856,1.3535992,-0.15208640000000018
63,"('unperceptive', 'insightful')",1.3621556,1.0200988,-0.34205679999999994
64,"('shy', 'confident')",-0.0259195,-0.6266947,-0.6007752000000001
65,"('insecure', 'secure')",1.8364037,0.89362,-0.9427837
66,"('inactive', 'active')",-1.2274719,-1.3151626,-0.08769070000000001
67,"('doubtful', 'determined')",-0.7529042,-0.7762373,-0.023333099999999996
68,"('dependent', 'independent')",-0.6632035,-0.4439581,0.21924539999999992
69,"('lazy', 'industrious')",-2.4133043,-1.5067892,0.9065151
70,"('lethargic', 'energetic')",2.6684594,2.3136002,-0.35485919999999993
