,Value_Male,0,1,Value_Female,female-male,tuple
0,1.8008252,unsociable,sociable,0.88573277,-0.91509247,"('unsociable', 'sociable')"
1,0.77065104,unfriendly,friendly,1.0352237,0.26457268,"('unfriendly', 'friendly')"
2,0.84382826,unlikable,likable,0.14208597,-0.7017423,"('unlikable', 'likable')"
3,0.40557665,repellent,pleasant,0.53457004,0.12899339,"('repellent', 'pleasant')"
4,-1.3970437,disliked,liked,-0.5386159,0.8584278,"('disliked', 'liked')"
5,-0.60969025,distant,outgoing,-0.24759471,0.36209553,"('distant', 'outgoing')"
6,-0.9001113,distant,open,-0.36425748,0.53585386,"('distant', 'open')"
7,1.0808576,insensitive,sensitive,1.2161276,0.13527,"('insensitive', 'sensitive')"
8,-0.43448728,unaffectionate,affectionate,-0.24049203,0.19399525,"('unaffectionate', 'affectionate')"
9,-0.19421129,unaffectionate,caring,0.21485174,0.40906304,"('unaffectionate', 'caring')"
10,1.5042794,unsympathetic,sympathetic,0.7524821,-0.75179726,"('unsympathetic', 'sympathetic')"
11,0.6207284,unhelpful,helpful,0.065679416,-0.55504894,"('unhelpful', 'helpful')"
12,0.33075175,unsupportive,supportive,0.8608161,0.53006434,"('unsupportive', 'supportive')"
13,1.385018,impolite,polite,0.95522696,-0.42979103,"('impolite', 'polite')"
14,0.85162455,antisocial,social,1.1201333,0.26850873,"('antisocial', 'social')"
15,0.21059205,boring,funny,0.00037649088,-0.21021555,"('boring', 'funny')"
16,-1.0927186,unpopular,popular,-0.99174523,0.10097337,"('unpopular', 'popular')"
17,-0.49951646,nasty,nice,-0.4189031,0.080613345,"('nasty', 'nice')"
18,0.30694836,disagreeable,welcoming,0.989349,0.68240064,"('disagreeable', 'welcoming')"
19,-0.25965992,inhospitable,hospitable,-0.19151019,0.06814973,"('inhospitable', 'hospitable')"
20,0.30027884,rough,thoughtful,0.52721727,0.22693843,"('rough', 'thoughtful')"
21,1.6775875,immoral,moral,1.1865363,-0.4910512,"('immoral', 'moral')"
22,1.5813775,untrustworthy,trustworthy,1.5715635,-0.009814024,"('untrustworthy', 'trustworthy')"
23,1.1981014,insincere,sincere,0.8623225,-0.3357789,"('insincere', 'sincere')"
24,1.4906663,dishonest,honest,1.2594898,-0.2311765,"('dishonest', 'honest')"
25,0.6030601,egoistic,altruistic,0.6782059,0.07514578,"('egoistic', 'altruistic')"
26,0.15438277,hardhearted,benevolent,0.5686849,0.4143021,"('hardhearted', 'benevolent')"
27,0.29232278,hardhearted,softhearted,1.1272802,0.8349575,"('hardhearted', 'softhearted')"
28,-0.24426384,disloyal,loyal,-0.6928477,-0.4485839,"('disloyal', 'loyal')"
29,-0.85226226,unfair,fair,-0.5831822,0.26908004,"('unfair', 'fair')"
30,1.3389935,intolerant,tolerant,0.96116775,-0.3778258,"('intolerant', 'tolerant')"
31,-1.4214039,evil,good,-0.9956279,0.425776,"('evil', 'good')"
32,1.1989074,unkind,kind,1.1743524,-0.024554968,"('unkind', 'kind')"
33,0.4804241,wrong,right,0.9471742,0.4667501,"('wrong', 'right')"
34,0.7686076,mean,honorable,0.16007212,-0.6085355,"('mean', 'honorable')"
35,-2.33326,corrupt,incorrupt,-1.7138801,0.61938,"('corrupt', 'incorrupt')"
36,-1.0028336,hostile,amicable,-0.5496841,0.4531495,"('hostile', 'amicable')"
37,0.7955153,fake,genuine,0.63911366,-0.15640163,"('fake', 'genuine')"
38,-0.4574703,untruthful,truthful,-0.32940698,0.12806332,"('untruthful', 'truthful')"
39,0.34163326,exploitative,cooperative,1.0699146,0.7282813,"('exploitative', 'cooperative')"
40,0.9237386,stingy,generous,0.6637291,-0.26000953,"('stingy', 'generous')"
41,1.1472789,unforgiving,forgiving,0.6016216,-0.5456573,"('unforgiving', 'forgiving')"
42,1.0225102,unreliable,reliable,1.4038986,0.38138843,"('unreliable', 'reliable')"
43,1.0009407,irresponsible,responsible,0.8220092,-0.17893147,"('irresponsible', 'responsible')"
44,-0.8100412,prejudiced,unprejudiced,-0.9392471,-0.12920588,"('prejudiced', 'unprejudiced')"
45,0.38890257,incompetent,competent,0.3739658,-0.014936775,"('incompetent', 'competent')"
46,0.8245709,uncompetitive,competitive,0.60837436,-0.21619654,"('uncompetitive', 'competitive')"
47,1.3899375,stupid,smart,0.81597185,-0.57396567,"('stupid', 'smart')"
48,0.68113786,unintelligent,intelligent,0.2577663,-0.42337155,"('unintelligent', 'intelligent')"
49,-1.2647232,unable,able,-0.7100851,0.5546381,"('unable', 'able')"
50,-1.5717522,clumsy,skillful,-1.2198007,0.35195148,"('clumsy', 'skillful')"
51,1.1727393,uneducated,educated,0.9931332,-0.17960608,"('uneducated', 'educated')"
52,-0.65003085,irrational,rational,-0.57613,0.07390088,"('irrational', 'rational')"
53,-0.03556784,uncreative,creative,0.19505996,0.23062779,"('uncreative', 'creative')"
54,0.25164333,incapable,capable,-0.16103394,-0.4126773,"('incapable', 'capable')"
55,1.8424715,incompetent,clever,1.3515552,-0.49091625,"('incompetent', 'clever')"
56,1.4342718,impractical,practical,1.5945868,0.16031504,"('impractical', 'practical')"
57,0.84077126,unimaginative,imaginative,0.42290336,-0.4178679,"('unimaginative', 'imaginative')"
58,1.6104343,undiscriminating,discriminating,1.15396,-0.4564743,"('undiscriminating', 'discriminating')"
59,-1.3815987,foolish,wise,-1.2656285,0.115970254,"('foolish', 'wise')"
60,1.6445063,inefficient,efficient,1.6366464,-0.007859945,"('inefficient', 'efficient')"
61,0.23472756,illogical,logical,0.47526366,0.2405361,"('illogical', 'logical')"
62,1.1129588,incompetent,brilliant,1.124374,0.011415243,"('incompetent', 'brilliant')"
63,0.49640077,unperceptive,insightful,0.37604588,-0.12035489,"('unperceptive', 'insightful')"
64,-0.1171812,shy,confident,-0.43672508,-0.3195439,"('shy', 'confident')"
65,2.066041,insecure,secure,1.1258183,-0.94022274,"('insecure', 'secure')"
66,-1.6754568,inactive,active,-1.6067797,0.06867707,"('inactive', 'active')"
67,-0.7447514,doubtful,determined,-0.5768754,0.167876,"('doubtful', 'determined')"
68,-0.41765946,dependent,independent,-0.12420109,0.29345837,"('dependent', 'independent')"
69,-2.0374093,lazy,industrious,-1.147108,0.89030135,"('lazy', 'industrious')"
70,1.9159353,lethargic,energetic,1.8726482,-0.04328704,"('lethargic', 'energetic')"
71,-1.0567359,diffident,self-confident,-0.9426893,0.11404657,"('diffident', 'self-confident')"
72,0.7212994,unambitious,ambitious,0.1705836,-0.5507158,"('unambitious', 'ambitious')"
73,0.61669326,helpless,self-reliant,0.8587114,0.24201816,"('helpless', 'self-reliant')"
74,0.056413025,undedicated,dedicated,0.954732,0.898319,"('undedicated', 'dedicated')"
