,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.6375931,0.7854283,-0.8521648
1,"('unfriendly', 'friendly')",1.1555652,1.3894097,0.2338445
2,"('unlikable', 'likable')",0.9554017,0.176239,-0.7791627
3,"('repellent', 'pleasant')",1.3334738,1.4933949,0.15992110000000004
4,"('disliked', 'liked')",-0.5652993,-0.0966308,0.46866849999999993
5,"('distant', 'outgoing')",-0.4534139,-0.1900937,0.2633202
6,"('distant', 'open')",-0.5315106,-0.2093399,0.32217070000000003
7,"('insensitive', 'sensitive')",2.0209662,1.8724678,-0.14849840000000025
8,"('unaffectionate', 'affectionate')",0.3947628,0.658802,0.2640392
9,"('unaffectionate', 'caring')",0.3240918,0.7556342,0.43154240000000005
10,"('unsympathetic', 'sympathetic')",2.2690307,1.3963871,-0.8726436
11,"('unhelpful', 'helpful')",0.3946741,-0.0559458,-0.4506199
12,"('unsupportive', 'supportive')",0.5940646,0.9356233,0.3415587
13,"('impolite', 'polite')",0.9915688,0.7044052,-0.2871636000000001
14,"('antisocial', 'social')",0.6923267,1.0648806,0.3725539
15,"('boring', 'funny')",0.6003409,0.2718953,-0.32844559999999995
16,"('unpopular', 'popular')",-0.7032947,-0.5500956,0.15319910000000003
17,"('nasty', 'nice')",-0.3548212,-0.0887661,0.2660551
18,"('disagreeable', 'welcoming')",0.4876232,1.0699555,0.5823323
19,"('inhospitable', 'hospitable')",0.0503931,-0.0833921,-0.1337852
20,"('rough', 'thoughtful')",-0.2489331,0.0674411,0.3163742
21,"('immoral', 'moral')",1.7502899,0.9594138,-0.7908761000000001
22,"('untrustworthy', 'trustworthy')",1.4114659,1.1971421,-0.21432380000000006
23,"('insincere', 'sincere')",1.448082,1.1668712,-0.2812108
24,"('dishonest', 'honest')",1.6684495,1.3624511,-0.3059984
25,"('egoistic', 'altruistic')",0.5776256,0.7633043,0.18567870000000009
26,"('hardhearted', 'benevolent')",0.2718039,0.6312069,0.35940300000000003
