,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.6153697,0.7300104,-0.8853593000000001
1,"('unfriendly', 'friendly')",1.8857866,2.0491812,0.16339459999999995
2,"('unlikable', 'likable')",0.8494334,0.0852576,-0.7641758
3,"('repellent', 'pleasant')",1.2310471,1.3979851,0.16693800000000003
4,"('disliked', 'liked')",-0.6397929,-0.2376052,0.40218770000000004
5,"('distant', 'outgoing')",0.1219389,0.2361432,0.1142043
6,"('distant', 'open')",-0.0318333,0.2727388,0.3045721
7,"('insensitive', 'sensitive')",1.8293115,1.7379772,-0.09133429999999998
8,"('unaffectionate', 'affectionate')",0.6925263,0.8841032,0.19157689999999994
9,"('unaffectionate', 'caring')",0.9007206,1.2575271,0.3568064999999999
10,"('unsympathetic', 'sympathetic')",1.9912174,1.1847882,-0.8064292
11,"('unhelpful', 'helpful')",0.6864729,0.2409758,-0.4454971000000001
12,"('unsupportive', 'supportive')",0.6374974,1.0262974,0.38880000000000003
13,"('impolite', 'polite')",0.7134186,0.4263233,-0.2870953
14,"('antisocial', 'social')",0.1652464,0.5747584,0.409512
15,"('boring', 'funny')",0.7370075,0.3793713,-0.3576362
16,"('unpopular', 'popular')",-0.2438871,-0.1426736,0.10121349999999998
17,"('nasty', 'nice')",-0.177325,0.0494169,0.2267419
18,"('disagreeable', 'welcoming')",0.3913586,1.0749357,0.6835770999999999
19,"('inhospitable', 'hospitable')",0.2403631,0.0685357,-0.1718274
20,"('rough', 'thoughtful')",-0.3750293,-0.1085634,0.26646590000000003
21,"('immoral', 'moral')",1.3367234,0.4990395,-0.8376838999999998
22,"('untrustworthy', 'trustworthy')",1.1186086,0.9712493,-0.14735929999999997
23,"('insincere', 'sincere')",1.7186497,1.4404343,-0.2782154000000001
24,"('dishonest', 'honest')",1.8262732,1.4662952,-0.3599779999999999
25,"('egoistic', 'altruistic')",0.9027142,1.0646593,0.16194509999999995
26,"('hardhearted', 'benevolent')",0.516567,0.9129402,0.3963732
