,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",2.094001,1.098556,-0.9954449999999999
1,"('unfriendly', 'friendly')",1.584909,1.9140312,0.32912220000000003
2,"('unlikable', 'likable')",1.2931446,0.369599,-0.9235456
3,"('repellent', 'pleasant')",1.2648215,1.3937629,0.12894139999999998
4,"('disliked', 'liked')",-0.7432114,-0.2866495,0.45656189999999996
5,"('distant', 'outgoing')",-0.1564335,0.1499559,0.30638940000000003
6,"('distant', 'open')",-0.271575,0.1267879,0.3983629
7,"('insensitive', 'sensitive')",2.0470287,1.944322,-0.1027066999999997
8,"('unaffectionate', 'affectionate')",0.422899,0.7356159,0.31271689999999996
9,"('unaffectionate', 'caring')",0.6209839,1.1166896,0.4957056999999999
10,"('unsympathetic', 'sympathetic')",2.1223936,1.3321887,-0.7902049000000002
11,"('unhelpful', 'helpful')",0.4703471,0.0621714,-0.40817570000000003
12,"('unsupportive', 'supportive')",0.9285531,1.2536428,0.3250896999999999
13,"('impolite', 'polite')",0.8254514,0.477659,-0.34779239999999995
14,"('antisocial', 'social')",0.8455924,1.1863515,0.3407591
15,"('boring', 'funny')",0.4703926,0.095827,-0.3745656
16,"('unpopular', 'popular')",-0.2441645,-0.2006592,0.0435053
17,"('nasty', 'nice')",-0.2437349,-0.0121356,0.2315993
18,"('disagreeable', 'welcoming')",0.7927214,1.2742414,0.48151999999999995
19,"('inhospitable', 'hospitable')",-0.0954138,-0.0898561,0.005557699999999999
20,"('rough', 'thoughtful')",0.1112925,0.3937137,0.2824212
21,"('immoral', 'moral')",1.7882368,0.9550184,-0.8332183999999999
22,"('untrustworthy', 'trustworthy')",1.7078466,1.4323519,-0.2754947000000001
23,"('insincere', 'sincere')",1.455882,1.1733935,-0.2824884999999999
24,"('dishonest', 'honest')",1.8171424,1.5211109,-0.2960315
25,"('egoistic', 'altruistic')",0.9172437,1.0574564,0.14021269999999997
26,"('hardhearted', 'benevolent')",0.4939426,0.934549,0.44060639999999995
27,"('hardhearted', 'softhearted')",0.8948917,1.5262711,0.6313794
28,"('disloyal', 'loyal')",0.0499001,-0.2137859,-0.263686
29,"('unfair', 'fair')",-0.4698589,-0.1019572,0.3679017
30,"('intolerant', 'tolerant')",1.2106052,0.7897618,-0.4208434000000001
31,"('evil', 'good')",-0.8449728,-0.5275807,0.31739209999999995
