,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.8976071,1.00747,-0.8901371
1,"('unfriendly', 'friendly')",1.7758912,2.0080351,0.23214389999999985
2,"('unlikable', 'likable')",1.1845727,0.405555,-0.7790176999999999
3,"('repellent', 'pleasant')",1.4358458,1.615218,0.17937219999999998
4,"('disliked', 'liked')",-0.4420631,0.0872481,0.5293112
5,"('distant', 'outgoing')",0.0820199,0.3250804,0.24306049999999998
6,"('distant', 'open')",-0.0194328,0.3580437,0.3774765
7,"('insensitive', 'sensitive')",1.9513867,1.7856874,-0.1656993
8,"('unaffectionate', 'affectionate')",0.7117282,0.9068219,0.19509369999999993
9,"('unaffectionate', 'caring')",0.9000576,1.2432521,0.34319450000000007
10,"('unsympathetic', 'sympathetic')",1.7698528,0.9767385,-0.7931143
11,"('unhelpful', 'helpful')",0.2310204,-0.1279212,-0.35894159999999997
12,"('unsupportive', 'supportive')",0.8803699,1.2161067,0.33573680000000006
13,"('impolite', 'polite')",0.6036197,0.2738283,-0.32979139999999996
14,"('antisocial', 'social')",0.3780379,0.6041409,0.226103
15,"('boring', 'funny')",0.557221,0.3990464,-0.15817459999999994
16,"('unpopular', 'popular')",-0.2267865,-0.0418298,0.1849567
17,"('nasty', 'nice')",-0.3083912,-0.0432258,0.2651654
18,"('disagreeable', 'welcoming')",0.7593344,1.2634785,0.5041441
19,"('inhospitable', 'hospitable')",0.1051861,0.0303757,-0.0748104
20,"('rough', 'thoughtful')",-0.2669129,0.0186869,0.2855998
21,"('immoral', 'moral')",1.3694021,0.5367344,-0.8326677000000001
22,"('untrustworthy', 'trustworthy')",1.04152,0.8582906,-0.1832294
23,"('insincere', 'sincere')",1.5991537,1.308839,-0.2903146999999999
24,"('dishonest', 'honest')",1.6068006,1.2976054,-0.3091952
25,"('egoistic', 'altruistic')",1.0258543,1.2190197,0.19316540000000004
26,"('hardhearted', 'benevolent')",0.3401841,0.7255024,0.3853183
27,"('hardhearted', 'softhearted')",1.0961386,1.75949,0.6633514
28,"('disloyal', 'loyal')",0.2373566,-0.0086327,-0.2459893
29,"('unfair', 'fair')",-0.3805088,0.1012614,0.4817702
30,"('intolerant', 'tolerant')",1.0602462,0.6736517,-0.38659449999999995
31,"('evil', 'good')",-0.5634151,-0.2740814,0.28933369999999997
32,"('unkind', 'kind')",2.0344406,1.8822442,-0.1521964
33,"('wrong', 'right')",-0.5107681,0.1364387,0.6472068
34,"('mean', 'honorable')",0.620764,0.2700546,-0.3507094
35,"('corrupt', 'incorrupt')",-2.3241922,-1.5968245,0.7273677000000001
36,"('hostile', 'amicable')",-0.342842,0.3208728,0.6637147999999999
37,"('fake', 'genuine')",0.7151753,0.5591249,-0.15605039999999992
38,"('untruthful', 'truthful')",-0.2649421,-0.2200608,0.04488130000000001
39,"('exploitative', 'cooperative')",-0.181832,0.3129887,0.4948207
40,"('stingy', 'generous')",1.9945281,1.5419398,-0.45258829999999994
41,"('unforgiving', 'forgiving')",1.180363,0.7053851,-0.47497790000000006
42,"('unreliable', 'reliable')",0.9076264,1.1086474,0.2010209999999999
