,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.3369978,0.6109803,-0.7260175
1,"('unfriendly', 'friendly')",1.0798574,1.4609612,0.3811038
2,"('unlikable', 'likable')",1.0067989,0.2295029,-0.777296
3,"('repellent', 'pleasant')",1.1214241,1.2967905,0.17536639999999992
4,"('disliked', 'liked')",-0.5466748,-0.0759617,0.4707131
5,"('distant', 'outgoing')",-0.5163483,-0.0889995,0.4273488
6,"('distant', 'open')",-0.6656933,-0.1845914,0.4811019000000001
7,"('insensitive', 'sensitive')",1.5723431,1.6585547,0.08621159999999994
8,"('unaffectionate', 'affectionate')",0.4383216,0.8978749,0.45955330000000005
9,"('unaffectionate', 'caring')",0.2099122,0.8842663,0.6743541
10,"('unsympathetic', 'sympathetic')",2.0275019,1.3194193,-0.7080825999999998
11,"('unhelpful', 'helpful')",0.7197322,0.1492655,-0.5704667000000001
12,"('unsupportive', 'supportive')",0.3292039,0.9905099,0.6613060000000001
13,"('impolite', 'polite')",0.7608679,0.6217513,-0.13911660000000003
14,"('antisocial', 'social')",0.3185846,0.7390463,0.42046170000000005
15,"('boring', 'funny')",0.479761,0.3196162,-0.16014479999999998
16,"('unpopular', 'popular')",-0.4703397,-0.5037322,-0.033392499999999936
17,"('nasty', 'nice')",-0.4713767,-0.2543138,0.2170629
18,"('disagreeable', 'welcoming')",0.2517984,0.9021114,0.650313
19,"('inhospitable', 'hospitable')",-0.0603656,-0.1967951,-0.1364295
20,"('rough', 'thoughtful')",-0.3920897,-0.0921666,0.2999231
21,"('immoral', 'moral')",1.5131302,0.8233039,-0.6898263
22,"('untrustworthy', 'trustworthy')",1.0289341,1.1010717,0.07213760000000002
23,"('insincere', 'sincere')",1.7001789,1.4511213,-0.2490576
24,"('dishonest', 'honest')",1.6930377,1.4707536,-0.22228409999999998
25,"('egoistic', 'altruistic')",0.6824868,0.7413034,0.0588166
26,"('hardhearted', 'benevolent')",0.3458579,0.8399532,0.49409529999999996
27,"('hardhearted', 'softhearted')",0.7170635,1.4620656,0.7450021000000001
28,"('disloyal', 'loyal')",0.1525955,-0.122409,-0.2750045
29,"('unfair', 'fair')",-0.6839963,-0.164267,0.5197293000000001
30,"('intolerant', 'tolerant')",1.2891217,0.9308117,-0.3583099999999999
31,"('evil', 'good')",-1.0391388,-0.7285938,0.31054499999999996
32,"('unkind', 'kind')",1.9181832,1.8436575,-0.07452570000000014
33,"('wrong', 'right')",-0.6660454,-0.029077,0.6369684
34,"('mean', 'honorable')",0.8666157,0.4252252,-0.44139049999999996
35,"('corrupt', 'incorrupt')",-2.3630167,-1.8267327,0.5362840000000002
36,"('hostile', 'amicable')",-0.2577712,0.2067356,0.4645068
37,"('fake', 'genuine')",1.1482886,0.9148328,-0.2334558000000001
38,"('untruthful', 'truthful')",-0.1800209,-0.1495377,0.030483200000000016
39,"('exploitative', 'cooperative')",-0.1964553,0.3978041,0.5942594
40,"('stingy', 'generous')",1.0260398,0.7098801,-0.31615969999999993
