,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.7821612,0.9111202,-0.871041
1,"('unfriendly', 'friendly')",1.637212,1.8762177,0.2390057000000001
2,"('unlikable', 'likable')",1.1949642,0.3232431,-0.8717211
3,"('repellent', 'pleasant')",1.5429789,1.587011,0.04403209999999991
4,"('disliked', 'liked')",-0.5970787,0.0371033,0.6341819999999999
5,"('distant', 'outgoing')",0.0306284,0.3055204,0.274892
6,"('distant', 'open')",-0.219991,0.1884279,0.40841890000000003
7,"('insensitive', 'sensitive')",2.0938485,1.9495171,-0.1443314
8,"('unaffectionate', 'affectionate')",0.6430916,0.922523,0.2794314
9,"('unaffectionate', 'caring')",0.7760921,1.263422,0.4873299000000001
10,"('unsympathetic', 'sympathetic')",1.927387,1.1054566,-0.8219304000000001
11,"('unhelpful', 'helpful')",0.6738459,0.239877,-0.4339689
12,"('unsupportive', 'supportive')",0.8147924,1.3427891,0.5279967000000001
13,"('impolite', 'polite')",0.7976635,0.3616993,-0.43596419999999997
14,"('antisocial', 'social')",0.3437686,0.6519062,0.3081376
15,"('boring', 'funny')",0.6813624,0.4523526,-0.22900980000000004
16,"('unpopular', 'popular')",-0.1828092,-0.1312642,0.05154500000000001
17,"('nasty', 'nice')",-0.2536713,-0.0154826,0.23818869999999998
18,"('disagreeable', 'welcoming')",0.6555116,1.2919725,0.6364609
19,"('inhospitable', 'hospitable')",0.288215,0.080919,-0.20729599999999998
20,"('rough', 'thoughtful')",-0.5375314,-0.2817522,0.2557792
21,"('immoral', 'moral')",1.4689968,0.5075514,-0.9614454
22,"('untrustworthy', 'trustworthy')",1.1315903,1.0357803,-0.09580999999999995
23,"('insincere', 'sincere')",1.844148,1.4927042,-0.3514438
24,"('dishonest', 'honest')",1.6516468,1.3194746,-0.33217220000000003
25,"('egoistic', 'altruistic')",0.9710282,1.1343903,0.16336209999999995
26,"('hardhearted', 'benevolent')",0.1354292,0.6964012,0.560972
27,"('hardhearted', 'softhearted')",0.9544314,1.64684,0.6924086
28,"('disloyal', 'loyal')",0.102398,-0.1240452,-0.2264432
29,"('unfair', 'fair')",-0.7670254,-0.2077348,0.5592906
30,"('intolerant', 'tolerant')",1.1675763,0.8330077,-0.3345685999999999
31,"('evil', 'good')",-0.9081706,-0.5626449,0.34552570000000005
32,"('unkind', 'kind')",2.2338309,1.9966433,-0.23718760000000016
33,"('wrong', 'right')",-0.5817832,0.1599176,0.7417007999999999
34,"('mean', 'honorable')",0.8560965,0.4003851,-0.45571140000000004
35,"('corrupt', 'incorrupt')",-2.6433467,-1.9382155,0.7051311999999998
36,"('hostile', 'amicable')",-0.5006142,0.0784109,0.5790251
37,"('fake', 'genuine')",0.6405777,0.4285534,-0.21202430000000005
38,"('untruthful', 'truthful')",-0.1290093,0.005483,0.13449229999999998
39,"('exploitative', 'cooperative')",0.1878458,0.7170575,0.5292117000000001
40,"('stingy', 'generous')",1.6182607,1.2326512,-0.38560949999999994
41,"('unforgiving', 'forgiving')",1.1830023,0.7187361,-0.4642662000000001
42,"('unreliable', 'reliable')",0.7237813,0.9483094,0.2245281
43,"('irresponsible', 'responsible')",1.1034772,0.9361481,-0.1673290999999999
44,"('prejudiced', 'unprejudiced')",-1.5713198,-1.8189971,-0.2476773000000001
45,"('incompetent', 'competent')",1.303478,1.1971915,-0.10628649999999995
46,"('uncompetitive', 'competitive')",0.9273199,0.6523414,-0.2749785
47,"('stupid', 'smart')",1.1797629,0.7822184,-0.3975445000000001
48,"('unintelligent', 'intelligent')",1.0856778,0.5770559,-0.5086219000000001
49,"('unable', 'able')",-0.5257926,0.1577952,0.6835878000000001
50,"('clumsy', 'skillful')",-0.4528011,-0.1569318,0.2958693
51,"('uneducated', 'educated')",1.5707955,1.1680865,-0.402709
52,"('irrational', 'rational')",-0.7725144,-0.5225105,0.25000390000000006
53,"('uncreative', 'creative')",0.6676637,1.0056457,0.3379820000000001
54,"('incapable', 'capable')",1.0712275,0.3689072,-0.7023203
55,"('incompetent', 'clever')",1.8126232,1.4825045,-0.3301187000000001
56,"('impractical', 'practical')",1.1279079,1.1915654,0.06365749999999992
57,"('unimaginative', 'imaginative')",1.1355254,0.7754353,-0.36009009999999986
58,"('undiscriminating', 'discriminating')",1.256897,0.9291179,-0.3277790999999999
59,"('foolish', 'wise')",-0.6374466,-0.4329241,0.2045225
60,"('inefficient', 'efficient')",1.2929174,1.3370121,0.04409469999999982
61,"('illogical', 'logical')",0.2223011,0.5817975,0.35949639999999994
62,"('incompetent', 'brilliant')",1.5224707,1.2833358,-0.23913490000000004
63,"('unperceptive', 'insightful')",1.3912768,1.1986212,-0.19265559999999993
64,"('shy', 'confident')",-0.5690338,-1.0209438,-0.4519099999999999
65,"('insecure', 'secure')",1.3441701,0.4603325,-0.8838375999999999
