,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.4889377,0.7503986,-0.7385390999999999
1,"('unfriendly', 'friendly')",1.9579326,1.922447,-0.035485599999999895
2,"('unlikable', 'likable')",1.111714,0.260129,-0.851585
3,"('repellent', 'pleasant')",1.346323,1.5280199,0.18169690000000016
4,"('disliked', 'liked')",-0.4921269,-0.011884,0.4802429
5,"('distant', 'outgoing')",0.1883165,0.3650357,0.17671920000000002
6,"('distant', 'open')",0.1172856,0.3188097,0.20152409999999998
7,"('insensitive', 'sensitive')",2.149455,2.0181676,-0.13128740000000017
8,"('unaffectionate', 'affectionate')",0.843241,0.966454,0.12321300000000002
9,"('unaffectionate', 'caring')",0.9524504,1.3465804,0.39412999999999987
10,"('unsympathetic', 'sympathetic')",1.8160383,1.0927296,-0.7233087
11,"('unhelpful', 'helpful')",0.2787968,0.03287,-0.2459268
12,"('unsupportive', 'supportive')",0.7464935,1.295228,0.5487345
13,"('impolite', 'polite')",0.7404789,0.4634818,-0.27699710000000005
14,"('antisocial', 'social')",0.1708909,0.729244,0.5583530999999999
15,"('boring', 'funny')",0.65045,0.4386635,-0.2117865
16,"('unpopular', 'popular')",-0.230435,-0.310668,-0.080233
17,"('nasty', 'nice')",-0.3366924,-0.0728165,0.2638759
18,"('disagreeable', 'welcoming')",0.5705148,1.1031299,0.5326151000000001
19,"('inhospitable', 'hospitable')",0.3018572,0.0898166,-0.2120406
20,"('rough', 'thoughtful')",-0.1711417,0.0380058,0.20914750000000001
21,"('immoral', 'moral')",1.3233065,0.5675216,-0.7557849
22,"('untrustworthy', 'trustworthy')",1.1170743,1.1043889,-0.012685400000000069
23,"('insincere', 'sincere')",1.5360544,1.2988435,-0.2372109
24,"('dishonest', 'honest')",1.8043939,1.446045,-0.35834889999999997
25,"('egoistic', 'altruistic')",1.0756009,1.1733639,0.09776300000000004
26,"('hardhearted', 'benevolent')",0.4097239,0.8432532,0.43352930000000006
27,"('hardhearted', 'softhearted')",1.0500979,1.6422309,0.592133
28,"('disloyal', 'loyal')",0.0875237,-0.141795,-0.2293187
29,"('unfair', 'fair')",-0.6889694,-0.2233905,0.46557889999999996
30,"('intolerant', 'tolerant')",0.9166967,0.7601523,-0.15654440000000003
31,"('evil', 'good')",-0.7376776,-0.5472482,0.19042940000000008
32,"('unkind', 'kind')",1.926365,1.7445048,-0.18186020000000003
33,"('wrong', 'right')",-0.2323395,0.3747341,0.6070736
34,"('mean', 'honorable')",0.733762,0.299996,-0.43376600000000004
35,"('corrupt', 'incorrupt')",-2.2045351,-1.6773366,0.5271985000000001
36,"('hostile', 'amicable')",-0.1690916,0.0798911,0.2489827
37,"('fake', 'genuine')",1.0414878,0.7953896,-0.24609820000000004
38,"('untruthful', 'truthful')",-0.1415015,-0.0447742,0.0967273
39,"('exploitative', 'cooperative')",0.0812543,0.7095474,0.6282931
40,"('stingy', 'generous')",1.9338467,1.4193122,-0.5145344999999999
41,"('unforgiving', 'forgiving')",1.1720822,0.6035138,-0.5685684
42,"('unreliable', 'reliable')",0.6568485,0.878532,0.22168350000000003
43,"('irresponsible', 'responsible')",0.8622852,0.8350464,-0.027238800000000007
44,"('prejudiced', 'unprejudiced')",-1.6303996,-1.8783128,-0.24791319999999994
45,"('incompetent', 'competent')",1.1567819,1.1561507,-0.0006311999999999429
46,"('uncompetitive', 'competitive')",0.7462267,0.5902283,-0.15599839999999998
47,"('stupid', 'smart')",1.0013645,0.656669,-0.34469550000000004
48,"('unintelligent', 'intelligent')",1.0609455,0.6243718,-0.43657370000000006
49,"('unable', 'able')",-0.841969,-0.1538531,0.6881159
50,"('clumsy', 'skillful')",-0.3667343,-0.2051518,0.16158250000000002
51,"('uneducated', 'educated')",1.5327947,1.2257991,-0.30699560000000004
52,"('irrational', 'rational')",-0.3442106,-0.3580214,-0.013810800000000012
53,"('uncreative', 'creative')",0.7399833,0.9261844,0.1862011
54,"('incapable', 'capable')",0.9760368,0.2518824,-0.7241544
55,"('incompetent', 'clever')",1.5471029,1.4486476,-0.09845530000000013
56,"('impractical', 'practical')",0.9381374,1.1761436,0.23800620000000006
57,"('unimaginative', 'imaginative')",1.0860749,0.6904104,-0.3956645000000001
58,"('undiscriminating', 'discriminating')",1.3336325,0.8266998,-0.5069327
59,"('foolish', 'wise')",-0.5900607,-0.4552145,0.13484619999999997
60,"('inefficient', 'efficient')",0.9684742,1.2174365,0.24896230000000008
61,"('illogical', 'logical')",0.0833712,0.5052654,0.4218942
62,"('incompetent', 'brilliant')",1.2778545,1.2223997,-0.055454799999999915
63,"('unperceptive', 'insightful')",1.2591168,1.054027,-0.20508979999999988
64,"('shy', 'confident')",-0.5148226,-0.9359924,-0.4211697999999999
65,"('insecure', 'secure')",1.010902,0.2868319,-0.7240701
66,"('inactive', 'active')",-1.0011946,-1.0591117,-0.057917100000000055
67,"('doubtful', 'determined')",-1.0843915,-0.9630938,0.12129769999999995
68,"('dependent', 'independent')",-0.6299488,-0.3237683,0.30618049999999997
69,"('lazy', 'industrious')",-2.1687783,-1.3132061,0.8555722000000001
70,"('lethargic', 'energetic')",2.1059096,1.9978154,-0.10809420000000003
71,"('diffident', 'self-confident')",-0.5227782,-0.1007503,0.42202789999999996
72,"('unambitious', 'ambitious')",1.0503754,0.4734607,-0.5769147000000001
73,"('helpless', 'self-reliant')",0.6371549,0.6516534,0.01449850000000008
74,"('undedicated', 'dedicated')",1.0278834,1.9949098,0.9670264000000002
75,"('meek', 'impulsive')",-0.0009982,-0.7167689,-0.7157707000000001
76,"('anxious', 'daring')",1.1273298,0.8100954,-0.3172344
77,"('unmotivated', 'motivated')",-0.0650897,-0.5283975,-0.46330779999999994
78,"('nonresilient', 'resilient')",-0.8958744,-0.3119887,0.5838857
79,"('wavering', 'unwavering')",-0.0877387,-0.29869,-0.2109513
80,"('dominated', 'dominating')",-0.2821368,-0.5131152,-0.23097839999999997
81,"('submissive', 'aggressive')",1.8709153,0.20263,-1.6682853
82,"('poor', 'rich')",2.1887476,1.3268323,-0.8619153000000002
83,"('powerless', 'powerful')",-0.6331986,-0.5436698,0.08952879999999996
84,"('inferior', 'superior')",0.0211103,-0.4178895,-0.43899980000000005
85,"('insignificant', 'prestigious')",-0.4699077,-0.4876832,-0.0177755
86,"('uninfluential', 'influential')",1.4360118,1.493551,0.057539200000000124
87,"('unsuccessful', 'successful')",0.4892877,0.1647474,-0.3245403
88,"('low', 'eminent')",1.0797803,0.6909564,-0.3888238999999999
