,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.6342194,0.7212251,-0.9129943000000001
1,"('unfriendly', 'friendly')",1.6969369,1.8533446,0.15640769999999993
2,"('unlikable', 'likable')",1.218243,0.3241236,-0.8941193999999999
3,"('repellent', 'pleasant')",1.284818,1.4822632,0.1974452
4,"('disliked', 'liked')",-0.2961558,0.1637801,0.45993590000000006
5,"('distant', 'outgoing')",0.3311407,0.4386613,0.10752059999999997
6,"('distant', 'open')",0.1725043,0.4019889,0.22948459999999998
7,"('insensitive', 'sensitive')",1.984714,1.8537673,-0.1309467000000002
8,"('unaffectionate', 'affectionate')",0.7886785,1.0036785,0.21499999999999997
9,"('unaffectionate', 'caring')",0.8695957,1.2881035,0.4185078000000001
10,"('unsympathetic', 'sympathetic')",1.6803434,0.9191607,-0.7611826999999999
11,"('unhelpful', 'helpful')",0.2135208,-0.1785721,-0.3920929
12,"('unsupportive', 'supportive')",0.8936306,1.3292549,0.43562429999999996
13,"('impolite', 'polite')",0.4671001,0.21153,-0.2555701
14,"('antisocial', 'social')",0.2050656,0.6751216,0.47005600000000003
15,"('boring', 'funny')",0.6498521,0.3447169,-0.30513520000000005
16,"('unpopular', 'popular')",-0.1684364,-0.1267999,0.04163649999999999
17,"('nasty', 'nice')",-0.4141836,-0.1873784,0.22680519999999998
18,"('disagreeable', 'welcoming')",0.9567659,1.4768906,0.5201247
19,"('inhospitable', 'hospitable')",0.2364901,-0.008106,-0.2445961
20,"('rough', 'thoughtful')",-0.4389618,-0.0408079,0.3981539
21,"('immoral', 'moral')",1.3193651,0.5800291,-0.739336
22,"('untrustworthy', 'trustworthy')",1.2677225,1.1212276,-0.14649489999999998
23,"('insincere', 'sincere')",1.4763648,1.1739642,-0.30240060000000013
24,"('dishonest', 'honest')",1.5761025,1.3031954,-0.27290710000000007
25,"('egoistic', 'altruistic')",0.9415289,1.0672242,0.12569530000000007
26,"('hardhearted', 'benevolent')",0.3744277,0.879523,0.5050953
27,"('hardhearted', 'softhearted')",1.0412367,1.7047583,0.6635215999999999
28,"('disloyal', 'loyal')",0.0295686,-0.1717482,-0.2013168
29,"('unfair', 'fair')",-0.5856408,-0.104444,0.4811968
30,"('intolerant', 'tolerant')",0.9216693,0.5478715,-0.37379780000000007
31,"('evil', 'good')",-0.6441263,-0.3432275,0.3008988
32,"('unkind', 'kind')",1.9593255,1.9108615,-0.04846400000000006
33,"('wrong', 'right')",-0.3164026,0.3150274,0.6314299999999999
34,"('mean', 'honorable')",0.6278949,0.1865728,-0.44132210000000005
35,"('corrupt', 'incorrupt')",-2.3271857,-1.6138948,0.7132908999999998
36,"('hostile', 'amicable')",-0.1772486,0.364451,0.5416996000000001
37,"('fake', 'genuine')",0.7774844,0.6177032,-0.15978119999999996
38,"('untruthful', 'truthful')",-0.4296826,-0.3606176,0.06906500000000004
39,"('exploitative', 'cooperative')",0.1558055,0.7611521,0.6053466
40,"('stingy', 'generous')",1.9252038,1.35643,-0.5687738
41,"('unforgiving', 'forgiving')",1.131619,0.5921986,-0.5394203999999999
42,"('unreliable', 'reliable')",0.9203917,1.1066607,0.1862689999999999
43,"('irresponsible', 'responsible')",0.9570685,0.8168564,-0.14021209999999995
44,"('prejudiced', 'unprejudiced')",-1.5170475,-1.7146897,-0.1976422
45,"('incompetent', 'competent')",1.0390032,0.8697074,-0.1692958
46,"('uncompetitive', 'competitive')",0.8171512,0.6073306,-0.2098205999999999
47,"('stupid', 'smart')",0.9930545,0.6452101,-0.34784439999999994
48,"('unintelligent', 'intelligent')",1.0317676,0.5463874,-0.48538020000000004
49,"('unable', 'able')",-0.5422345,0.1285555,0.67079
50,"('clumsy', 'skillful')",-0.3272152,-0.0258241,0.30139109999999997
51,"('uneducated', 'educated')",1.4472625,1.1400447,-0.3072177999999999
52,"('irrational', 'rational')",-0.4340682,-0.2094997,0.2245685
53,"('uncreative', 'creative')",0.7334509,1.0385487,0.3050978
54,"('incapable', 'capable')",1.1540777,0.4500137,-0.704064
55,"('incompetent', 'clever')",1.7207391,1.445983,-0.27475610000000006
56,"('impractical', 'practical')",0.7070999,0.8200924,0.11299250000000005
57,"('unimaginative', 'imaginative')",1.1699225,0.727891,-0.4420315
58,"('undiscriminating', 'discriminating')",1.3543818,0.9188817,-0.43550010000000006
59,"('foolish', 'wise')",-0.4204526,-0.2814609,0.1389917
60,"('inefficient', 'efficient')",0.9074685,0.9646565,0.05718800000000002
61,"('illogical', 'logical')",0.3378391,0.74675,0.4089109
62,"('incompetent', 'brilliant')",1.1849445,0.8528841,-0.33206040000000003
63,"('unperceptive', 'insightful')",1.2347968,0.9483012,-0.2864956000000001
64,"('shy', 'confident')",-0.1355566,-0.6279747,-0.49241809999999997
65,"('insecure', 'secure')",1.3787482,0.6301134,-0.7486347999999999
66,"('inactive', 'active')",-1.2235575,-1.1359194,0.08763810000000016
67,"('doubtful', 'determined')",-0.7906332,-0.8123865,-0.021753299999999975
68,"('dependent', 'independent')",-0.2049878,0.1252408,0.3302286
69,"('lazy', 'industrious')",-2.072614,-1.0730497,0.9995643000000001
70,"('lethargic', 'energetic')",2.2092638,1.940929,-0.2683348000000001
71,"('diffident', 'self-confident')",-0.4213597,-0.2084309,0.2129288
72,"('unambitious', 'ambitious')",1.051387,0.4897484,-0.5616386000000001
73,"('helpless', 'self-reliant')",0.5913512,0.5850138,-0.0063373999999999375
74,"('undedicated', 'dedicated')",1.0310552,1.9272881,0.8962329
75,"('meek', 'impulsive')",-0.1666126,-0.762547,-0.5959344
76,"('anxious', 'daring')",1.2512957,0.805389,-0.4459067
77,"('unmotivated', 'motivated')",0.161869,-0.4032571,-0.5651261
78,"('nonresilient', 'resilient')",-0.7586982,-0.2285625,0.5301357
79,"('wavering', 'unwavering')",-0.1009721,-0.212975,-0.1120029
80,"('dominated', 'dominating')",-0.3855573,-0.6903349,-0.3047776
81,"('submissive', 'aggressive')",2.1173503,0.2648856,-1.8524647
82,"('poor', 'rich')",1.8534226,1.1408135,-0.7126091000000001
83,"('powerless', 'powerful')",-0.7194601,-0.6816239,0.0378362000000001
84,"('inferior', 'superior')",0.2693438,-0.0755126,-0.3448564
85,"('insignificant', 'prestigious')",-0.58959,-0.370063,0.21952699999999997
86,"('uninfluential', 'influential')",1.4010659,1.4123788,0.011312899999999848
87,"('unsuccessful', 'successful')",0.3976522,0.0350057,-0.3626465
88,"('low', 'eminent')",1.0478044,0.8294463,-0.2183581
