,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.7753412,0.9253713,-0.8499699
1,"('unfriendly', 'friendly')",1.7236667,1.8437018,0.12003509999999995
2,"('unlikable', 'likable')",1.2233322,0.3878916,-0.8354406
3,"('repellent', 'pleasant')",1.6086231,1.6336518,0.025028700000000015
4,"('disliked', 'liked')",-0.5166545,-0.0022943,0.5143602
5,"('distant', 'outgoing')",0.0887071,0.2921306,0.20342350000000003
6,"('distant', 'open')",-0.1370307,0.1970872,0.33411789999999997
7,"('insensitive', 'sensitive')",2.0085842,1.861006,-0.1475782000000001
8,"('unaffectionate', 'affectionate')",0.8021503,1.010696,0.20854570000000006
9,"('unaffectionate', 'caring')",0.9405494,1.3304843,0.3899349
10,"('unsympathetic', 'sympathetic')",1.9406812,1.1631808,-0.7775004000000001
11,"('unhelpful', 'helpful')",0.5527134,0.1490045,-0.40370890000000004
12,"('unsupportive', 'supportive')",0.7484579,1.1691619,0.42070399999999997
13,"('impolite', 'polite')",0.7381548,0.3909591,-0.3471957
14,"('antisocial', 'social')",0.3670999,0.7341588,0.3670589
15,"('boring', 'funny')",0.5737347,0.369915,-0.20381970000000005
16,"('unpopular', 'popular')",-0.1463833,-0.1894792,-0.04309589999999999
17,"('nasty', 'nice')",-0.2627122,-0.0402809,0.2224313
18,"('disagreeable', 'welcoming')",0.6356049,1.1842311,0.5486262000000001
19,"('inhospitable', 'hospitable')",0.1928763,-0.0226243,-0.2155006
20,"('rough', 'thoughtful')",-0.4386443,-0.1472679,0.2913764
21,"('immoral', 'moral')",1.4572414,0.5953963,-0.8618451
22,"('untrustworthy', 'trustworthy')",1.1074606,0.9738895,-0.13357110000000005
23,"('insincere', 'sincere')",1.8934391,1.5547237,-0.3387153999999999
24,"('dishonest', 'honest')",1.6176894,1.3031118,-0.3145776
25,"('egoistic', 'altruistic')",0.9365179,1.0395878,0.10306990000000005
26,"('hardhearted', 'benevolent')",0.2601585,0.8286098,0.5684513
27,"('hardhearted', 'softhearted')",0.9195789,1.5925514,0.6729725000000001
28,"('disloyal', 'loyal')",0.0686134,-0.1875877,-0.2562011
29,"('unfair', 'fair')",-0.8728723,-0.4195207,0.4533516
30,"('intolerant', 'tolerant')",1.2349187,0.8992811,-0.33563759999999987
31,"('evil', 'good')",-1.0418006,-0.7952046,0.24659599999999993
32,"('unkind', 'kind')",2.1948179,2.0241699,-0.1706479999999999
33,"('wrong', 'right')",-0.5819708,0.0734268,0.6553976
34,"('mean', 'honorable')",0.9508443,0.4610235,-0.4898208
35,"('corrupt', 'incorrupt')",-2.6191764,-1.9555638,0.6636126000000002
36,"('hostile', 'amicable')",-0.3616907,0.1531897,0.5148804
37,"('fake', 'genuine')",0.7534219,0.57258,-0.1808419
38,"('untruthful', 'truthful')",-0.1627626,-0.1157171,0.047045500000000004
39,"('exploitative', 'cooperative')",0.0941178,0.6444659,0.5503481
40,"('stingy', 'generous')",1.6634283,1.1751882,-0.48824010000000007
41,"('unforgiving', 'forgiving')",1.122514,0.6201897,-0.5023243000000001
42,"('unreliable', 'reliable')",0.7234636,0.9231451,0.19968150000000007
43,"('irresponsible', 'responsible')",1.0993065,0.9682375,-0.131069
44,"('prejudiced', 'unprejudiced')",-1.552525,-1.716167,-0.16364200000000007
45,"('incompetent', 'competent')",1.1694806,1.0534834,-0.11599720000000002
46,"('uncompetitive', 'competitive')",0.8797147,0.6299368,-0.2497779
47,"('stupid', 'smart')",1.1901399,0.8958028,-0.2943370999999999
48,"('unintelligent', 'intelligent')",1.0699021,0.6470026,-0.4228995
49,"('unable', 'able')",-0.5730965,0.1493825,0.722479
50,"('clumsy', 'skillful')",-0.4365669,-0.1316778,0.30488909999999997
51,"('uneducated', 'educated')",1.5726012,1.1949508,-0.37765040000000005
52,"('irrational', 'rational')",-0.6372628,-0.4310228,0.20624000000000003
53,"('uncreative', 'creative')",0.5637994,0.8533084,0.289509
54,"('incapable', 'capable')",1.0071163,0.3719015,-0.6352148000000001
55,"('incompetent', 'clever')",1.7820698,1.5037012,-0.27836859999999986
56,"('impractical', 'practical')",1.0704227,1.2012913,0.1308686000000001
57,"('unimaginative', 'imaginative')",1.0764581,0.6979316,-0.3785265
58,"('undiscriminating', 'discriminating')",1.2274906,0.8020598,-0.4254308000000001
59,"('foolish', 'wise')",-0.6948005,-0.4706123,0.22418820000000006
60,"('inefficient', 'efficient')",1.1979949,1.3176983,0.1197033999999999
61,"('illogical', 'logical')",0.2005112,0.5274704,0.3269592
62,"('incompetent', 'brilliant')",1.4462367,1.2383964,-0.20784029999999998
63,"('unperceptive', 'insightful')",1.3893611,1.109713,-0.27964809999999996
64,"('shy', 'confident')",-0.5382362,-0.9765564,-0.43832019999999994
65,"('insecure', 'secure')",1.2605411,0.4795352,-0.7810059
66,"('inactive', 'active')",-1.4015911,-1.3772653,0.024325800000000175
67,"('doubtful', 'determined')",-0.8349292,-0.8522418,-0.01731260000000001
68,"('dependent', 'independent')",-0.4968454,-0.2153377,0.2815077
