,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.6163426,0.6982466,-0.918096
1,"('unfriendly', 'friendly')",1.7902853,1.9885849,0.1982995999999999
2,"('unlikable', 'likable')",0.9906525,0.26902,-0.7216325000000001
3,"('repellent', 'pleasant')",1.2752927,1.347205,0.07191229999999993
4,"('disliked', 'liked')",-0.455547,0.0561173,0.5116643
5,"('distant', 'outgoing')",0.1721166,0.4524075,0.2802909
6,"('distant', 'open')",0.0569093,0.4113677,0.3544584
7,"('insensitive', 'sensitive')",2.0041666,1.8615179,-0.14264870000000007
8,"('unaffectionate', 'affectionate')",0.839361,1.107325,0.26796399999999987
9,"('unaffectionate', 'caring')",0.8668309,1.263886,0.3970551000000001
10,"('unsympathetic', 'sympathetic')",1.6592074,0.8738057,-0.7854017000000001
11,"('unhelpful', 'helpful')",0.1694434,-0.1797178,-0.3491612
12,"('unsupportive', 'supportive')",0.870798,1.2002691,0.3294711000000001
13,"('impolite', 'polite')",0.381858,0.0432875,-0.3385705
14,"('antisocial', 'social')",0.194827,0.5420035,0.3471765
15,"('boring', 'funny')",0.6450355,0.4500759,-0.1949596
16,"('unpopular', 'popular')",-0.5892261,-0.4994637,0.08976239999999996
17,"('nasty', 'nice')",-0.5956114,-0.2925645,0.3030469
18,"('disagreeable', 'welcoming')",0.7347617,1.2146108,0.47984910000000003
19,"('inhospitable', 'hospitable')",-0.0153856,-0.0617431,-0.0463575
20,"('rough', 'thoughtful')",-0.1640503,0.1073442,0.2713945
21,"('immoral', 'moral')",1.2696459,0.544813,-0.7248329
22,"('untrustworthy', 'trustworthy')",1.1102295,0.9397825,-0.17044700000000002
23,"('insincere', 'sincere')",1.4807275,1.1730634,-0.3076641
24,"('dishonest', 'honest')",1.5653772,1.2906935,-0.2746837
25,"('egoistic', 'altruistic')",0.8823945,1.0826902,0.20029570000000008
26,"('hardhearted', 'benevolent')",0.2586785,0.6608712,0.4021927
27,"('hardhearted', 'softhearted')",1.090572,1.707174,0.6166019999999999
28,"('disloyal', 'loyal')",0.182445,-0.0330476,-0.2154926
29,"('unfair', 'fair')",-0.3880686,0.0520962,0.44016479999999997
30,"('intolerant', 'tolerant')",0.9649737,0.590105,-0.37486870000000005
31,"('evil', 'good')",-0.549112,-0.3318094,0.21730260000000007
32,"('unkind', 'kind')",1.8656489,1.806512,-0.05913690000000016
33,"('wrong', 'right')",-0.4443157,0.0857882,0.5301039
34,"('mean', 'honorable')",0.3072819,-0.0073999,-0.3146818
35,"('corrupt', 'incorrupt')",-2.3954778,-1.5896408,0.8058370000000001
36,"('hostile', 'amicable')",-0.2754961,0.3148263,0.5903224
37,"('fake', 'genuine')",0.9212856,0.8050395,-0.11624610000000002
38,"('untruthful', 'truthful')",-0.4020815,-0.3236442,0.07843729999999999
39,"('exploitative', 'cooperative')",-0.0769335,0.5491346,0.6260681
40,"('stingy', 'generous')",2.048268,1.5125143,-0.5357537000000001
41,"('unforgiving', 'forgiving')",1.0853859,0.5599196,-0.5254662999999999
42,"('unreliable', 'reliable')",0.9462487,1.159048,0.21279930000000002
43,"('irresponsible', 'responsible')",0.9023936,0.761748,-0.14064560000000004
44,"('prejudiced', 'unprejudiced')",-1.5766799,-1.6253975,-0.04871760000000003
45,"('incompetent', 'competent')",0.8682826,0.7387123,-0.12957030000000003
46,"('uncompetitive', 'competitive')",0.7828172,0.5176479,-0.26516929999999994
47,"('stupid', 'smart')",0.8464584,0.5174803,-0.32897810000000005
48,"('unintelligent', 'intelligent')",1.1280001,0.7212315,-0.4067685999999999
49,"('unable', 'able')",-0.7043203,-0.0404639,0.6638564
50,"('clumsy', 'skillful')",-0.4752323,-0.1101581,0.3650742
51,"('uneducated', 'educated')",1.2673799,0.9932344,-0.27414549999999993
52,"('irrational', 'rational')",-0.4537236,-0.1581565,0.29556709999999997
53,"('uncreative', 'creative')",0.6573454,0.9240714,0.266726
54,"('incapable', 'capable')",1.0592583,0.529711,-0.5295472999999999
55,"('incompetent', 'clever')",1.7734794,1.4321569,-0.3413225
56,"('impractical', 'practical')",0.7576204,0.8469465,0.08932610000000007
57,"('unimaginative', 'imaginative')",1.0610668,0.6347604,-0.4263064000000001
58,"('undiscriminating', 'discriminating')",1.4900917,0.9785003,-0.5115914
59,"('foolish', 'wise')",-0.5705655,-0.3380308,0.23253469999999993
60,"('inefficient', 'efficient')",0.9882095,0.9896049,0.0013954000000000466
61,"('illogical', 'logical')",0.2648221,0.6791583,0.4143362
62,"('incompetent', 'brilliant')",1.1195918,0.9107208,-0.20887100000000003
63,"('unperceptive', 'insightful')",1.0898911,0.7861636,-0.30372750000000004
64,"('shy', 'confident')",-0.1724035,-0.6136557,-0.44125220000000004
65,"('insecure', 'secure')",1.3773792,0.6066451,-0.7707341
66,"('inactive', 'active')",-1.3731511,-1.2644227,0.10872840000000017
67,"('doubtful', 'determined')",-0.9029713,-0.8479161,0.05505520000000008
68,"('dependent', 'independent')",-0.2244137,-0.0264613,0.1979524
69,"('lazy', 'industrious')",-2.2131364,-1.1661254,1.0470109999999997
70,"('lethargic', 'energetic')",2.1273726,1.8453911,-0.2819815000000001
71,"('diffident', 'self-confident')",-0.6879692,-0.3698582,0.3181109999999999
72,"('unambitious', 'ambitious')",1.1087659,0.4424441,-0.6663218000000001
73,"('helpless', 'self-reliant')",0.8068791,0.7596621,-0.04721699999999995
74,"('undedicated', 'dedicated')",1.0103576,1.8209928,0.8106351999999999
75,"('meek', 'impulsive')",-0.3179681,-0.7729411,-0.45497300000000007
76,"('anxious', 'daring')",1.2738504,0.8856895,-0.3881608999999999
77,"('unmotivated', 'motivated')",0.1427531,-0.4505171,-0.5932702
78,"('nonresilient', 'resilient')",-0.7435049,-0.2637708,0.4797341
79,"('wavering', 'unwavering')",-0.3401452,-0.3367667,0.0033785000000000065
80,"('dominated', 'dominating')",-0.2435111,-0.5876442,-0.34413309999999997
81,"('submissive', 'aggressive')",2.1668536,0.414904,-1.7519496
82,"('poor', 'rich')",1.686188,1.0856278,-0.6005602000000001
83,"('powerless', 'powerful')",-0.6267318,-0.6684342,-0.04170240000000003
84,"('inferior', 'superior')",0.2419152,-0.1086326,-0.35054779999999996
85,"('insignificant', 'prestigious')",-0.8624246,-0.5784214,0.2840032
86,"('uninfluential', 'influential')",1.2058205,1.1606754,-0.04514510000000005
87,"('unsuccessful', 'successful')",0.0464638,-0.1616505,-0.2081143
88,"('low', 'eminent')",0.8631099,0.7536885,-0.1094214
