,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.7100992,0.835865,-0.8742342
1,"('unfriendly', 'friendly')",1.5524243,1.7948883,0.242464
2,"('unlikable', 'likable')",1.0756734,0.2994381,-0.7762353
3,"('repellent', 'pleasant')",1.1280218,1.3089013,0.18087950000000008
4,"('disliked', 'liked')",-0.5717693,-0.0706187,0.5011506
5,"('distant', 'outgoing')",0.1636287,0.3536509,0.1900222
6,"('distant', 'open')",-0.0100814,0.2601152,0.2701966
7,"('insensitive', 'sensitive')",1.7526423,1.6676678,-0.08497449999999995
8,"('unaffectionate', 'affectionate')",0.7083732,0.9209948,0.21262159999999997
9,"('unaffectionate', 'caring')",0.6838472,1.0984828,0.4146356
10,"('unsympathetic', 'sympathetic')",1.5683805,0.8777773,-0.6906032
11,"('unhelpful', 'helpful')",0.1625887,-0.1599682,-0.32255690000000004
12,"('unsupportive', 'supportive')",0.8137163,1.1383603,0.32464400000000004
13,"('impolite', 'polite')",0.416002,0.1720841,-0.2439179
14,"('antisocial', 'social')",0.3231534,0.7002868,0.3771334
15,"('boring', 'funny')",0.5809973,0.3334259,-0.24757140000000005
16,"('unpopular', 'popular')",-0.6194194,-0.4356254,0.18379399999999996
17,"('nasty', 'nice')",-0.59402,-0.2912377,0.3027823
18,"('disagreeable', 'welcoming')",0.7679268,1.1806109,0.4126841
19,"('inhospitable', 'hospitable')",-0.0945809,-0.1444993,-0.0499184
20,"('rough', 'thoughtful')",-0.3318201,0.0737339,0.405554
21,"('immoral', 'moral')",1.2437688,0.6004706,-0.6432982
22,"('untrustworthy', 'trustworthy')",1.1367634,1.0017689,-0.1349944999999999
23,"('insincere', 'sincere')",1.4131767,1.1415358,-0.27164089999999996
24,"('dishonest', 'honest')",1.337343,1.1453512,-0.19199180000000005
25,"('egoistic', 'altruistic')",0.9156211,1.0500003,0.13437920000000003
26,"('hardhearted', 'benevolent')",0.3210966,0.7196403,0.3985437
27,"('hardhearted', 'softhearted')",0.9229182,1.5588498,0.6359315999999999
28,"('disloyal', 'loyal')",0.0764002,-0.112913,-0.18931320000000001
29,"('unfair', 'fair')",-0.4368238,0.0121202,0.448944
