,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.4880297,0.558163,-0.9298667
1,"('unfriendly', 'friendly')",1.2967998,1.5739993,0.27719950000000004
2,"('unlikable', 'likable')",1.0472266,0.2172426,-0.8299839999999998
3,"('repellent', 'pleasant')",1.2322663,1.2572142,0.024947899999999912
4,"('disliked', 'liked')",-0.6435899,-0.1318209,0.511769
5,"('distant', 'outgoing')",-0.3068478,0.1405344,0.4473822
6,"('distant', 'open')",-0.48548,0.0059696,0.49144960000000004
7,"('insensitive', 'sensitive')",1.9008844,1.7522702,-0.14861419999999992
8,"('unaffectionate', 'affectionate')",0.475542,0.7595092,0.2839672
9,"('unaffectionate', 'caring')",0.5002971,1.0013076,0.5010105
10,"('unsympathetic', 'sympathetic')",1.7035765,0.8525291,-0.8510474
11,"('unhelpful', 'helpful')",0.5160434,0.0126093,-0.5034341
12,"('unsupportive', 'supportive')",0.6858547,1.0989204,0.41306569999999987
13,"('impolite', 'polite')",0.752068,0.3288321,-0.42323589999999994
14,"('antisocial', 'social')",0.5727691,0.8631805,0.2904114
15,"('boring', 'funny')",0.6565375,0.4386798,-0.2178577
16,"('unpopular', 'popular')",-0.4514523,-0.4322125,0.019239799999999974
17,"('nasty', 'nice')",-0.5300701,-0.1735618,0.3565083
18,"('disagreeable', 'welcoming')",0.5800904,1.1793526,0.5992622000000001
19,"('inhospitable', 'hospitable')",-0.1141698,-0.1238066,-0.009636800000000001
20,"('rough', 'thoughtful')",-0.2765594,-0.0625057,0.2140537
21,"('immoral', 'moral')",1.4997525,0.6372972,-0.8624553
22,"('untrustworthy', 'trustworthy')",1.3243958,1.1980268,-0.12636899999999995
23,"('insincere', 'sincere')",1.5954356,1.2182627,-0.37717290000000014
24,"('dishonest', 'honest')",1.6611202,1.2678161,-0.39330410000000016
25,"('egoistic', 'altruistic')",0.805476,0.955906,0.15043000000000006
26,"('hardhearted', 'benevolent')",0.261561,0.7750249,0.5134639000000001
27,"('hardhearted', 'softhearted')",0.7684429,1.4114656,0.6430227000000001
28,"('disloyal', 'loyal')",-0.2167542,-0.567114,-0.3503598
29,"('unfair', 'fair')",-0.6304567,-0.2274453,0.4030114
30,"('intolerant', 'tolerant')",1.133049,0.7412323,-0.3918167
31,"('evil', 'good')",-0.9400462,-0.5761571,0.3638891000000001
32,"('unkind', 'kind')",1.8966542,1.7373864,-0.15926779999999985
33,"('wrong', 'right')",-0.4860943,0.1770768,0.6631711
34,"('mean', 'honorable')",0.5340388,0.1129954,-0.42104340000000007
35,"('corrupt', 'incorrupt')",-2.6476167,-1.8267871,0.8208295999999999
36,"('hostile', 'amicable')",-0.6067806,-0.0127105,0.5940701
37,"('fake', 'genuine')",0.7898384,0.5965391,-0.19329930000000006
38,"('untruthful', 'truthful')",-0.2369022,-0.2131837,0.023718500000000003
39,"('exploitative', 'cooperative')",0.1523324,0.7926404,0.640308
40,"('stingy', 'generous')",1.6928698,1.1142203,-0.5786495
41,"('unforgiving', 'forgiving')",1.0825938,0.4972022,-0.5853915999999999
42,"('unreliable', 'reliable')",0.8183412,0.9287885,0.11044730000000003
43,"('irresponsible', 'responsible')",0.9765479,0.7813759,-0.195172
44,"('prejudiced', 'unprejudiced')",-1.4094996,-1.4532514,-0.04375180000000012
45,"('incompetent', 'competent')",0.9914985,0.8060143,-0.1854842
46,"('uncompetitive', 'competitive')",0.9757557,0.577609,-0.39814669999999996
47,"('stupid', 'smart')",1.006448,0.6280006,-0.3784474
48,"('unintelligent', 'intelligent')",0.9952699,0.4582102,-0.5370597
49,"('unable', 'able')",-0.9945734,-0.2727935,0.7217799
50,"('clumsy', 'skillful')",-0.4764463,-0.2000413,0.276405
51,"('uneducated', 'educated')",1.726486,1.2434492,-0.48303680000000004
52,"('irrational', 'rational')",-0.6005308,-0.3368631,0.2636677
53,"('uncreative', 'creative')",0.5306223,0.7775951,0.2469728
54,"('incapable', 'capable')",0.6250915,0.1362481,-0.48884340000000004
55,"('incompetent', 'clever')",2.012865,1.5470204,-0.46584460000000005
56,"('impractical', 'practical')",0.8101402,0.9176615,0.10752130000000004
57,"('unimaginative', 'imaginative')",1.1292257,0.5851341,-0.5440916000000001
58,"('undiscriminating', 'discriminating')",1.235244,0.7048034,-0.5304406
59,"('foolish', 'wise')",-0.8850425,-0.6306378,0.25440469999999993
60,"('inefficient', 'efficient')",1.3319307,1.3535479,0.021617199999999892
61,"('illogical', 'logical')",0.0738623,0.4507711,0.3769088
62,"('incompetent', 'brilliant')",1.2352142,1.0356081,-0.1996061
63,"('unperceptive', 'insightful')",1.1445885,0.833094,-0.3114945
64,"('shy', 'confident')",-0.0988611,-0.6264366,-0.5275755
65,"('insecure', 'secure')",1.6080484,0.6650969,-0.9429514999999999
66,"('inactive', 'active')",-1.5496867,-1.4258118,0.12387490000000012
67,"('doubtful', 'determined')",-1.1671676,-1.0438164,0.12335119999999988
68,"('dependent', 'independent')",-0.4574188,-0.1976213,0.2597975
69,"('lazy', 'industrious')",-2.3027052,-1.231564,1.0711412
70,"('lethargic', 'energetic')",2.1169381,1.8196074,-0.29733070000000006
71,"('diffident', 'self-confident')",-0.7338953,-0.3313389,0.40255640000000004
72,"('unambitious', 'ambitious')",1.0787869,0.5086629,-0.5701240000000001
73,"('helpless', 'self-reliant')",0.477311,0.5120556,0.03474460000000007
74,"('undedicated', 'dedicated')",0.8077303,1.624059,0.8163286999999999
75,"('meek', 'impulsive')",-0.246917,-0.754093,-0.5071760000000001
76,"('anxious', 'daring')",1.5247971,1.06477,-0.4600271
77,"('unmotivated', 'motivated')",0.051696,-0.5385125,-0.5902084999999999
78,"('nonresilient', 'resilient')",-0.9270058,-0.3765406,0.5504652
79,"('wavering', 'unwavering')",-0.4050588,-0.4268793,-0.02182050000000002
80,"('dominated', 'dominating')",0.0093267,-0.4373553,-0.446682
81,"('submissive', 'aggressive')",2.1876989,0.2802981,-1.9074008
82,"('poor', 'rich')",1.6922177,1.0087466,-0.6834711
83,"('powerless', 'powerful')",-0.7142178,-0.7320516,-0.01783380000000001
84,"('inferior', 'superior')",0.0115299,-0.4554667,-0.4669966
85,"('insignificant', 'prestigious')",-0.9503538,-0.7195237,0.23083010000000004
