,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.6264145,0.7481406,-0.8782739
1,"('unfriendly', 'friendly')",1.4770025,1.6756144,0.19861189999999995
2,"('unlikable', 'likable')",1.0755286,0.1752072,-0.9003213999999999
3,"('repellent', 'pleasant')",1.1780035,1.2904196,0.11241610000000013
4,"('disliked', 'liked')",-0.5118785,0.0179623,0.5298408
5,"('distant', 'outgoing')",0.0342889,0.3729644,0.33867549999999996
6,"('distant', 'open')",-0.2488257,0.1275142,0.3763399
7,"('insensitive', 'sensitive')",2.0214988,1.8953865,-0.12611229999999973
8,"('unaffectionate', 'affectionate')",0.6014809,0.816595,0.21511409999999997
9,"('unaffectionate', 'caring')",0.6523152,1.0839821,0.4316669000000001
10,"('unsympathetic', 'sympathetic')",1.7789586,0.9841569,-0.7948016999999999
11,"('unhelpful', 'helpful')",0.5943653,0.1623931,-0.4319722
12,"('unsupportive', 'supportive')",0.8910539,1.314991,0.42393710000000007
13,"('impolite', 'polite')",0.8811623,0.5670205,-0.3141417999999999
14,"('antisocial', 'social')",0.5532922,0.975464,0.4221718
15,"('boring', 'funny')",0.6782337,0.4279849,-0.25024880000000005
16,"('unpopular', 'popular')",-0.554229,-0.4887777,0.06545129999999999
17,"('nasty', 'nice')",-0.4389665,-0.0824071,0.35655939999999997
18,"('disagreeable', 'welcoming')",0.6258184,1.1670627,0.5412443
19,"('inhospitable', 'hospitable')",0.1207328,0.0975874,-0.023145399999999997
20,"('rough', 'thoughtful')",-0.2156794,0.0091255,0.2248049
21,"('immoral', 'moral')",1.4743208,0.6717263,-0.8025945000000001
22,"('untrustworthy', 'trustworthy')",1.3767523,1.2786786,-0.09807369999999982
23,"('insincere', 'sincere')",1.5519165,1.2107137,-0.34120280000000003
24,"('dishonest', 'honest')",1.6656222,1.380479,-0.28514320000000004
25,"('egoistic', 'altruistic')",0.9202466,1.0561451,0.13589849999999992
26,"('hardhearted', 'benevolent')",0.3064406,0.7529338,0.4464932
27,"('hardhearted', 'softhearted')",0.7800313,1.4258346,0.6458033
28,"('disloyal', 'loyal')",-0.1254123,-0.4362749,-0.3108626
29,"('unfair', 'fair')",-0.6276343,-0.2113956,0.41623869999999996
30,"('intolerant', 'tolerant')",1.2199186,0.8482536,-0.3716649999999999
31,"('evil', 'good')",-0.77602,-0.5050527,0.2709673
32,"('unkind', 'kind')",1.7589717,1.6322932,-0.12667849999999992
33,"('wrong', 'right')",-0.3794719,0.2735165,0.6529883999999999
34,"('mean', 'honorable')",0.5848079,0.2276124,-0.35719550000000005
35,"('corrupt', 'incorrupt')",-2.4955874,-1.7745903,0.7209970999999997
36,"('hostile', 'amicable')",-0.5080477,-0.0908957,0.41715199999999997
37,"('fake', 'genuine')",0.9214338,0.7319669,-0.1894669
38,"('untruthful', 'truthful')",-0.1486472,-0.1075385,0.04110870000000001
39,"('exploitative', 'cooperative')",0.2766913,0.9210438,0.6443525
40,"('stingy', 'generous')",1.861022,1.2629057,-0.5981163
41,"('unforgiving', 'forgiving')",1.1906848,0.6221182,-0.5685666000000001
42,"('unreliable', 'reliable')",0.7345089,0.8786453,0.14413639999999994
43,"('irresponsible', 'responsible')",1.0277389,0.8113784,-0.21636049999999984
44,"('prejudiced', 'unprejudiced')",-1.5553796,-1.7020592,-0.14667960000000013
45,"('incompetent', 'competent')",1.1546483,1.1119314,-0.04271690000000006
46,"('uncompetitive', 'competitive')",1.0580057,0.7974545,-0.2605512000000001
47,"('stupid', 'smart')",0.9830117,0.5776549,-0.4053568000000001
48,"('unintelligent', 'intelligent')",0.9942264,0.4771967,-0.5170296999999999
49,"('unable', 'able')",-0.9533108,-0.2213921,0.7319187
50,"('clumsy', 'skillful')",-0.6007625,-0.3493565,0.25140599999999996
51,"('uneducated', 'educated')",1.6609398,1.3015394,-0.35940039999999995
52,"('irrational', 'rational')",-0.531616,-0.4111887,0.12042729999999996
53,"('uncreative', 'creative')",0.6313196,0.8430735,0.21175390000000005
54,"('incapable', 'capable')",0.6786075,0.0728279,-0.6057796
55,"('incompetent', 'clever')",1.9350951,1.5777226,-0.3573725000000001
56,"('impractical', 'practical')",1.0326732,1.2005232,0.16784999999999983
57,"('unimaginative', 'imaginative')",1.2948624,0.7310371,-0.5638253
58,"('undiscriminating', 'discriminating')",1.2234646,0.6855976,-0.537867
59,"('foolish', 'wise')",-0.7800858,-0.6346657,0.14542010000000005
60,"('inefficient', 'efficient')",1.4705541,1.5291875,0.05863339999999995
61,"('illogical', 'logical')",0.1636423,0.5383678,0.37472549999999993
62,"('incompetent', 'brilliant')",1.3454406,1.2181072,-0.12733340000000015
63,"('unperceptive', 'insightful')",1.3027922,1.0590195,-0.24377270000000006
64,"('shy', 'confident')",-0.1005543,-0.6440291,-0.5434748
65,"('insecure', 'secure')",1.5202501,0.5018377,-1.0184123999999999
66,"('inactive', 'active')",-1.59166,-1.4830897,0.10857030000000001
67,"('doubtful', 'determined')",-0.9439135,-0.7894258,0.1544877
68,"('dependent', 'independent')",-0.5580361,-0.2838566,0.2741795
69,"('lazy', 'industrious')",-2.2758308,-1.3382011,0.9376297
70,"('lethargic', 'energetic')",2.2088367,1.9744369,-0.23439980000000005
71,"('diffident', 'self-confident')",-0.7273017,-0.3066677,0.42063400000000006
72,"('unambitious', 'ambitious')",1.0770503,0.4996838,-0.5773665
73,"('helpless', 'self-reliant')",0.5623322,0.5500924,-0.012239799999999912
74,"('undedicated', 'dedicated')",0.9279822,1.8202023,0.8922201000000001
75,"('meek', 'impulsive')",-0.2115967,-0.7810503,-0.5694536
76,"('anxious', 'daring')",1.3687288,0.9415132,-0.4272155999999999
77,"('unmotivated', 'motivated')",0.1271043,-0.501915,-0.6290193
78,"('nonresilient', 'resilient')",-0.8824264,-0.2973576,0.5850688
79,"('wavering', 'unwavering')",-0.229244,-0.3594904,-0.13024639999999998
80,"('dominated', 'dominating')",-0.1190878,-0.4481095,-0.3290217
81,"('submissive', 'aggressive')",2.1127395,0.3180628,-1.7946767000000001
82,"('poor', 'rich')",1.7601428,1.0908255,-0.6693172999999999
83,"('powerless', 'powerful')",-0.677103,-0.6516911,0.025411900000000043
84,"('inferior', 'superior')",0.1123701,-0.3450257,-0.4573958
