,tuple,context_average_male,context_average_female,average_female-male
0,"('unsociable', 'sociable')",1.680273,0.7310875,-0.9491854999999999
1,"('unfriendly', 'friendly')",1.3288214,1.6237653,0.29494390000000004
2,"('unlikable', 'likable')",0.7865562,0.0106612,-0.775895
3,"('repellent', 'pleasant')",0.8450773,1.046661,0.20158370000000003
4,"('disliked', 'liked')",-0.8002743,-0.1760082,0.6242661
5,"('distant', 'outgoing')",-0.0869083,0.0816856,0.1685939
6,"('distant', 'open')",-0.2943716,-0.0395072,0.2548644
7,"('insensitive', 'sensitive')",1.5034666,1.5315064,0.028039799999999948
8,"('unaffectionate', 'affectionate')",0.4431269,0.7297592,0.28663230000000006
9,"('unaffectionate', 'caring')",0.365829,0.8962016,0.5303726
10,"('unsympathetic', 'sympathetic')",1.4183316,0.7438186,-0.6745129999999999
11,"('unhelpful', 'helpful')",0.3927494,-0.1143463,-0.5070957
12,"('unsupportive', 'supportive')",0.5858853,1.0113161,0.4254307999999999
13,"('impolite', 'polite')",0.321624,0.0672511,-0.2543729
14,"('antisocial', 'social')",0.808088,1.1594312,0.35134319999999997
15,"('boring', 'funny')",0.6788805,0.2976385,-0.381242
16,"('unpopular', 'popular')",-0.6348556,-0.5057359,0.12911969999999995
17,"('nasty', 'nice')",-0.4647905,-0.1675787,0.2972118
18,"('disagreeable', 'welcoming')",0.5259254,1.1719706,0.6460452000000001
19,"('inhospitable', 'hospitable')",-0.3299447,-0.3361905,-0.0062458000000000236
20,"('rough', 'thoughtful')",0.2871172,0.4608374,0.1737202
21,"('immoral', 'moral')",1.3425491,0.6993346,-0.6432145
22,"('untrustworthy', 'trustworthy')",1.5201553,1.3127307,-0.20742460000000018
23,"('insincere', 'sincere')",1.3538566,1.0397736,-0.3140830000000001
24,"('dishonest', 'honest')",1.4487844,1.2316991,-0.21708530000000015
25,"('egoistic', 'altruistic')",0.7595019,0.9809499,0.2214480000000001
26,"('hardhearted', 'benevolent')",0.5950408,1.0279808,0.4329399999999999
27,"('hardhearted', 'softhearted')",0.9806156,1.5586592,0.5780435999999999
28,"('disloyal', 'loyal')",-0.0867628,-0.3849457,-0.29818290000000003
29,"('unfair', 'fair')",-0.3711634,-0.0438363,0.3273271
30,"('intolerant', 'tolerant')",1.0179219,0.6739267,-0.34399519999999995
31,"('evil', 'good')",-0.6392169,-0.4903633,0.14885359999999997
32,"('unkind', 'kind')",1.5512711,1.6293651,0.07809400000000011
33,"('wrong', 'right')",-0.2001417,0.4558194,0.6559611
34,"('mean', 'honorable')",0.3487561,-0.0324287,-0.3811848
35,"('corrupt', 'incorrupt')",-2.3105712,-1.5689013,0.7416699
36,"('hostile', 'amicable')",-0.3307681,0.1724183,0.5031864
37,"('fake', 'genuine')",0.8528976,0.7190836,-0.133814
38,"('untruthful', 'truthful')",-0.5717789,-0.4445825,0.1271964
39,"('exploitative', 'cooperative')",0.2962413,0.9837467,0.6875054
40,"('stingy', 'generous')",1.6180837,1.0539678,-0.5641159
41,"('unforgiving', 'forgiving')",1.2165025,0.6045482,-0.6119543000000001
42,"('unreliable', 'reliable')",0.5800022,0.884911,0.3049088
43,"('irresponsible', 'responsible')",0.7828884,0.6471787,-0.13570970000000004
44,"('prejudiced', 'unprejudiced')",-1.2854045,-1.3798455,-0.094441
45,"('incompetent', 'competent')",0.9442001,0.730514,-0.2136861
46,"('uncompetitive', 'competitive')",0.8851524,0.6141277,-0.2710246999999999
47,"('stupid', 'smart')",1.3490638,0.8264279,-0.5226358999999999
48,"('unintelligent', 'intelligent')",0.8862735,0.5061971,-0.3800764000000001
49,"('unable', 'able')",-0.987589,-0.3279237,0.6596653000000001
50,"('clumsy', 'skillful')",-0.7067709,-0.3399036,0.3668673
51,"('uneducated', 'educated')",1.0523173,0.8947395,-0.15757779999999988
52,"('irrational', 'rational')",-0.1806335,-0.0585091,0.1221244
53,"('uncreative', 'creative')",0.4495987,0.7487315,0.2991328
54,"('incapable', 'capable')",0.3623085,-0.0251165,-0.38742499999999996
55,"('incompetent', 'clever')",1.933636,1.5119631,-0.4216728999999999
56,"('impractical', 'practical')",0.5489521,0.8006034,0.2516512999999999
57,"('unimaginative', 'imaginative')",1.1417934,0.6329993,-0.5087941
58,"('undiscriminating', 'discriminating')",1.6178733,0.9956049,-0.6222684
59,"('foolish', 'wise')",-0.6512312,-0.5417684,0.10946279999999997
60,"('inefficient', 'efficient')",1.1441941,1.2339368,0.08974269999999995
61,"('illogical', 'logical')",0.2338146,0.6813154,0.44750080000000003
62,"('incompetent', 'brilliant')",0.9196241,0.6932323,-0.22639180000000003
